Player,GP,MIN,PTS,FG%,3PA,3P%,REB,AST,TO,STL,BLK,Close FGA,Close FG%,Mid FGA,Mid FG%,Post_Ups,Drives,Height,Pos,TEAM,Class
Eric Bledsoe: 2018,78.0,29.1,15.9,48.4,4.8,32.9,4.6,5.5,2.1,1.5,0.4,6.8,60.3,0.8,33.3,0.1,11.1,73.0,PG,MIL,4
Evan Fournier: 2018,81.0,31.5,15.1,43.8,5.6,34.0,3.2,3.6,1.9,0.9,0.1,5.4,53.7,2.3,42.1,0.1,8.9,79.0,SG,ORL,4
Frank Ntilikina: 2018,43.0,21.0,5.7,33.7,2.7,28.7,2.0,2.8,1.3,0.7,0.3,2.4,41.7,1.5,33.3,0.1,4.9,78.0,PG,NYK,1
Fred VanVleet: 2018,64.0,27.5,11.0,41.0,4.6,37.8,2.6,4.8,1.3,0.9,0.3,3.3,48.5,1.4,39.6,0.0,8.7,72.0,PG,TOR,4
Garrett Temple: 2018,75.0,27.2,7.8,42.2,3.5,34.1,2.9,1.4,0.9,1.0,0.4,2.3,56.5,0.8,34.9,0.0,2.0,78.0,SG,LAC,1
George Hill: 2018,60.0,21.7,7.6,45.2,2.6,31.4,2.5,2.3,0.9,0.9,0.1,2.9,55.2,0.9,45.5,0.1,3.4,75.0,PG,MIL,1
Gerald Green: 2018,73.0,20.2,9.2,40.0,6.0,35.4,2.5,0.5,0.8,0.5,0.4,1.4,64.3,0.5,38.2,0.0,1.9,79.0,SG,HOU,1
Gordon Hayward: 2018,72.0,25.9,11.5,46.6,3.2,33.3,4.5,3.4,1.5,0.9,0.3,3.7,59.5,2.0,43.2,0.3,5.7,80.0,PF,BOS,2
Harrison Barnes: 2018,77.0,32.9,16.4,42.0,5.7,39.5,4.7,1.5,1.3,0.6,0.2,5.8,46.6,1.9,32.2,3.3,5.0,80.0,PF,SAC,4
Iman Shumpert: 2018,62.0,23.9,7.5,37.4,4.4,34.8,3.0,1.8,0.8,1.0,0.4,1.1,54.5,1.7,33.0,0.2,1.4,77.0,SG,HOU,1
Isaiah Canaan: 2018,30.0,20.9,6.0,39.0,3.2,35.4,1.9,2.8,1.2,0.5,0.1,1.7,41.2,0.5,53.3,0.1,3.3,72.0,PG,MIL,1
Ish Smith: 2018,56.0,22.3,8.9,41.9,2.4,32.6,2.6,3.6,1.1,0.5,0.2,4.4,47.7,2.0,42.7,0.0,11.1,72.0,PG,DET,4
JaMychal Green: 2018,65.0,21.1,9.4,48.3,2.7,40.3,6.3,0.8,1.3,0.7,0.5,3.7,56.8,1.0,39.7,1.7,0.8,81.0,PF,LAC,2
Jabari Parker: 2018,64.0,26.9,14.5,49.3,3.0,31.3,6.6,2.4,2.4,0.7,0.5,6.3,61.9,2.4,38.2,2.7,6.5,80.0,PF,WAS,2
Jae Crowder: 2018,80.0,27.1,11.9,39.9,6.5,33.1,4.8,1.7,1.1,0.8,0.4,2.7,55.6,0.8,41.5,0.2,2.1,78.0,SF,UTA,1
Jalen Brunson: 2018,73.0,21.8,9.3,46.7,2.5,34.8,2.3,3.2,1.2,0.5,0.1,4.0,55.0,1.3,37.9,0.2,7.9,75.0,PG,DAL,1
James Johnson: 2018,55.0,21.2,7.8,43.3,2.7,33.6,3.2,2.5,1.3,0.6,0.5,3.7,51.4,0.5,23.3,0.5,4.6,80.0,PF,MIA,1
Jared Dudley: 2018,59.0,20.7,4.9,42.3,2.6,35.1,2.6,1.4,0.7,0.6,0.3,1.2,58.3,0.3,55.6,0.2,2.5,79.0,PF,BKN,1
Jarrett Allen: 2018,80.0,26.2,10.9,59.0,0.6,13.3,8.4,1.4,1.3,0.5,1.5,6.4,64.1,0.1,28.6,0.3,0.3,83.0,C,BKN,3
Jeff Green: 2018,77.0,27.2,12.3,47.5,4.2,34.7,4.0,1.8,1.3,0.6,0.5,3.4,64.7,1.4,42.9,1.2,2.1,81.0,PF,WAS,2
Jerami Grant: 2018,80.0,32.7,13.6,49.7,3.7,39.2,5.2,1.0,0.8,0.8,1.3,6.0,56.7,0.7,34.6,1.4,2.8,81.0,PF,OKC,2
Jimmy Butler: 2018,65.0,33.6,18.7,46.2,3.0,34.7,5.3,4.0,1.5,1.9,0.6,7.3,56.2,3.6,35.7,1.7,10.2,80.0,SF,PHI,0
John Wall: 2018,32.0,34.5,20.7,44.4,5.3,30.2,3.6,8.7,3.8,1.5,0.9,8.4,56.0,3.5,38.9,0.4,16.8,76.0,PG,WAS,0
Jonas Valanciunas: 2018,49.0,22.3,15.6,55.9,1.0,29.2,8.6,1.4,1.8,0.4,1.1,8.9,60.7,1.1,44.2,4.8,1.9,84.0,C,MEM,3
Jonathan Isaac: 2018,75.0,26.6,9.6,42.9,3.5,32.3,5.5,1.1,1.0,0.8,1.3,3.3,57.6,1.3,37.8,0.4,1.8,82.0,PF,ORL,2
Jordan Clarkson: 2018,81.0,27.3,16.8,44.8,5.5,32.4,3.3,2.4,1.7,0.7,0.2,6.2,54.8,2.8,49.8,0.4,9.3,77.0,SG,CLE,4
Josh Hart: 2018,67.0,25.6,7.8,40.7,4.1,33.6,3.7,1.4,0.9,1.0,0.6,2.5,56.0,0.3,27.3,0.0,1.8,77.0,SG,LAL,1
Josh Richardson: 2018,73.0,34.8,16.6,41.2,6.3,35.7,3.6,4.1,1.5,1.1,0.5,5.1,49.0,2.7,39.5,0.2,10.1,78.0,SG,MIA,4
Jrue Holiday: 2018,67.0,35.8,21.2,47.2,5.4,32.5,5.0,7.7,3.1,1.6,0.8,9.7,57.7,2.2,38.8,0.5,16.6,76.0,SG,NOP,0
Julius Randle: 2018,73.0,30.6,21.4,52.4,2.7,34.4,8.7,3.1,2.8,0.7,0.6,11.2,58.9,1.0,31.9,5.2,7.2,81.0,PF,NOP,5
Justin Holiday: 2018,82.0,31.8,10.5,38.6,5.7,34.8,3.9,1.8,1.3,1.5,0.4,2.4,45.8,1.5,36.9,0.0,2.7,78.0,SG,MEM,4
Justise Winslow: 2018,66.0,29.7,12.6,43.3,3.9,37.5,5.4,4.3,2.2,1.1,0.3,5.9,47.5,1.5,38.6,0.3,8.8,79.0,SF,MIA,4
Jusuf Nurkic: 2018,72.0,27.4,15.6,50.8,0.4,10.3,10.4,3.2,2.3,1.0,1.4,9.6,54.2,1.5,42.1,4.4,0.7,84.0,C,POR,3
Kadeem Allen: 2018,19.0,21.9,9.9,46.1,1.9,47.2,2.7,4.0,1.4,0.8,0.2,4.2,50.0,1.4,34.6,0.0,10.3,75.0,PG,NYK,4
Kenrich Williams: 2018,46.0,23.5,6.1,38.4,3.4,33.3,4.8,1.8,0.8,1.0,0.4,2.4,45.8,0.4,16.7,0.1,2.0,79.0,SF,NOP,1
Kent Bazemore: 2018,67.0,24.5,11.6,40.2,4.5,32.0,3.9,2.3,1.8,1.3,0.6,4.3,51.2,1.5,41.8,0.0,6.8,77.0,SG,ATL,4
