Player,GP,MIN,PTS,FG%,3PA,3P%,REB,AST,TO,STL,BLK,Close FGA,Close FG%,Mid FGA,Mid FG%,Post_Ups,Drives,Height,Pos,TEAM,Class
Wesley Matthews: 2018,69.0,30.3,12.2,40.0,5.8,37.2,2.5,2.3,1.3,0.8,0.2,3.1,41.9,1.2,42.7,2.7,3.7,77.0,SF,IND,4
Will Barton: 2018,43.0,27.7,11.5,40.2,4.6,34.2,4.6,2.9,1.5,0.4,0.5,4.9,46.9,1.3,36.4,0.2,6.6,78.0,SF,DEN,4
Willie Cauley-Stein: 2018,81.0,27.3,11.9,55.6,0.0,50.0,8.4,2.4,1.0,1.2,0.6,8.1,58.0,1.0,36.9,2.9,1.7,84.0,C,SAC,2
Wilson Chandler: 2018,51.0,23.1,6.0,41.8,3.1,37.3,4.2,1.6,0.9,0.5,0.4,1.7,52.9,0.6,35.5,0.5,1.7,81.0,PF,LAC,1
Aaron Holiday: 2019,66.0,24.5,9.5,41.4,3.3,39.4,2.4,3.4,1.3,0.8,0.2,3.8,47.4,1.4,34.0,0.0,7.6,72.0,PG,IND,4
Al-Farouq Aminu: 2019,18.0,21.1,4.3,29.1,2.0,25.0,4.8,1.2,0.9,1.0,0.4,2.5,32.0,0.3,33.3,1.0,2.3,80.0,PF,ORL,1
Alec Burks: 2019,66.0,26.6,15.0,41.8,4.6,38.5,4.3,2.9,1.4,0.9,0.3,4.9,44.9,2.2,41.3,0.4,6.6,78.0,SF,PHI,4
Andre Drummond: 2019,57.0,33.0,17.7,53.3,0.6,14.3,15.2,2.7,3.6,1.9,1.6,12.8,55.5,0.3,27.8,4.7,3.5,82.0,C,CLE,5
Aron Baynes: 2019,42.0,22.2,11.5,48.0,4.0,35.1,5.6,1.6,1.2,0.2,0.5,4.7,61.7,0.4,29.4,1.2,0.5,82.0,C,PHX,2
Austin Rivers: 2019,68.0,23.4,8.8,42.1,4.0,35.6,2.6,1.7,0.7,0.7,0.1,3.2,50.0,0.1,37.5,0.0,5.3,75.0,SG,HOU,1
Avery Bradley: 2019,49.0,24.2,8.6,44.4,3.5,36.4,2.3,1.3,1.0,0.9,0.1,2.3,56.5,2.0,44.0,0.0,1.8,75.0,SG,LAL,1
Ben McLemore: 2019,71.0,22.8,10.1,44.4,6.4,40.0,2.2,0.8,0.7,0.6,0.2,1.3,61.5,0.0,100.0,0.0,1.1,75.0,SF,HOU,1
Ben Simmons: 2019,57.0,35.4,16.4,58.0,0.1,28.6,7.8,8.0,3.5,2.1,0.6,11.0,59.1,0.3,25.0,3.6,11.9,82.0,PG,PHI,5
Bobby Portis: 2019,66.0,21.1,10.1,45.0,2.8,35.8,5.1,1.5,1.1,0.5,0.3,4.1,56.1,2.0,38.6,3.0,1.7,82.0,PF,NYK,2
Brandon Clarke: 2019,58.0,22.4,12.1,61.8,1.1,35.9,5.9,1.4,0.9,0.6,0.8,6.6,68.2,0.6,32.4,0.5,1.5,80.0,PF,MEM,3
Brandon Ingram: 2019,62.0,33.9,23.8,46.3,6.2,39.1,6.1,4.2,3.0,1.0,0.6,7.6,53.9,3.9,43.2,1.2,12.7,79.0,PF,NOP,0
Bruce Brown: 2019,58.0,28.2,8.9,44.3,1.7,34.4,4.7,4.0,1.7,1.1,0.5,5.8,48.3,0.2,30.8,0.1,8.5,76.0,PG,DET,4
Bryn Forbes: 2019,63.0,25.1,11.2,41.7,6.0,38.8,2.0,1.7,0.9,0.5,0.0,1.6,50.0,1.6,43.9,0.0,2.8,74.0,SG,SAS,1
Cam Reddish: 2019,58.0,26.7,10.5,38.4,4.3,33.2,3.7,1.5,1.7,1.1,0.5,3.9,46.2,1.3,35.5,0.0,5.0,80.0,SF,ATL,1
Cameron Johnson: 2019,57.0,22.0,8.8,43.5,4.8,39.0,3.3,1.2,0.6,0.6,0.4,1.7,52.9,0.6,38.9,0.0,1.3,80.0,PF,PHX,1
Caris LeVert: 2019,45.0,29.6,18.7,42.5,4.9,36.4,4.2,4.4,2.6,1.2,0.2,9.8,48.0,1.6,31.5,0.6,15.0,78.0,SG,BKN,0
Carmelo Anthony: 2019,58.0,32.8,15.4,43.0,3.9,38.5,6.3,1.5,1.7,0.8,0.5,4.6,50.0,5.0,39.9,5.6,1.7,80.0,PF,POR,2
Cedi Osman: 2019,65.0,29.4,11.0,43.7,4.9,38.3,3.6,2.4,1.4,0.8,0.2,3.8,52.6,0.6,35.0,0.2,5.3,79.0,SF,CLE,1
Chris Paul: 2019,70.0,31.5,17.6,48.9,4.3,36.5,5.0,6.7,2.3,1.6,0.2,4.2,54.8,4.2,54.0,0.5,12.8,73.0,PG,OKC,0
Christian Wood: 2019,62.0,21.4,13.1,56.7,2.3,38.6,6.3,1.0,1.4,0.5,0.9,5.4,64.8,0.5,43.8,1.1,2.3,82.0,PF,DET,2
Clint Capela: 2019,39.0,32.8,13.9,62.9,0.0,0.0,13.8,1.2,1.6,0.8,1.8,9.8,63.3,0.1,25.0,0.6,0.2,82.0,C,ATL,3
Cody Zeller: 2019,58.0,23.1,11.1,52.4,1.3,24.0,7.1,1.5,1.3,0.7,0.4,6.9,58.0,0.1,60.0,0.9,2.9,84.0,C,CHA,2
Cory Joseph: 2019,72.0,24.4,6.4,41.5,2.2,35.2,2.6,3.5,1.1,0.7,0.3,2.3,52.2,1.2,37.2,0.1,5.3,75.0,PG,SAC,1
D'Angelo Russell: 2019,45.0,32.3,23.1,42.6,9.6,36.7,3.9,6.3,3.3,1.1,0.3,5.3,49.1,3.9,48.6,0.3,9.0,76.0,PG,MIN,0
DJ Augustin: 2019,57.0,24.9,10.5,39.9,3.5,34.8,2.1,4.6,1.5,0.6,0.0,3.3,45.5,1.2,36.6,0.0,9.3,71.0,PG,ORL,4
Damion Lee: 2019,49.0,29.0,12.7,41.7,4.9,35.6,4.9,2.7,1.4,1.0,0.1,3.8,50.0,1.8,40.7,0.1,5.5,77.0,SG,GSW,4
Daniel Theis: 2019,65.0,24.1,9.2,56.6,1.5,33.3,6.6,1.7,0.8,0.6,1.3,4.6,65.2,0.5,50.0,0.2,0.4,80.0,C,BOS,2
Danny Green: 2019,68.0,24.8,8.0,41.6,4.8,36.7,3.3,1.3,0.9,1.3,0.5,1.6,62.5,0.6,32.5,0.0,1.6,78.0,SG,LAL,1
Dario Saric: 2019,66.0,24.7,10.7,47.6,3.6,35.7,6.2,1.9,1.3,0.6,0.2,3.8,60.5,0.8,47.1,1.5,2.0,82.0,PF,PHX,2
Darius Garland: 2019,59.0,30.9,12.3,40.1,5.0,35.5,1.9,3.9,2.6,0.7,0.1,4.6,43.5,2.3,42.6,0.1,11.0,73.0,SG,CLE,4
DeAndre' Bembry: 2019,43.0,21.3,5.8,45.6,1.5,23.1,3.5,1.9,1.4,1.3,0.4,3.7,54.1,0.1,16.7,0.0,4.5,77.0,SG,ATL,1
Dennis Schroder: 2019,65.0,30.8,18.9,46.9,5.0,38.5,3.6,4.0,2.6,0.7,0.2,6.1,52.5,3.7,48.1,0.0,11.7,73.0,PG,OKC,4
Derrick Favors: 2019,51.0,24.4,9.0,61.7,0.1,14.3,9.8,1.6,1.1,0.6,0.9,5.9,66.1,0.5,35.7,1.0,0.2,81.0,C,NOP,3
Derrick Rose: 2019,50.0,26.0,18.1,49.0,2.9,30.6,2.4,5.6,2.5,0.8,0.3,9.2,56.5,2.9,44.9,0.0,17.6,74.0,PG,DET,0
Dillon Brooks: 2019,73.0,28.9,16.2,40.7,5.6,35.8,3.3,2.1,1.7,0.9,0.4,6.1,45.9,2.9,40.5,0.2,7.0,79.0,SG,MEM,4
Donovan Mitchell: 2019,69.0,34.3,24.0,44.9,6.9,36.6,4.4,4.3,2.7,1.0,0.2,9.1,50.5,3.5,46.0,0.0,15.6,73.0,SG,UTA,0
Donte DiVincenzo: 2019,66.0,23.0,9.2,45.5,3.7,33.6,4.8,2.3,1.4,1.3,0.3,3.4,58.8,0.6,48.7,0.0,3.4,76.0,SG,MIL,1
Dorian Finney-Smith: 2019,71.0,29.9,9.5,46.6,4.3,37.6,5.7,1.6,1.0,0.6,0.5,2.9,58.6,0.2,30.8,0.1,3.0,79.0,PF,DAL,1
Dwight Powell: 2019,40.0,26.5,9.4,63.8,1.0,25.6,5.7,1.5,0.9,0.9,0.6,4.6,76.1,0.1,0.0,0.1,1.7,82.0,C,DAL,3
Elfrid Payton: 2019,45.0,27.7,10.0,43.9,1.5,20.3,4.7,7.2,2.1,1.6,0.4,7.2,50.0,1.0,38.3,0.1,12.8,75.0,PG,NYK,4
Eric Bledsoe: 2019,61.0,27.0,14.9,47.5,3.5,34.4,4.6,5.4,2.4,0.9,0.4,6.7,56.7,1.4,38.6,0.3,11.8,73.0,PG,MIL,4
Eric Gordon: 2019,36.0,28.2,14.4,36.9,8.4,31.7,2.0,1.5,1.2,0.6,0.4,4.2,50.0,0.3,10.0,0.3,6.5,75.0,SF,HOU,1
Evan Fournier: 2019,66.0,31.4,18.5,46.7,6.6,39.9,2.6,3.2,1.9,1.1,0.2,5.3,54.7,2.2,45.3,0.1,8.7,79.0,SF,ORL,4
Frank Ntilikina: 2019,57.0,20.8,6.3,39.3,2.4,32.1,2.1,3.0,1.2,0.9,0.3,1.9,52.6,1.6,40.2,0.0,4.5,76.0,PG,NYK,1
Garrett Temple: 2019,62.0,27.9,10.3,37.8,6.2,32.9,3.5,2.5,1.0,0.8,0.5,2.4,50.0,0.8,34.0,0.1,2.9,77.0,SG,BKN,1
Gary Harris: 2019,56.0,31.8,10.4,42.0,3.8,33.3,2.9,2.1,1.1,1.4,0.3,4.5,48.9,1.0,43.9,0.0,5.5,76.0,SG,DEN,4
Gary Trent Jr: 2019,61.0,21.8,8.9,44.4,4.4,41.8,1.6,1.0,0.3,0.8,0.3,1.5,53.3,1.3,43.8,0.1,1.3,77.0,SF,POR,1
George Hill: 2019,59.0,21.5,9.4,51.6,3.0,46.0,3.0,3.1,1.0,0.8,0.1,2.9,58.6,0.5,37.5,0.1,4.2,75.0,PG,MIL,1
Giannis Antetokounmpo: 2019,63.0,30.4,29.5,55.3,4.7,30.4,13.6,5.6,3.7,1.0,1.0,13.1,67.2,1.8,38.8,4.4,10.5,83.0,PF,MIL,5
Glenn Robinson III: 2019,62.0,28.8,11.7,48.6,3.2,39.1,4.4,1.5,0.9,0.9,0.3,4.1,58.5,2.2,46.0,0.1,2.9,78.0,SF,PHI,2
Goran Dragic: 2019,59.0,28.2,16.2,44.1,5.7,36.7,3.2,5.1,2.4,0.7,0.2,4.8,54.2,1.7,42.0,0.3,10.8,75.0,PG,MIA,4
Ian Mahinmi: 2019,38.0,21.3,7.4,49.5,0.7,19.2,5.7,1.3,1.2,0.8,1.2,4.6,56.5,0.2,28.6,0.3,0.8,83.0,C,WAS,3
Isaiah Thomas: 2019,40.0,23.1,12.2,40.8,4.7,41.3,1.7,3.7,1.9,0.3,0.2,3.4,38.2,2.5,43.6,0.0,6.8,69.0,PG,WAS,4
Ish Smith: 2019,68.0,26.3,10.9,44.7,2.5,36.7,3.2,4.9,1.4,0.9,0.4,4.8,52.1,2.9,40.5,0.0,10.7,72.0,PG,WAS,4
JaMychal Green: 2019,63.0,20.7,6.8,42.9,3.8,38.7,6.2,0.8,0.9,0.5,0.4,1.7,52.9,0.2,41.7,0.4,0.5,80.0,PF,LAC,1
Jabari Parker: 2019,38.0,24.2,14.0,51.0,3.1,26.9,5.6,1.8,1.7,1.2,0.4,7.1,64.8,1.1,27.5,1.2,3.5,80.0,PF,SAC,2
Jae Crowder: 2019,65.0,28.8,10.5,40.1,6.1,34.3,5.9,2.5,1.1,1.1,0.4,2.0,60.0,0.5,38.2,0.3,1.3,78.0,SF,MIA,1
Jake Layman: 2019,23.0,22.0,9.1,45.3,3.1,33.3,2.5,0.7,1.0,0.7,0.4,4.0,52.5,0.7,60.0,0.2,2.5,80.0,SF,MIN,1
Jarrett Allen: 2019,70.0,26.5,11.1,64.9,0.1,0.0,9.6,1.6,1.1,0.6,1.3,6.5,66.2,0.1,40.0,0.2,0.3,83.0,C,BKN,3
Jarrett Culver: 2019,63.0,23.9,9.2,40.4,3.5,29.9,3.4,1.7,1.3,0.9,0.6,5.1,49.0,0.4,37.5,0.1,5.3,78.0,SG,MIN,1
Jeff Teague: 2019,59.0,24.8,10.9,43.6,2.0,36.8,2.4,5.2,2.0,0.7,0.3,5.6,46.4,0.7,36.6,0.1,11.7,75.0,PG,ATL,4
Jerami Grant: 2019,71.0,26.6,12.0,47.8,3.5,38.9,3.5,1.2,0.9,0.7,0.8,4.3,58.1,1.1,39.5,1.3,3.2,80.0,PF,DEN,2
Jeremy Lamb: 2019,46.0,28.1,12.5,45.1,3.4,33.5,4.3,2.1,1.1,1.2,0.5,4.0,52.5,3.0,47.4,0.1,5.9,77.0,SG,IND,4
Joe Harris: 2019,69.0,30.8,14.5,48.6,5.9,42.4,4.3,2.1,1.5,0.6,0.2,4.8,56.3,0.7,43.1,0.1,6.5,78.0,SF,BKN,4
Joe Ingles: 2019,72.0,29.7,9.8,44.5,4.9,39.9,3.9,5.2,2.0,0.9,0.2,2.4,54.2,0.4,41.4,0.1,8.0,79.0,PF,UTA,4
Joel Embiid: 2019,51.0,29.5,23.0,47.7,3.4,33.1,11.6,3.0,3.1,0.9,1.3,7.7,58.4,4.7,40.2,9.8,2.4,84.0,C,PHI,5
John Collins: 2019,41.0,33.2,21.6,58.3,3.6,40.1,10.1,1.5,1.8,0.8,1.6,10.1,67.3,1.1,37.8,1.7,2.4,81.0,PF,ATL,5
Jonas Valanciunas: 2019,70.0,26.4,14.9,58.5,1.3,35.2,11.3,1.9,1.8,0.4,1.1,8.5,63.5,0.8,32.7,4.5,1.1,83.0,C,MEM,3
Jonathan Isaac: 2019,34.0,28.8,11.9,47.0,2.8,34.0,6.8,1.4,1.4,1.6,2.3,5.1,58.8,1.9,35.9,0.9,2.9,83.0,PF,ORL,2
Jordan Clarkson: 2019,71.0,24.0,15.2,45.4,5.8,36.8,2.6,1.9,1.4,0.6,0.2,5.6,55.4,0.8,31.7,0.2,8.9,76.0,SG,UTA,4
Jordan McRae: 2019,37.0,21.2,11.5,40.7,3.4,35.7,3.4,2.5,1.2,0.6,0.4,4.1,48.8,2.4,36.0,0.0,5.5,77.0,SG,DET,1
Jordan Poole: 2019,57.0,22.3,8.8,33.3,4.6,27.9,2.1,2.4,1.3,0.6,0.2,2.4,45.8,1.7,34.3,0.0,4.6,76.0,SG,GSW,1
Josh Okogie: 2019,62.0,25.0,8.6,42.7,2.5,26.6,4.3,1.6,1.4,1.1,0.4,3.9,53.8,0.1,20.0,0.0,4.6,76.0,SG,MIN,1
Josh Richardson: 2019,55.0,30.8,13.7,43.0,4.5,34.1,3.2,2.9,1.9,0.9,0.7,4.5,48.9,2.7,48.0,0.1,8.0,77.0,SG,PHI,4
Jrue Holiday: 2019,61.0,34.7,19.1,45.5,5.7,35.3,4.8,6.7,3.0,1.6,0.8,9.6,53.1,1.2,33.3,0.3,14.9,75.0,SG,NOP,0
Justin Holiday: 2019,73.0,25.0,8.3,42.8,4.5,40.5,3.3,1.3,0.6,1.2,0.6,1.5,53.3,0.6,44.7,0.0,1.4,78.0,SF,IND,1
Kawhi Leonard: 2019,57.0,32.4,27.1,47.0,5.7,37.8,7.1,4.9,2.6,1.8,0.6,8.5,56.5,5.7,42.9,4.6,13.4,79.0,SF,LAC,0
Kemba Walker: 2019,56.0,31.1,20.4,42.5,8.4,38.1,3.9,4.8,2.1,0.9,0.5,5.4,46.3,2.1,50.4,0.0,10.9,72.0,PG,BOS,4
Kenrich Williams: 2019,39.0,21.3,3.5,34.7,2.5,25.8,4.8,1.5,0.6,0.7,0.5,1.2,58.3,0.1,25.0,0.0,1.4,78.0,PF,NOP,1
Kent Bazemore: 2019,68.0,24.8,8.8,37.5,3.6,34.4,4.3,1.4,1.3,1.1,0.6,3.3,45.5,0.9,28.1,0.2,4.0,76.0,SF,SAC,1
Kentavious Caldwell-Pope: 2019,69.0,25.5,9.3,46.7,3.5,38.5,2.1,1.6,0.9,0.8,0.2,2.6,61.5,1.3,43.7,0.0,2.4,77.0,SG,LAL,1
Kevin Porter Jr: 2019,50.0,23.2,10.0,44.2,3.2,33.5,3.2,2.2,1.9,0.9,0.3,3.8,57.9,1.4,29.2,0.1,5.1,76.0,SF,CLE,1
Kris Dunn: 2019,51.0,24.9,7.3,44.4,2.2,25.9,3.6,3.4,1.3,2.0,0.3,4.2,57.1,0.4,16.7,0.1,7.0,75.0,PG,CHI,4
Ky Bowman: 2019,45.0,22.6,7.4,41.7,2.4,30.8,2.7,2.9,1.6,1.0,0.2,3.2,50.0,1.6,42.5,0.1,5.3,73.0,PG,GSW,1
Kyle Kuzma: 2019,61.0,25.0,12.8,43.6,4.5,31.6,4.5,1.3,1.5,0.5,0.4,5.0,56.0,1.6,33.3,1.0,4.3,80.0,PF,LAL,1
Kyle Lowry: 2019,58.0,36.2,19.4,41.6,8.0,35.2,5.0,7.5,3.1,1.4,0.4,4.5,55.6,1.3,37.7,0.1,9.6,72.0,PG,TOR,0
Kyrie Irving: 2019,20.0,32.9,27.4,47.8,7.1,39.4,5.2,6.4,2.6,1.4,0.5,9.6,55.2,4.2,45.2,0.3,14.2,74.0,PG,BKN,0
LaMarcus Aldridge: 2019,53.0,33.1,18.9,49.3,3.0,38.9,7.4,2.4,1.4,0.7,1.6,5.4,59.3,6.6,44.9,9.7,0.6,83.0,C,SAS,5
Landry Shamet: 2019,53.0,27.4,9.3,40.4,5.6,37.5,1.9,1.9,0.8,0.4,0.2,1.5,60.0,0.4,21.1,0.0,2.2,76.0,SG,LAC,1
Langston Galloway: 2019,66.0,25.8,10.3,43.5,5.0,39.9,2.3,1.5,0.6,0.7,0.2,2.3,52.2,0.9,42.6,0.0,3.0,73.0,SG,DET,1
Larry Nance Jr: 2019,56.0,26.3,10.1,53.1,2.8,35.2,7.3,2.2,1.1,1.0,0.4,4.0,67.5,0.9,42.9,1.4,1.2,79.0,PF,CLE,2
Lou Williams: 2019,65.0,28.7,18.2,41.8,4.8,35.2,3.1,5.6,2.8,0.7,0.2,5.8,48.3,3.7,40.1,0.0,11.1,73.0,PG,LAC,4
Luguentz Dort: 2019,36.0,22.8,6.8,39.4,2.8,29.7,2.3,0.8,0.6,0.9,0.1,3.1,48.4,0.1,0.0,0.0,3.3,75.0,SF,OKC,1
Luke Kennard: 2019,28.0,32.9,15.8,44.2,6.5,39.9,3.5,4.1,1.5,0.4,0.2,3.7,54.1,2.1,43.1,0.0,7.9,77.0,SG,DET,4
Malcolm Brogdon: 2019,54.0,30.9,16.5,43.8,4.3,32.6,4.9,7.1,2.4,0.6,0.2,6.2,48.4,3.3,49.7,0.3,14.2,77.0,PG,IND,0
Malik Beasley: 2019,55.0,22.0,11.2,42.5,5.0,38.8,2.7,1.4,1.0,0.7,0.1,3.4,50.0,1.2,44.8,0.0,3.8,76.0,SG,MIN,1
Malik Monk: 2019,55.0,21.3,10.3,43.4,3.7,28.4,2.9,2.1,1.4,0.5,0.3,4.6,58.7,0.5,27.6,0.0,6.6,75.0,SG,CHA,1
Marc Gasol: 2019,44.0,26.4,7.5,42.7,3.4,38.5,6.3,3.3,1.3,0.8,0.9,2.4,54.2,0.6,18.5,2.1,0.7,83.0,C,TOR,2
Markelle Fultz: 2019,72.0,27.7,12.1,46.5,1.9,26.7,3.3,5.1,2.0,1.3,0.2,6.5,53.8,2.4,41.6,0.3,12.0,75.0,PG,ORL,4
Markieff Morris: 2019,58.0,20.5,9.7,44.3,3.9,38.6,3.8,1.3,1.3,0.5,0.3,2.8,57.1,1.1,39.1,1.9,1.8,80.0,PF,LAL,1
Marquese Chriss: 2019,59.0,20.3,9.3,54.5,0.7,20.5,6.2,1.9,1.3,0.7,1.1,5.6,58.9,0.3,31.3,1.9,1.0,81.0,PF,GSW,3
Maurice Harkless: 2019,62.0,23.0,5.8,50.2,1.6,34.7,3.9,1.1,0.9,0.9,0.5,2.8,57.1,0.2,45.5,0.3,1.9,79.0,PF,NYK,1
Maxi Kleber: 2019,74.0,25.5,9.1,46.1,4.3,37.3,5.2,1.2,0.8,0.3,1.1,2.5,60.0,0.2,43.8,0.2,1.1,82.0,PF,DAL,2
Meyers Leonard: 2019,51.0,20.3,6.1,50.9,2.5,41.4,5.1,1.1,0.8,0.3,0.3,1.8,72.2,0.2,18.2,0.6,0.7,84.0,C,MIA,1
Mikal Bridges: 2019,73.0,28.0,9.1,51.0,2.7,36.1,4.0,1.8,1.0,1.4,0.6,3.5,62.9,0.5,38.2,0.2,2.9,78.0,SF,PHX,2
Miles Bridges: 2019,65.0,30.7,13.0,42.4,4.6,33.0,5.6,1.8,1.5,0.6,0.7,6.3,49.2,0.6,35.0,1.7,5.5,78.0,SF,CHA,2
Mitchell Robinson: 2019,61.0,23.2,9.7,74.2,0.0,0.0,7.0,0.6,0.6,0.9,2.0,5.6,75.0,0.0,50.0,0.2,0.1,84.0,C,NYK,3
Monte Morris: 2019,73.0,22.4,9.0,45.9,2.4,37.8,1.9,3.5,0.7,0.8,0.2,3.6,50.0,1.8,47.7,0.1,5.6,74.0,PG,DEN,1
Montrezl Harrell: 2019,63.0,27.8,18.6,58.0,0.3,0.0,7.1,1.7,1.7,0.6,1.1,12.1,61.2,0.5,13.8,4.3,2.9,79.0,C,LAC,3
Nemanja Bjelica: 2019,72.0,27.9,11.5,48.1,4.4,41.9,6.4,2.8,1.4,0.9,0.6,4.1,56.1,0.5,35.9,2.6,3.3,82.0,PF,SAC,2
Nicolas Batum: 2019,22.0,23.0,3.6,34.6,2.2,28.6,4.5,3.0,1.0,0.8,0.4,0.9,66.7,0.5,8.3,0.1,1.2,81.0,SF,CHA,1
Nikola Jokic: 2019,73.0,32.0,19.9,52.8,3.5,31.4,9.7,7.0,3.1,1.2,0.6,8.0,65.0,3.1,45.6,8.1,3.2,84.0,C,DEN,5
Nikola Vucevic: 2019,62.0,32.2,19.6,47.7,4.7,33.9,10.9,3.6,1.4,0.9,0.8,9.2,56.5,2.8,41.7,8.1,1.7,83.0,C,ORL,5
Norman Powell: 2019,52.0,28.4,16.0,49.5,5.3,39.9,3.7,1.8,1.5,1.2,0.4,5.5,60.0,0.8,39.5,0.0,5.4,75.0,SG,TOR,4
OG Anunoby: 2019,69.0,29.9,10.6,50.5,3.3,39.0,5.3,1.6,1.1,1.4,0.7,4.6,60.9,0.2,33.3,0.8,3.5,79.0,SF,TOR,2
PJ Tucker: 2019,72.0,34.3,6.9,41.5,4.2,35.8,6.6,1.6,1.0,1.1,0.5,1.5,53.3,0.3,47.6,0.0,1.2,77.0,PF,HOU,1
PJ Washington: 2019,58.0,30.3,12.2,45.5,4.0,37.4,5.4,2.1,1.6,0.9,0.8,5.9,50.8,0.3,29.4,3.7,4.0,79.0,PF,CHA,2
Patrick Beverley: 2019,51.0,26.3,7.9,43.1,4.0,38.8,5.2,3.6,1.3,1.1,0.5,2.4,54.2,0.2,27.3,0.0,4.5,73.0,PG,LAC,1
Patrick McCaw: 2019,37.0,24.5,4.6,41.4,1.9,32.4,2.3,2.1,0.8,1.1,0.1,2.0,50.0,0.5,38.9,0.0,2.8,79.0,SF,TOR,1
Patty Mills: 2019,66.0,22.5,11.6,43.1,6.1,38.2,1.6,1.8,0.8,0.8,0.1,1.5,60.0,1.4,44.4,0.0,2.6,73.0,PG,SAS,1
Paul George: 2019,48.0,29.6,21.5,43.9,7.9,41.2,5.7,3.9,2.6,1.4,0.4,5.0,52.0,3.4,37.2,1.4,8.3,80.0,SF,LAC,0
Paul Millsap: 2019,51.0,24.3,11.6,48.2,2.4,43.5,5.7,1.6,1.4,0.9,0.6,5.0,54.0,1.1,36.4,2.2,2.7,79.0,PF,DEN,2
Rajon Rondo: 2019,48.0,20.5,7.1,41.8,2.6,32.8,3.0,5.0,1.9,0.8,0.0,3.5,48.6,0.7,37.1,0.1,7.0,73.0,PG,LAL,4
Reggie Bullock: 2019,29.0,23.6,8.1,40.2,3.8,33.3,2.3,1.4,0.7,0.9,0.1,1.9,57.9,1.9,41.1,0.0,1.5,78.0,SG,NYK,1
Reggie Jackson: 2019,31.0,24.0,11.9,41.1,4.7,39.3,3.0,4.1,1.6,0.4,0.2,4.7,44.7,1.2,32.4,0.1,8.5,75.0,SG,LAC,4
Richaun Holmes: 2019,44.0,28.2,12.3,64.8,0.0,0.0,8.1,1.0,1.2,0.9,1.3,7.2,66.7,0.6,48.0,1.0,0.6,82.0,C,SAC,3
Robert Covington: 2019,70.0,30.5,12.4,42.2,6.9,33.5,6.6,1.3,1.5,1.6,1.3,3.1,61.3,0.3,43.5,0.0,2.8,79.0,PF,HOU,2
Rodney Hood: 2019,21.0,29.5,11.0,50.6,3.4,49.3,3.4,1.5,0.9,0.8,0.2,3.0,53.3,1.9,51.3,1.1,3.6,80.0,SF,POR,1
Royce O'Neale: 2019,71.0,28.9,6.3,43.3,3.4,37.7,5.5,2.5,0.9,0.8,0.5,1.6,56.3,0.1,30.0,0.0,2.7,76.0,SF,UTA,1
Rui Hachimura: 2019,48.0,30.1,13.5,46.6,1.8,28.7,6.1,1.8,1.1,0.8,0.2,6.7,53.7,2.9,40.1,1.8,3.7,80.0,PF,WAS,2
Shabazz Napier: 2019,56.0,24.0,10.3,41.2,4.3,31.7,2.8,4.7,2.3,1.2,0.2,2.9,51.7,1.0,45.6,0.0,8.1,72.0,PG,WAS,4
Shake Milton: 2019,40.0,20.1,9.4,48.4,3.4,43.0,2.2,2.6,1.2,0.5,0.2,3.0,56.7,0.7,34.6,0.0,5.1,77.0,SG,PHI,1
Spencer Dinwiddie: 2019,64.0,31.2,20.6,41.5,6.3,30.8,3.5,6.8,2.7,0.6,0.3,8.5,51.8,1.2,29.9,0.2,17.1,77.0,PG,BKN,0
TJ Warren: 2019,67.0,32.9,19.8,53.6,3.4,40.3,4.2,1.5,1.3,1.2,0.5,7.6,65.8,3.9,43.0,0.6,5.5,80.0,SF,IND,2
Taurean Prince: 2019,64.0,29.0,12.1,37.6,6.7,33.9,6.0,1.8,2.0,0.9,0.4,3.8,47.4,1.1,33.3,0.1,5.3,79.0,PF,BKN,4
Terrance Ferguson: 2019,56.0,22.5,3.9,35.5,3.0,29.2,1.3,0.9,0.6,0.5,0.3,0.7,57.1,0.3,57.1,0.0,1.3,78.0,SF,OKC,1
Terrence Ross: 2019,69.0,27.4,14.7,40.3,7.3,35.1,3.2,1.2,1.0,1.1,0.3,2.4,58.3,2.6,39.8,0.0,2.0,78.0,SG,ORL,1
Terry Rozier: 2019,63.0,34.4,18.0,42.3,6.7,40.7,4.4,4.1,2.2,1.0,0.2,6.6,43.9,1.7,38.9,0.0,10.2,73.0,PG,CHA,4
Thaddeus Young: 2019,64.0,24.9,10.3,44.8,3.5,35.6,4.9,1.8,1.6,1.4,0.4,5.4,51.9,0.4,32.1,1.5,3.7,80.0,PF,CHI,1
Tim Hardaway Jr: 2019,71.0,29.5,15.8,43.4,7.2,39.8,3.3,1.9,1.0,0.6,0.1,3.3,48.5,1.9,46.3,0.2,3.9,77.0,SG,DAL,4
Tomas Satoransky: 2019,65.0,28.9,9.9,43.0,3.1,32.2,3.9,5.4,2.0,1.2,0.1,4.7,51.1,0.7,34.1,0.3,10.2,79.0,SG,CHI,4
Tony Snell: 2019,59.0,27.8,8.0,44.5,4.3,40.2,1.9,2.2,0.5,0.5,0.3,1.6,56.3,0.6,42.4,0.0,3.0,78.0,SF,DET,1
Trevor Ariza: 2019,53.0,28.2,8.0,43.8,3.9,37.2,4.6,1.7,1.1,1.3,0.3,2.1,61.9,0.1,0.0,0.3,3.0,80.0,SF,POR,1
