Player,Drives
Aaron Brooks,1.8
Aaron Gordon,5.2
Aaron Harrison,2.4
Aaron Jackson,10.0
Abdel Nader,2.2
Adreian Payne,0.2
Al Horford,2.9
Al Jefferson,0.1
Al-Farouq Aminu,3.1
Alan Williams,0.4
Alec Burks,4.9
Alec Peters,0.3
Alex Abrines,0.9
Alex Caruso,2.6
Alex Len,0.4
Alex Poythress,0.2
Alfonzo McKinnie,0.5
Allen Crabbe,3.2
Amir Johnson,0.4
Andre Drummond,2.1
Andre Iguodala,1.8
Andre Ingram,2.5
Andre Roberson,0.5
Andrew Bogut,0.1
Andrew Harrison,8.8
Andrew White III,1.2
Andrew Wiggins,7.7
Ante Zizic,0.1
Anthony Brown,0.0
Anthony Davis,4.1
Anthony Tolliver,1.2
Antonio Blakeney,2.8
Antonius Cleveland,0.9
Aron Baynes,0.1
Arron Afflalo,1.0
Austin Rivers,12.4
Avery Bradley,4.4
Bam Adebayo,0.8
Ben McLemore,2.0
Ben Moore,0.0
Ben Simmons,15.5
Bismack Biyombo,0.1
Blake Griffin,7.0
Boban Marjanovic,0.0
Bobby Brown,1.1
Bobby Portis,2.0
Bogdan Bogdanovic,6.7
Bojan Bogdanovic,4.9
Bradley Beal,10.4
Brandan Wright,0.4
Brandon Ingram,10.6
Brandon Jennings,4.1
Brandon Paul,1.0
Briante Weber,3.1
Brice Johnson,0.2
Brook Lopez,1.9
Bruno Caboclo,0.2
Bryn Forbes,2.8
Buddy Hield,4.4
C.J. Williams,2.1
CJ McCollum,9.7
CJ Miles,2.0
Caleb Swanigan,0.1
Cameron Payne,6.2
Caris LeVert,11.0
Carmelo Anthony,1.7
Cedi Osman,0.9
Chandler Parsons,3.6
Channing Frye,0.4
Charles Cooke,0.4
Cheick Diallo,0.1
Chinanu Onuaku,1.0
Chris Boucher,0.0
Chris McCullough,0.6
Chris Paul,11.7
Clint Capela,1.0
Cody Zeller,0.8
Cole Aldrich,0.0
Corey Brewer,1.5
Cory Joseph,6.1
Courtney Lee,4.0
Cristiano Felicio,0.5
D'Angelo Russell,9.7
D.J. Augustin,7.8
D.J. Wilson,0.3
Dakari Johnson,0.0
Damian Jones,0.1
Damian Lillard,12.6
Damien Wilkins,0.8
Damion Lee,4.5
Damyean Dotson,1.2
Daniel Hamilton,3.0
Daniel Theis,0.2
Danilo Gallinari,5.0
Danny Green,3.8
Dante Cunningham,0.5
Dante Exum,7.9
Danuel House Jr.,2.4
Dario Saric,3.7
Darius Miller,1.8
Darrell Arthur,0.4
Darren Collison,5.6
Darrun Hilliard,1.1
David Nwaba,4.5
David Stockton,1.7
David West,0.5
Davis Bertans,1.2
Davon Reed,1.5
De'Aaron Fox,8.4
DeAndre Jordan,0.1
DeAndre Liggins,1.4
DeAndre' Bembry,6.6
DeMar DeRozan,16.3
DeMarcus Cousins,9.3
DeMarre Carroll,5.5
Dejounte Murray,8.2
Delon Wright,7.1
Demetrius Jackson,2.1
Dennis Schroder,16.4
Dennis Smith Jr.,12.7
Denzel Valentine,4.9
Derrick Favors,0.2
Derrick Jones Jr.,0.8
Derrick Rose,5.0
Derrick Walton Jr.,0.5
Derrick White,1.8
Derrick Williams,0.5
Devin Booker,10.1
Devin Harris,5.0
Devin Robinson,0.0
Dewayne Dedmon,0.4
Deyonta Davis,0.0
Dillon Brooks,5.3
Dion Waiters,14.7
Dirk Nowitzki,0.1
Domantas Sabonis,1.6
Donovan Mitchell,13.3
Dorian Finney-Smith,1.8
Doug McDermott,1.0
Dragan Bender,1.8
Draymond Green,2.2
Dwayne Bacon,1.9
Dwight Buycks,5.8
Dwight Howard,1.7
Dwight Powell,0.9
Dwyane Wade,6.2
E'Twaun Moore,4.9
Ed Davis,0.4
Edmond Sumner,1.0
Ekpe Udoh,0.1
Elfrid Payton,11.8
Emeka Okafor,0.1
Emmanuel Mudiay,7.9
Enes Kanter,0.4
Eric Bledsoe,12.2
Eric Gordon,7.6
Eric Moreland,0.2
Erik McCree,0.0
Ersan Ilyasova,0.9
Evan Fournier,8.1
Evan Turner,3.5
Frank Kaminsky,4.4
Frank Mason,7.3
Frank Ntilikina,4.5
Fred VanVleet,8.6
Furkan Korkmaz,0.6
Garrett Temple,2.2
Gary Harris,7.5
Gary Payton II,1.3
George Hill,5.1
Georges Niang,0.8
Georgios Papagiannis,0.0
Gerald Green,2.5
Gian Clavell,0.7
Giannis Antetokounmpo,11.0
Glenn Robinson III,1.3
Goran Dragic,14.6
Gordon Hayward,0.0
Gorgui Dieng,0.5
Greg Monroe,1.9
Guerschon Yabusele,0.6
Harrison Barnes,7.3
Hassan Whiteside,0.9
Henry Ellenson,1.6
Ian Clark,3.1
Ian Mahinmi,0.3
Ike Anigbogu,0.0
Iman Shumpert,1.4
Isaiah Canaan,7.1
Isaiah Hicks,0.8
Isaiah Taylor,7.8
Isaiah Thomas,12.3
Isaiah Whitehead,5.5
Ish Smith,11.1
