Player,Drives
Aaron Gordon,6.1
Aaron Holiday,3.6
Abdel Nader,2.2
Al Horford,1.6
Al-Farouq Aminu,2.7
Alan Williams,0.0
Alec Burks,5.2
Alex Abrines,1.2
Alex Caruso,5.9
Alex Len,0.5
Alex Poythress,0.8
Alfonzo McKinnie,0.5
Alize Johnson,0.4
Allen Crabbe,2.1
Allonzo Trier,7.0
Amile Jefferson,0.3
Amir Johnson,0.5
Andre Drummond,1.2
Andre Iguodala,1.0
Andre Ingram,0.3
Andrew Bogut,0.2
Andrew Harrison,4.1
Andrew Wiggins,8.0
Anfernee Simons,1.4
Angel Delgado,0.5
Ante Zizic,0.3
Anthony Davis,3.8
Anthony Tolliver,0.6
Antonio Blakeney,4.9
Aron Baynes,0.0
Austin Rivers,5.6
Avery Bradley,3.3
BJ Johnson,0.3
Bam Adebayo,0.8
Ben McLemore,0.3
Ben Simmons,9.9
Billy Garrett,3.8
Bismack Biyombo,0.1
Blake Griffin,8.0
Boban Marjanovic,0.1
Bobby Portis,2.4
Bogdan Bogdanovic,8.0
Bojan Bogdanovic,6.8
Bonzie Colson,0.4
Brad Wanamaker,1.7
Bradley Beal,12.7
Brandon Goodwin,1.3
Brandon Ingram,10.1
Brandon Knight,4.3
Brandon Sampson,2.4
Brook Lopez,2.1
Bruce Brown,2.9
Bruno Caboclo,2.6
Bryn Forbes,3.8
Buddy Hield,4.6
C.J. Williams,1.3
CJ McCollum,9.4
CJ Miles,1.6
Caleb Swanigan,0.1
Cameron Payne,4.9
Cameron Reynolds,0.8
Caris LeVert,12.0
Carmelo Anthony,0.8
Cedi Osman,6.1
Chandler Hutchison,3.1
Chandler Parsons,4.9
Channing Frye,0.3
Chasson Randle,3.7
Cheick Diallo,0.1
Chimezie Metu,0.5
Chris Boucher,0.3
Chris Chiozza,2.1
Chris Paul,12.1
Christian Wood,1.3
Clint Capela,0.5
Cody Zeller,2.4
Collin Sexton,10.8
Corey Brewer,1.8
Cory Joseph,6.5
Courtney Lee,1.4
Cristiano Felicio,0.3
D'Angelo Russell,12.0
D.J. Augustin,10.2
D.J. Wilson,0.9
DJ Stephens,0.0
Dairis Bertans,0.7
Damian Jones,0.0
Damian Lillard,13.3
Damion Lee,1.1
Damyean Dotson,3.9
Daniel Hamilton,4.3
Daniel Theis,0.3
Danilo Gallinari,5.9
Danny Green,2.6
Dante Cunningham,0.6
Dante Exum,7.9
Danuel House Jr.,2.6
Dario Saric,2.2
Darius Miller,2.6
Darren Collison,7.5
Daryl Macon,2.0
David Nwaba,2.5
Davis Bertans,1.3
Davon Reed,0.3
De'Aaron Fox,12.2
De'Anthony Melton,4.9
DeAndre Jordan,0.1
DeAndre' Bembry,7.3
DeMar DeRozan,18.7
DeMarcus Cousins,3.4
DeMarre Carroll,3.6
DeVaughn Akoon-Purcell,1.3
Deandre Ayton,0.4
Delon Wright,8.2
Demetrius Jackson,2.3
Deng Adel,0.9
Dennis Schroder,11.7
Dennis Smith Jr.,12.0
Deonte Burton,1.6
Derrick Favors,0.3
Derrick Jones Jr.,1.2
Derrick Rose,12.0
Derrick White,8.6
Devin Booker,13.9
