Player,Drives
AJ Hammons,0.1
Aaron Brooks,4.2
Aaron Gordon,3.5
Aaron Harrison,0.2
Adreian Payne,0.9
Al Horford,2.7
Al Jefferson,0.1
Al-Farouq Aminu,4.1
Alan Anderson,1.8
Alan Williams,0.2
Alec Burks,3.2
Alex Abrines,1.0
Alex Len,0.3
Alex Poythress,3.2
Alexis Ajinca,0.5
Allen Crabbe,2.3
Alonzo Gee,0.5
Amir Johnson,0.6
Anderson Varejao,0.5
Andre Drummond,0.9
Andre Iguodala,1.4
Andre Roberson,1.2
Andrew Bogut,0.3
Andrew Harrison,5.7
Andrew Nicholson,0.3
Andrew Wiggins,9.6
Anthony Bennett,0.7
Anthony Brown,1.3
Anthony Davis,5.1
Anthony Morrow,1.4
Anthony Tolliver,1.3
Archie Goodwin,4.8
Arinze Onuaku,0.0
Aron Baynes,0.0
Arron Afflalo,2.1
Austin Rivers,8.4
Avery Bradley,3.9
Axel Toupane,0.5
Ben Bentil,0.0
Ben McLemore,1.7
Beno Udrih,4.6
Bismack Biyombo,0.1
Blake Griffin,3.9
Boban Marjanovic,0.0
Bobby Brown,1.0
Bobby Portis,0.9
Bojan Bogdanovic,5.2
Boris Diaw,2.6
Bradley Beal,8.5
Brandan Wright,0.4
Brandon Bass,0.4
Brandon Ingram,4.8
Brandon Jennings,6.0
Brandon Knight,7.1
Brandon Rush,1.1
Brian Roberts,2.1
Briante Weber,1.8
Brice Johnson,0.7
Brook Lopez,3.3
Bruno Caboclo,0.5
Bryn Forbes,0.6
Buddy Hield,4.2
C.J. Watson,1.9
C.J. Wilcox,0.5
CJ McCollum,10.1
CJ Miles,1.6
Cameron Payne,3.5
Caris LeVert,5.0
Carmelo Anthony,2.3
Chandler Parsons,3.1
Channing Frye,0.7
Chasson Randle,3.0
Cheick Diallo,0.4
Chinanu Onuaku,0.4
Chris Andersen,0.3
Chris McCullough,0.4
Chris Paul,9.7
Christian Wood,0.5
Clint Capela,0.6
Cody Zeller,1.3
Cole Aldrich,0.1
Corey Brewer,2.0
Cory Joseph,7.9
Courtney Lee,3.4
Cristiano Felicio,0.3
D'Angelo Russell,6.3
D.J. Augustin,4.0
Dahntay Jones,4.0
Damian Jones,0.3
Damian Lillard,13.8
Damjan Rudez,0.2
Daniel Ochefu,0.2
Danilo Gallinari,4.6
Danny Green,2.5
Dante Cunningham,0.6
Dante Exum,5.0
Danuel House Jr.,0.0
Dario Saric,5.5
Darrell Arthur,0.9
Darren Collison,7.1
Darrun Hilliard,2.1
David Lee,0.7
David Nwaba,2.9
David West,0.3
Davis Bertans,1.4
DeAndre Jordan,0.1
DeAndre Liggins,1.6
DeAndre' Bembry,1.3
DeMar DeRozan,15.3
DeMarcus Cousins,8.9
DeMarre Carroll,2.1
Dejounte Murray,3.3
Delon Wright,7.4
Demetrius Jackson,1.2
Dennis Schroder,15.5
Denzel Valentine,1.6
Deron Williams,7.0
Derrick Favors,0.2
Derrick Jones Jr.,0.7
Derrick Rose,13.8
Derrick Williams,1.3
Devin Booker,8.6
Devin Harris,4.5
Dewayne Dedmon,0.1
Deyonta Davis,0.0
Diamond Stone,0.0
Dion Waiters,14.0
Dirk Nowitzki,0.2
Domantas Sabonis,1.5
Donatas Motiejunas,0.6
Dorian Finney-Smith,1.9
Doug McDermott,1.6
Dragan Bender,0.7
Draymond Green,2.3
Dwight Howard,0.5
Dwight Powell,0.9
Dwyane Wade,9.2
E'Twaun Moore,4.8
Ed Davis,0.5
Edy Tavares,0.0
Elfrid Payton,11.9
Elijah Millsap,1.0
Emmanuel Mudiay,9.4
Enes Kanter,0.7
Eric Bledsoe,15.0
Eric Gordon,6.1
Ersan Ilyasova,1.6
Evan Fournier,9.0
Evan Turner,5.3
Frank Kaminsky,3.8
Fred VanVleet,3.7
Garrett Temple,2.2
Gary Harris,5.6
Gary Neal,1.5
Gary Payton II,3.7
George Hill,10.5
Georges Niang,0.7
Georgios Papagiannis,0.0
Gerald Green,1.4
Gerald Henderson,3.3
Giannis Antetokounmpo,10.9
Glenn Robinson III,1.3
Goran Dragic,17.7
Gordon Hayward,9.2
Gorgui Dieng,0.6
Greg Monroe,1.5
Greivis Vasquez,2.7
Harrison Barnes,5.9
Hassan Whiteside,0.6
Henry Ellenson,0.9
Hollis Thompson,2.3
Ian Clark,2.3
Ian Mahinmi,0.6
Iman Shumpert,2.5
Isaiah Canaan,1.6
Isaiah Taylor,1.8
Isaiah Thomas,16.8
Isaiah Whitehead,6.1
Ish Smith,9.6
Ivica Zubac,0.1
J.J. Barea,8.4
JJ Redick,2.3
JR Smith,1.7
JaMychal Green,0.9
JaVale McGee,0.3
Jabari Parker,7.7
Jae Crowder,1.6
Jahlil Okafor,3.2
Jake Layman,0.5
Jakob Poeltl,0.2
Jamal Crawford,4.3
Jamal Murray,4.4
Jameer Nelson,8.0
James Ennis III,1.8
James Harden,17.1
James Johnson,6.8
James Jones,0.1
James Michael McAdoo,0.3
James Young,0.4
Jared Dudley,2.4
Jared Sullinger,0.5
Jarell Eddie,0.6
Jarell Martin,1.1
Jarnell Stokes,0.0
Jarrett Jack,3.0
Jarrod Uthoff,0.8
Jason Smith,0.4
Jason Terry,1.6
Jaylen Brown,2.3
Jeff Green,2.7
Jeff Teague,13.6
Jeff Withey,0.1
Jerami Grant,2.2
Jeremy Lamb,4.3
Jeremy Lin,12.0
Jerian Grant,3.5
Jerryd Bayless,10.3
Jimmy Butler,14.1
Joakim Noah,0.8
Jodie Meeks,2.7
Joe Harris,3.0
Joe Ingles,4.2
Joe Johnson,3.5
Joe Young,1.6
Joel Anthony,0.1
Joel Bolomboy,0.2
Joel Embiid,3.9
Joffrey Lauvergne,0.8
John Henson,0.3
John Jenkins,0.0
John Lucas III,0.4
John Wall,16.9
Johnny O'Bryant III,0.5
Jon Leuer,2.2
Jonas Jerebko,1.2
Jonas Valanciunas,0.6
Jonathan Gibson,3.5
Jonathon Simmons,4.7
Jordan Clarkson,8.5
Jordan Crawford,3.9
Jordan Farmar,5.0
Jordan Hill,0.0
Jordan McRae,2.2
Jordan Mickey,0.3
