Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK
AJ Hammons,22,7.4,2.2,1.9,40.5,0.5,50.0,1.6,0.2,0.5,0.0,0.6
Aaron Brooks,65,13.7,5.0,4.6,40.3,2.0,37.5,1.1,1.9,1.0,0.4,0.1
Aaron Gordon,80,28.7,12.7,10.8,45.4,3.3,28.8,5.1,1.9,1.1,0.8,0.5
Aaron Harrison,5,3.3,0.2,0.8,0.0,0.4,0.0,0.6,0.6,0.0,0.0,0.0
Adreian Payne,18,7.5,3.5,3.0,42.6,0.8,20.0,1.8,0.4,0.4,0.4,0.4
Al Horford,68,32.3,14.0,11.8,47.3,3.6,35.5,6.8,5.0,1.7,0.8,1.3
Al Jefferson,66,14.1,8.1,7.1,49.9,0.0,0.0,4.2,0.9,0.5,0.3,0.2
Al-Farouq Aminu,61,29.1,8.7,7.6,39.3,3.5,33.0,7.4,1.6,1.5,1.0,0.7
Alan Anderson,30,10.3,2.9,2.7,37.5,1.5,31.8,0.8,0.4,0.2,0.1,0.0
Alan Williams,47,15.1,7.4,5.7,51.7,0.0,0.0,6.2,0.5,0.8,0.6,0.7
Alec Burks,42,15.5,6.7,5.9,39.9,1.8,32.9,2.9,0.7,0.8,0.4,0.1
Alex Abrines,68,15.5,6.0,5.0,39.3,3.6,38.1,1.3,0.6,0.5,0.5,0.1
Alex Len,77,20.3,8.0,6.0,49.7,0.2,25.0,6.6,0.6,1.3,0.5,1.3
Alex Poythress,6,26.1,10.7,9.0,46.3,3.2,31.6,4.8,0.8,0.5,0.5,0.3
Alexis Ajinca,39,15.0,5.3,4.6,50.0,0.1,0.0,4.5,0.3,0.8,0.5,0.6
Allen Crabbe,79,28.5,10.7,8.2,46.8,3.8,44.4,2.9,1.2,0.8,0.7,0.3
Alonzo Gee,13,6.9,0.8,1.1,21.4,0.2,0.0,1.2,0.5,0.3,0.4,0.1
