Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK
Aaron Gordon,25,29.4,14.6,11.7,43.7,4.5,37.5,6.6,4.2,2.7,0.6,0.8
Aaron Holiday,41,18.0,6.9,6.9,37.0,3.0,33.1,1.2,1.7,0.8,0.6,0.1
Aaron Nesmith,22,15.3,4.0,3.4,39.2,2.5,36.4,2.4,0.4,0.5,0.2,0.2
Abdel Nader,24,14.8,6.7,4.8,49.1,1.8,41.9,2.6,0.8,0.8,0.4,0.4
Adam Mokoka,9,5.2,1.4,1.7,40.0,0.9,12.5,0.4,0.4,0.2,0.2,0.1
Al Horford,28,27.9,14.2,12.9,45.0,5.4,36.8,6.7,3.4,1.0,0.9,0.9
Al-Farouq Aminu,17,21.6,5.5,5.2,40.4,1.8,22.6,5.4,1.7,1.5,1.0,0.5
Alec Burks,32,25.7,12.6,10.3,41.6,4.7,40.4,4.3,2.2,1.1,0.8,0.3
Aleksej Pokusevski,25,21.8,5.6,7.1,29.2,3.9,23.7,4.8,1.7,1.6,0.4,1.0
Alen Smailagic,3,4.3,1.7,2.3,28.6,1.3,25.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,34,19.9,5.8,4.9,42.2,2.2,40.8,2.9,2.4,1.1,1.0,0.2
Alex Len,34,14.5,6.1,3.7,64.0,0.6,30.0,3.6,0.9,0.9,0.3,1.1
Alfonzo McKinnie,23,5.3,2.5,1.7,55.0,0.8,42.1,1.1,0.1,0.1,0.1,0.0
Alize Johnson,1,33.0,23.0,15.0,73.3,1.0,0.0,15.0,3.0,1.0,2.0,0.0
Amir Coffey,27,7.4,3.0,2.1,49.1,1.2,45.5,0.7,0.4,0.3,0.2,0.0
Andre Drummond,25,28.9,17.5,15.2,47.4,0.3,0.0,13.5,2.6,3.2,1.6,1.2
Andre Iguodala,40,21.3,4.7,4.0,39.1,3.1,34.4,3.7,2.1,1.0,1.0,0.5
Andre Roberson,5,12.6,1.2,2.8,14.3,1.6,12.5,3.0,0.8,0.4,0.6,0.2
Andrew Wiggins,44,32.2,17.7,14.2,46.9,5.0,38.3,4.6,2.1,1.9,0.9,0.9
Anfernee Simons,36,16.6,8.0,6.8,39.4,4.8,40.9,2.3,1.4,0.8,0.2,0.1
Anthony Davis,23,32.8,22.5,16.7,53.3,2.5,29.3,8.4,3.0,2.0,1.3,1.8
Anthony Edwards,44,30.3,16.9,16.1,38.6,6.8,31.5,4.3,2.6,2.0,1.0,0.4
Anthony Gill,13,5.5,0.9,0.9,33.3,0.6,12.5,1.5,0.3,0.2,0.2,0.2
Anthony Lamb,7,15.4,2.6,4.3,20.0,2.4,17.6,3.9,0.3,0.3,0.1,0.1
Anzejs Pasecniks,1,6.3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0
Aron Baynes,41,18.7,6.0,5.8,42.4,2.0,25.0,5.3,0.9,0.9,0.3,0.4
Ashton Hagans,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Austin Rivers,21,21.1,7.3,6.4,43.0,3.7,36.4,2.2,2.0,1.0,0.6,0.0
Avery Bradley,10,21.1,8.5,6.6,47.0,3.8,42.1,1.8,1.4,0.9,0.7,0.1
Axel Toupane,1,3.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Bam Adebayo,38,33.7,19.2,12.8,55.7,0.2,28.6,9.5,5.4,2.8,0.9,1.1
Ben McLemore,29,16.2,6.9,6.7,34.5,4.9,31.0,2.1,0.9,0.9,0.6,0.1
Ben Simmons,36,34.1,16.1,11.2,56.3,0.2,37.5,8.0,7.6,3.5,1.5,0.7
Bismack Biyombo,41,21.7,5.5,4.0,57.8,0.0,0.0,5.3,1.3,1.0,0.3,1.1
Blake Griffin,22,30.0,11.6,10.4,37.3,5.7,31.7,5.0,3.5,1.5,0.7,0.1
Boban Marjanovic,20,7.6,4.4,3.9,49.4,0.2,0.0,3.9,0.2,0.4,0.1,0.1
Bobby Portis,43,21.0,11.0,8.6,53.8,2.4,48.0,6.8,1.1,0.8,0.8,0.4
Bogdan Bogdanovic,19,23.4,10.2,9.1,40.5,5.9,34.5,3.4,2.2,1.0,0.5,0.2
Bojan Bogdanovic,43,30.2,15.0,11.7,41.4,6.5,38.4,3.8,1.9,1.5,0.5,0.0
Bol Bol,19,5.3,2.3,1.7,48.5,0.8,43.8,0.8,0.3,0.5,0.1,0.3
Brad Wanamaker,39,16.0,4.7,4.4,35.3,1.6,21.3,1.7,2.5,0.9,0.7,0.2
Bradley Beal,39,35.7,31.8,22.9,48.8,6.5,33.3,5.1,4.6,3.3,1.3,0.4
Brandon Clarke,36,26.1,11.7,9.4,52.1,1.5,31.5,5.6,1.6,0.6,1.1,0.9
Brandon Goodwin,27,11.0,3.9,4.0,33.9,2.0,28.3,1.0,1.6,0.6,0.4,0.0
Brandon Ingram,43,34.3,24.2,18.0,47.9,6.3,38.1,5.1,4.7,2.4,0.7,0.7
Brian Bowen II,2,3.3,1.5,1.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Brodric Thomas,9,7.0,3.4,2.6,43.5,1.4,30.8,0.8,1.0,0.4,0.2,0.2
Brook Lopez,43,27.3,11.5,8.9,47.2,4.5,33.3,5.0,0.7,0.9,0.6,1.4
Bruce Brown,41,21.0,8.3,6.3,55.0,0.9,24.3,4.5,1.4,0.8,0.7,0.3
Bruno Caboclo,6,6.1,2.8,2.8,47.1,0.8,0.0,2.3,0.2,0.7,0.0,0.3
Bruno Fernando,21,7.7,1.5,1.3,40.7,0.1,0.0,3.0,0.4,0.7,0.1,0.1
Bryn Forbes,42,18.8,9.5,7.3,46.4,4.7,45.5,1.2,0.6,0.5,0.2,0.0
Buddy Hield,44,35.1,16.8,14.5,39.3,10.5,38.2,4.6,3.3,1.8,0.8,0.3
CJ Elleby,14,8.3,2.8,2.4,41.2,1.5,23.8,1.1,0.2,0.2,0.3,0.2
CJ McCollum,18,32.0,23.8,19.1,43.9,10.3,42.5,3.8,4.3,1.1,1.1,0.3
Caleb Martin,30,14.2,5.3,4.8,40.3,2.1,31.7,2.5,1.0,0.7,0.8,0.2
Cam Reddish,26,28.9,11.2,10.1,36.5,4.8,26.2,4.0,1.3,1.3,1.3,0.3
Cameron Johnson,37,23.7,10.1,8.1,44.0,5.5,38.4,3.3,1.3,0.7,0.6,0.4
Cameron Payne,32,17.1,6.9,5.3,48.0,2.4,42.3,2.1,3.7,1.1,0.6,0.2
Caris LeVert,19,29.3,17.8,16.1,42.5,5.6,34.9,4.3,5.3,1.9,1.3,0.3
Carmelo Anthony,42,25.7,14.0,11.8,41.9,4.6,38.7,3.3,1.7,1.0,0.8,0.7
