Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK
Aaron Gordon,62,32.5,14.4,12.4,43.7,3.8,30.8,7.7,3.7,1.6,0.8,0.6
Aaron Holiday,66,24.5,9.5,8.5,41.4,3.3,39.4,2.4,3.4,1.3,0.8,0.2
Abdel Nader,55,15.8,6.3,4.8,46.8,2.3,37.5,1.8,0.7,0.8,0.4,0.4
Adam Mokoka,11,10.2,2.9,2.5,42.9,1.4,40.0,0.9,0.4,0.2,0.4,0.0
Admiral Schofield,33,11.2,3.0,2.8,38.0,1.8,31.1,1.4,0.5,0.2,0.2,0.1
Al Horford,67,30.2,11.9,10.6,45.0,4.2,35.0,6.8,4.0,1.2,0.8,0.9
Al-Farouq Aminu,18,21.1,4.3,4.8,29.1,2.0,25.0,4.8,1.2,0.9,1.0,0.4
Alec Burks,66,26.6,15.0,11.6,41.8,4.6,38.5,4.3,2.9,1.4,0.9,0.3
Alen Smailagic,14,9.9,4.2,2.9,50.0,0.9,23.1,1.9,0.9,0.8,0.2,0.3
Alex Caruso,64,18.4,5.5,4.5,41.2,1.9,33.3,1.9,1.9,0.8,1.1,0.3
Alex Len,55,17.6,8.0,5.8,55.5,1.1,27.1,5.8,0.9,1.0,0.4,0.9
Alfonzo McKinnie,40,14.8,4.6,4.3,42.7,1.6,21.5,2.8,0.4,0.7,0.6,0.2
Alize Johnson,17,6.9,2.0,1.7,41.4,0.5,37.5,2.8,0.4,0.4,0.2,0.1
Allen Crabbe,37,17.6,4.6,4.8,35.6,3.2,30.3,2.1,0.9,0.5,0.4,0.1
Allonzo Trier,24,12.1,6.5,4.4,48.1,2.2,35.8,1.2,1.2,0.9,0.1,0.2
Amile Jefferson,18,4.1,0.8,0.8,35.7,0.0,0.0,1.3,0.2,0.2,0.1,0.2
Amir Coffey,18,8.8,3.2,3.0,42.6,1.1,31.6,0.9,0.8,0.4,0.3,0.1
Andre Drummond,57,33.0,17.7,13.8,53.3,0.6,14.3,15.2,2.7,3.6,1.9,1.6
Andre Iguodala,21,19.9,4.6,4.2,43.2,2.2,29.8,3.7,2.4,1.2,0.7,1.0
Andre Roberson,7,12.4,2.9,4.1,27.6,2.0,21.4,3.9,0.6,0.3,0.1,0.4
Andrew Wiggins,54,34.4,21.8,18.1,44.7,6.2,33.2,5.1,3.7,2.4,0.8,1.0
Anfernee Simons,70,20.7,8.3,7.7,39.9,3.2,33.2,2.2,1.4,0.9,0.4,0.1
Ante Zizic,22,10.0,4.4,3.3,56.9,0.0,0.0,3.0,0.3,0.5,0.3,0.2
Anthony Davis,62,34.4,26.1,17.7,50.3,3.5,33.0,9.3,3.2,2.5,1.5,2.3
Anthony Tolliver,55,15.9,3.6,3.3,35.7,2.6,33.8,2.8,0.8,0.6,0.3,0.2
Antonius Cleveland,11,4.2,1.0,1.3,28.6,0.3,0.0,0.6,0.1,0.2,0.1,0.3
Anzejs Pasecniks,27,16.2,5.8,4.3,52.6,0.1,0.0,4.0,0.7,0.9,0.3,0.4
Aron Baynes,42,22.2,11.5,9.1,48.0,4.0,35.1,5.6,1.6,1.2,0.2,0.5
Austin Rivers,68,23.4,8.8,7.4,42.1,4.0,35.6,2.6,1.7,0.7,0.7,0.1
Avery Bradley,49,24.2,8.6,7.8,44.4,3.5,36.4,2.3,1.3,1.0,0.9,0.1
BJ Johnson,10,8.3,3.0,3.2,28.1,0.9,33.3,1.5,0.3,0.6,0.3,0.0
Bam Adebayo,72,33.6,15.9,11.0,55.7,0.2,14.3,10.2,5.1,2.8,1.1,1.3
Ben McLemore,71,22.8,10.1,7.7,44.4,6.4,40.0,2.2,0.8,0.7,0.6,0.2
Ben Simmons,57,35.4,16.4,11.4,58.0,0.1,28.6,7.8,8.0,3.5,2.1,0.6
Bismack Biyombo,53,19.4,7.4,5.2,54.3,0.0,0.0,5.8,0.9,0.9,0.2,0.9
Blake Griffin,18,28.5,15.5,13.9,35.2,6.2,24.3,4.7,3.3,2.2,0.4,0.4
Boban Marjanovic,44,9.6,6.6,4.8,57.3,0.4,23.5,4.5,0.5,0.7,0.2,0.2
Bobby Portis,66,21.1,10.1,8.9,45.0,2.8,35.8,5.1,1.5,1.1,0.5,0.3
Bogdan Bogdanovic,61,28.9,15.1,12.6,44.0,7.2,37.2,3.4,3.4,1.7,1.0,0.2
Bojan Bogdanovic,63,33.1,20.2,14.8,44.7,7.3,41.4,4.1,2.1,2.5,0.5,0.1
Bol Bol,7,12.4,5.7,4.0,50.0,1.3,44.4,2.7,0.9,1.4,0.3,0.9
Brad Wanamaker,71,19.3,6.9,5.1,44.8,1.4,36.3,2.0,2.5,1.1,0.9,0.2
Bradley Beal,57,36.0,30.5,22.9,45.5,8.4,35.3,4.2,6.1,3.4,1.2,0.4
Brandon Clarke,58,22.4,12.1,8.3,61.8,1.1,35.9,5.9,1.4,0.9,0.6,0.8
Brandon Goodwin,34,12.7,6.1,5.6,40.0,2.6,29.9,2.1,1.5,0.9,0.4,0.1
Brandon Ingram,62,33.9,23.8,17.7,46.3,6.2,39.1,6.1,4.2,3.0,1.0,0.6
Brandon Knight,25,18.5,7.3,6.7,35.3,5.2,34.4,1.6,2.8,1.5,0.4,0.1
Brian Bowen II,6,5.2,1.0,1.7,30.0,0.3,0.0,1.2,0.0,0.2,0.0,0.2
Brook Lopez,68,26.7,12.0,9.9,43.5,4.8,31.4,4.6,1.5,1.0,0.7,2.4
Bruce Brown,58,28.2,8.9,7.7,44.3,1.7,34.4,4.7,4.0,1.7,1.1,0.5
Bruno Caboclo,30,8.1,3.0,3.0,42.7,1.1,18.2,2.0,0.4,0.4,0.5,0.6
Bruno Fernando,56,12.7,4.3,3.6,51.8,0.7,13.5,3.5,0.9,0.8,0.3,0.3
Bryn Forbes,63,25.1,11.2,9.2,41.7,6.0,38.8,2.0,1.7,0.9,0.5,0.0
Buddy Hield,72,30.8,19.2,16.1,42.9,9.6,39.4,4.6,3.0,2.3,0.9,0.2
CJ McCollum,70,36.5,22.2,19.4,45.1,7.3,37.9,4.2,4.4,1.8,0.8,0.6
CJ Miles,10,16.1,6.4,5.9,32.2,3.5,31.4,1.2,1.2,0.4,1.0,0.4
Caleb Martin,18,17.6,6.2,4.7,44.0,2.1,54.1,2.1,1.3,0.8,0.7,0.4
Caleb Swanigan,27,10.7,2.4,1.7,59.6,0.1,0.0,3.7,1.1,1.4,0.1,0.3
Cam Reddish,58,26.7,10.5,9.6,38.4,4.3,33.2,3.7,1.5,1.7,1.1,0.5
Cameron Johnson,57,22.0,8.8,7.1,43.5,4.8,39.0,3.3,1.2,0.6,0.6,0.4
Cameron Payne,8,22.9,10.9,8.5,48.5,3.6,51.7,3.9,3.0,1.4,1.0,0.3
Caris LeVert,45,29.6,18.7,16.3,42.5,4.9,36.4,4.2,4.4,2.6,1.2,0.2
Carmelo Anthony,58,32.8,15.4,13.5,43.0,3.9,38.5,6.3,1.5,1.7,0.8,0.5
Carsen Edwards,37,9.5,3.3,3.5,32.8,2.1,31.6,1.3,0.6,0.4,0.3,0.1
Cedi Osman,65,29.4,11.0,9.4,43.7,4.9,38.3,3.6,2.4,1.4,0.8,0.2
Chandler Hutchison,28,18.8,7.8,6.3,45.7,1.4,31.6,3.9,0.9,1.0,1.0,0.3
Chandler Parsons,5,10.8,2.8,3.6,27.8,2.8,28.6,1.4,0.6,0.6,0.8,0.2
Charlie Brown Jr.,10,4.0,2.0,1.9,31.6,0.9,33.3,0.4,0.2,0.3,0.2,0.2
Chasson Randle,3,13.5,1.7,1.3,0.0,0.7,0.0,0.7,1.7,0.0,0.7,0.0
Cheick Diallo,47,10.2,4.7,3.0,64.8,0.1,33.3,2.8,0.5,0.7,0.2,0.3
Chimezie Metu,18,5.8,3.2,2.3,57.1,0.1,0.0,1.8,0.6,0.6,0.2,0.3
Chris Boucher,62,13.2,6.6,4.8,47.2,1.9,32.2,4.5,0.4,0.5,0.4,1.0
Chris Chiozza,28,14.3,5.1,5.0,39.3,2.6,37.5,1.9,3.0,1.1,0.8,0.1
Chris Clemons,33,8.8,4.9,4.3,40.1,3.2,34.6,0.9,0.8,0.6,0.3,0.2
Chris Paul,70,31.5,17.6,12.7,48.9,4.3,36.5,5.0,6.7,2.3,1.6,0.2
Chris Silva,44,7.9,3.0,1.8,61.5,0.1,0.0,2.9,0.5,0.7,0.2,0.5
Christian Wood,62,21.4,13.1,8.2,56.7,2.3,38.6,6.3,1.0,1.4,0.5,0.9
Clint Capela,39,32.8,13.9,9.9,62.9,0.0,0.0,13.8,1.2,1.6,0.8,1.8
Coby White,65,25.8,13.2,12.2,39.4,5.8,35.4,3.5,2.7,1.7,0.8,0.1
Cody Martin,48,18.8,5.0,4.3,43.0,1.6,23.4,3.3,2.0,0.9,0.8,0.2
Cody Zeller,58,23.1,11.1,8.3,52.4,1.3,24.0,7.1,1.5,1.3,0.7,0.4
Collin Sexton,65,33.0,20.8,16.7,47.2,3.9,38.0,3.1,3.0,2.4,1.0,0.1
Corey Brewer,5,6.5,1.0,0.8,50.0,0.2,0.0,1.6,0.4,0.4,0.8,0.0
Cory Joseph,72,24.4,6.4,5.7,41.5,2.2,35.2,2.6,3.5,1.1,0.7,0.3
