Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK
Courtney Lee,24,14.4,4.5,3.4,48.8,2.0,44.7,1.3,0.5,0.5,0.8,0.3
Cristiano Felicio,22,17.5,3.9,2.5,63.0,0.1,0.0,4.6,0.7,0.8,0.5,0.1
D'Angelo Russell,45,32.3,23.1,18.8,42.6,9.6,36.7,3.9,6.3,3.3,1.1,0.3
D.J. Augustin,57,24.9,10.5,8.1,39.9,3.5,34.8,2.1,4.6,1.5,0.6,0.0
D.J. Wilson,37,9.8,3.6,3.6,39.4,2.0,24.7,2.5,0.7,0.5,0.1,0.1
DaQuan Jeffries,13,10.9,3.8,3.1,50.0,1.4,27.8,1.4,0.5,0.2,0.3,0.1
Damian Jones,55,16.1,5.6,3.2,68.0,0.2,22.2,3.7,0.6,0.5,0.5,0.7
Damian Lillard,66,37.5,30.0,20.4,46.3,10.2,40.1,4.3,8.0,2.9,1.1,0.3
Damion Lee,49,29.0,12.7,10.4,41.7,4.9,35.6,4.9,2.7,1.4,1.0,0.1
Damyean Dotson,48,17.4,6.7,6.0,41.4,3.4,36.2,1.9,1.2,0.4,0.5,0.1
Daniel Gafford,43,14.2,5.1,3.1,70.1,0.0,0.0,2.5,0.5,0.7,0.3,1.3
Daniel Theis,65,24.1,9.2,6.6,56.6,1.5,33.3,6.6,1.7,0.8,0.6,1.3
Danilo Gallinari,62,29.6,18.7,13.2,43.8,7.1,40.5,5.2,1.9,1.2,0.7,0.1
Danny Green,68,24.8,8.0,7.0,41.6,4.8,36.7,3.3,1.3,0.9,1.3,0.5
Dante Exum,35,13.9,4.5,3.4,47.1,1.2,34.9,1.9,1.1,0.9,0.4,0.2
Danuel House Jr.,63,30.4,10.5,8.6,42.7,5.6,36.3,4.2,1.3,0.9,1.1,0.5
Dario Saric,66,24.7,10.7,8.2,47.6,3.6,35.7,6.2,1.9,1.3,0.6,0.2
Darius Bazley,61,18.5,5.6,5.2,39.4,2.3,34.8,4.0,0.7,0.7,0.4,0.7
Darius Garland,59,30.9,12.3,11.8,40.1,5.0,35.5,1.9,3.9,2.6,0.7,0.1
Daryl Macon,4,3.5,0.8,0.8,33.3,0.5,50.0,0.0,0.3,0.5,0.0,0.0
David Nwaba,20,13.4,5.2,3.6,52.1,1.4,42.9,2.3,0.4,0.4,0.6,0.6
Davis Bertans,54,29.3,15.4,11.3,43.4,8.7,42.4,4.5,1.7,1.1,0.7,0.6
De'Aaron Fox,51,32.0,21.1,16.0,48.0,3.6,29.2,3.8,6.8,3.1,1.5,0.5
De'Andre Hunter,63,32.0,12.3,10.8,41.0,4.8,35.5,4.5,1.8,1.6,0.7,0.3
De'Anthony Melton,60,19.5,7.6,6.7,40.1,2.3,28.6,3.7,2.9,1.4,1.3,0.3
DeAndre Jordan,56,22.0,8.3,5.1,66.6,0.0,0.0,10.0,1.9,1.3,0.3,0.9
DeAndre' Bembry,43,21.3,5.8,5.3,45.6,1.5,23.1,3.5,1.9,1.4,1.3,0.4
DeMar DeRozan,68,34.1,22.1,15.4,53.1,0.5,25.7,5.5,5.6,2.4,1.0,0.3
DeMarre Carroll,24,12.1,3.6,2.8,37.9,1.4,24.2,2.3,1.0,0.7,0.3,0.2
Dean Wade,12,6.0,1.7,1.1,69.2,0.3,50.0,1.6,0.2,0.3,0.2,0.3
Deandre Ayton,38,32.5,18.2,14.9,54.6,0.3,23.1,11.5,1.9,2.1,0.7,1.5
Dejounte Murray,66,25.6,10.9,9.7,46.2,1.7,36.9,5.8,4.1,1.9,1.7,0.3
Delon Wright,73,21.5,6.9,5.6,46.2,1.7,37.0,3.8,3.3,1.0,1.2,0.3
Dennis Schroder,65,30.8,18.9,14.8,46.9,5.0,38.5,3.6,4.0,2.6,0.7,0.2
Dennis Smith Jr.,34,15.8,5.5,6.2,34.1,1.6,29.6,2.3,2.9,1.7,0.8,0.2
Denzel Valentine,36,13.6,6.8,6.6,40.9,3.8,33.6,2.1,1.2,0.7,0.7,0.2
Deonte Burton,39,9.1,2.7,3.2,34.4,1.4,18.9,1.5,0.4,0.5,0.2,0.3
Derrick Favors,51,24.4,9.0,6.6,61.7,0.1,14.3,9.8,1.6,1.1,0.6,0.9
Derrick Jones Jr.,59,23.3,8.5,5.9,52.7,2.2,28.0,3.9,1.1,0.5,1.0,0.6
Derrick Rose,50,26.0,18.1,15.1,49.0,2.9,30.6,2.4,5.6,2.5,0.8,0.3
Derrick Walton Jr.,26,9.6,2.0,1.5,46.2,0.9,41.7,0.6,1.0,0.2,0.3,0.0
Derrick White,68,24.7,11.3,8.1,45.8,3.2,36.6,3.3,3.5,1.3,0.6,0.9
Devin Booker,70,35.9,26.6,18.3,48.9,5.7,35.4,4.2,6.5,3.8,0.7,0.3
Devon Hall,11,7.3,1.8,2.7,20.0,1.5,23.5,0.6,1.2,0.5,0.4,0.1
Devontae Cacok,1,8.9,6.0,6.0,50.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
Devonte' Graham,63,35.1,18.2,15.3,38.2,9.3,37.3,3.4,7.5,2.9,1.0,0.2
Dewan Hernandez,6,4.7,2.3,2.3,35.7,0.3,50.0,2.3,0.5,0.5,0.2,0.0
Dewayne Dedmon,44,17.6,5.8,5.8,40.0,2.4,20.6,5.7,0.5,1.3,0.6,0.9
Dillon Brooks,73,28.9,16.2,14.6,40.7,5.6,35.8,3.3,2.1,1.7,0.9,0.4
Dion Waiters,10,20.7,11.1,9.9,41.4,4.7,31.9,2.4,2.0,1.6,0.4,0.6
Domantas Sabonis,62,34.8,18.5,13.7,54.0,1.1,25.4,12.4,5.0,2.7,0.8,0.5
Donovan Mitchell,69,34.3,24.0,19.4,44.9,6.9,36.6,4.4,4.3,2.7,1.0,0.2
Donta Hall,9,14.8,4.3,2.4,68.2,0.0,0.0,4.2,0.4,0.6,0.3,0.7
Donte DiVincenzo,66,23.0,9.2,7.7,45.5,3.7,33.6,4.8,2.3,1.4,1.3,0.3
Dorian Finney-Smith,71,29.9,9.5,7.4,46.6,4.3,37.6,5.7,1.6,1.0,0.6,0.5
Doug McDermott,69,19.9,10.3,7.9,48.8,4.3,43.5,2.5,1.1,0.6,0.2,0.1
Dragan Bender,16,17.8,6.7,5.8,44.6,2.7,34.9,4.6,1.8,1.3,0.3,0.6
Draymond Green,43,28.4,8.0,7.3,38.9,3.0,27.9,6.2,6.2,2.3,1.4,0.8
Drew Eubanks,22,12.4,4.9,3.0,64.2,0.0,100,3.9,0.7,1.0,0.2,0.8
Duncan Robinson,73,29.7,13.5,9.4,47.0,8.3,44.6,3.2,1.4,1.0,0.5,0.3
Dusty Hannahs,2,6.7,6.0,4.5,44.4,1.5,66.7,0.5,0.0,0.0,0.0,0.0
Dwayne Bacon,39,17.6,5.7,6.3,34.8,1.7,28.4,2.6,1.3,0.9,0.6,0.1
Dwight Howard,69,18.9,7.5,4.0,72.9,0.1,60.0,7.3,0.7,1.2,0.4,1.1
Dwight Powell,40,26.5,9.4,5.7,63.8,1.0,25.6,5.7,1.5,0.9,0.9,0.6
Dzanan Musa,40,12.2,4.8,4.3,37.2,2.0,24.4,2.2,1.1,0.9,0.4,0.0
E'Twaun Moore,56,18.2,8.3,7.8,42.6,3.0,37.7,2.3,1.4,0.7,0.6,0.2
Ed Davis,28,10.8,1.8,1.6,47.8,0.0,0.0,3.8,0.4,0.5,0.4,0.3
Edmond Sumner,31,14.4,4.9,4.6,43.0,1.7,26.4,1.5,1.8,0.7,0.5,0.3
Elfrid Payton,45,27.7,10.0,9.8,43.9,1.5,20.3,4.7,7.2,2.1,1.6,0.4
Elie Okobo,55,13.1,4.0,3.3,39.8,1.3,35.2,1.6,2.1,0.7,0.4,0.1
Emmanuel Mudiay,54,15.7,7.3,6.1,46.2,1.6,34.5,2.3,2.1,1.4,0.4,0.2
Enes Kanter,58,17.0,8.1,6.0,57.2,0.1,14.3,7.4,1.0,1.0,0.4,0.7
Eric Bledsoe,61,27.0,14.9,11.5,47.5,3.5,34.4,4.6,5.4,2.4,0.9,0.4
Eric Gordon,36,28.2,14.4,12.9,36.9,8.4,31.7,2.0,1.5,1.2,0.6,0.4
Eric Mika,1,19.0,6.0,3.0,66.7,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Eric Paschall,60,27.6,14.0,10.7,49.7,2.2,28.7,4.6,2.1,1.6,0.5,0.2
Ersan Ilyasova,63,15.7,6.6,5.0,46.6,2.2,36.5,4.8,0.8,0.5,0.4,0.3
Evan Fournier,66,31.4,18.5,14.1,46.7,6.6,39.9,2.6,3.2,1.9,1.1,0.2
Evan Turner,19,13.2,3.3,3.5,37.3,0.3,0.0,2.0,2.0,1.4,0.5,0.4
Frank Jackson,59,13.5,6.3,5.6,40.5,2.4,32.6,1.4,1.0,0.8,0.3,0.1
Frank Kaminsky,39,19.9,9.7,7.9,45.0,3.2,33.1,4.5,1.9,0.9,0.4,0.3
Frank Mason,9,13.1,6.9,5.7,45.1,2.3,28.6,2.1,3.2,1.2,0.6,0.1
Frank Ntilikina,57,20.8,6.3,5.8,39.3,2.4,32.1,2.1,3.0,1.2,0.9,0.3
Fred VanVleet,54,35.7,17.6,14.3,41.3,6.9,39.0,3.8,6.6,2.2,1.9,0.3
Furkan Korkmaz,72,21.7,9.8,7.8,43.0,4.9,40.2,2.3,1.1,0.8,0.6,0.2
Gabe Vincent,9,9.2,2.4,4.1,21.6,3.0,22.2,0.6,0.7,0.1,0.6,0.0
Garrett Temple,62,27.9,10.3,9.5,37.8,6.2,32.9,3.5,2.5,1.0,0.8,0.5
Garrison Mathews,18,12.6,5.4,3.1,42.9,2.6,41.3,1.3,0.6,0.4,0.4,0.1
Gary Clark,42,13.5,3.7,3.2,40.6,2.6,35.1,2.6,0.4,0.2,0.1,0.5
Gary Harris,56,31.8,10.4,9.3,42.0,3.8,33.3,2.9,2.1,1.1,1.4,0.3
Gary Payton II,29,14.9,3.9,4.0,41.4,1.6,28.3,2.8,1.7,0.7,1.1,0.2
Gary Trent Jr.,61,21.8,8.9,7.2,44.4,4.4,41.8,1.6,1.0,0.3,0.8,0.3
George Hill,59,21.5,9.4,6.4,51.6,3.0,46.0,3.0,3.1,1.0,0.8,0.1
Georges Niang,66,14.0,5.9,4.9,43.8,3.4,40.0,1.9,0.7,0.5,0.3,0.1
Giannis Antetokounmpo,63,30.4,29.5,19.7,55.3,4.7,30.4,13.6,5.6,3.7,1.0,1.0
Glenn Robinson III,62,28.8,11.7,9.5,48.6,3.2,39.1,4.4,1.5,0.9,0.9,0.3
Goga Bitadze,54,8.7,3.2,2.8,46.7,0.8,19.0,2.0,0.4,0.5,0.2,0.7
Goran Dragic,59,28.2,16.2,12.3,44.1,5.7,36.7,3.2,5.1,2.4,0.7,0.2
Gordon Hayward,52,33.5,17.5,13.5,50.0,4.3,38.3,6.7,4.1,1.8,0.7,0.4
Gorgui Dieng,63,17.4,7.4,5.8,45.6,2.4,35.5,5.6,1.2,1.0,0.8,0.9
Grant Williams,69,15.1,3.4,3.1,41.2,1.4,25.0,2.6,1.0,0.7,0.4,0.5
Grayson Allen,38,18.9,8.7,6.6,46.6,3.7,40.4,2.2,1.4,0.9,0.3,0.1
Hamidou Diallo,46,19.5,6.9,6.4,44.6,1.2,28.1,3.6,0.8,1.1,0.8,0.2
Harrison Barnes,72,34.5,14.5,11.0,46.0,3.7,38.1,4.9,2.2,1.2,0.6,0.2
Harry Giles III,46,14.5,6.9,5.5,55.4,0.0,0.0,4.1,1.3,1.0,0.5,0.4
Hassan Whiteside,67,30.0,15.5,10.5,62.1,0.1,57.1,13.5,1.2,1.8,0.4,2.9
Henry Ellenson,5,3.0,0.4,1.4,14.3,0.8,0.0,1.2,0.2,0.0,0.0,0.0
Ian Mahinmi,38,21.3,7.4,5.5,49.5,0.7,19.2,5.7,1.3,1.2,0.8,1.2
Ignas Brazdeikis,9,5.9,1.9,2.4,27.3,1.0,11.1,0.6,0.4,0.2,0.0,0.1
Iman Shumpert,13,18.5,4.2,4.9,32.8,2.5,24.2,2.6,0.9,0.8,0.9,0.2
Isaac Bonga,66,18.9,5.0,3.5,50.4,1.1,35.2,3.4,1.2,0.9,0.7,0.3
Isaiah Hartenstein,23,11.6,4.7,2.9,65.7,0.2,0.0,3.9,0.8,0.7,0.4,0.5
Isaiah Roby,3,3.8,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0
Isaiah Thomas,40,23.1,12.2,10.7,40.8,4.7,41.3,1.7,3.7,1.9,0.3,0.2
Ish Smith,68,26.3,10.9,10.1,44.7,2.5,36.7,3.2,4.9,1.4,0.9,0.4
Ivica Zubac,72,18.4,8.3,5.3,61.3,0.0,0.0,7.5,1.1,0.8,0.2,0.9
J.J. Barea,29,15.5,7.7,7.1,41.1,2.9,37.6,1.8,3.9,1.3,0.2,0.1
J.P. Macura,1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ Redick,60,26.3,15.3,10.5,45.3,6.6,45.3,2.5,2.0,1.3,0.3,0.2
JR Smith,6,13.2,2.8,3.7,31.8,1.8,9.1,0.8,0.5,0.7,0.2,0.0
Ja Morant,67,31.0,17.8,14.0,47.7,2.7,33.5,3.9,7.3,3.3,0.9,0.3
JaKarr Sampson,34,13.8,4.6,3.4,59.1,0.4,15.4,2.6,0.6,0.4,0.5,0.4
JaMychal Green,63,20.7,6.8,5.6,42.9,3.8,38.7,6.2,0.8,0.9,0.5,0.4
JaVale McGee,68,16.6,6.6,4.5,63.7,0.1,50.0,5.7,0.5,0.8,0.5,1.4
Jabari Parker,38,24.2,14.0,11.3,51.0,3.1,26.9,5.6,1.8,1.7,1.2,0.4
Jacob Evans,29,14.4,4.4,4.6,33.6,1.3,33.3,1.4,1.1,0.9,0.4,0.4
Jae Crowder,65,28.8,10.5,8.7,40.1,6.1,34.3,5.9,2.5,1.1,1.1,0.4
Jahlil Okafor,30,15.6,8.1,5.4,62.3,0.1,33.3,4.2,1.2,1.3,0.2,0.7
Jake Layman,23,22.0,9.1,7.8,45.3,3.1,33.3,2.5,0.7,1.0,0.7,0.4
Jakob Poeltl,66,17.7,5.6,4.0,62.4,0.0,0.0,5.7,1.8,0.8,0.6,1.4
Jalen Brunson,57,17.9,8.2,6.8,46.6,2.1,35.8,2.4,3.3,1.2,0.4,0.1
Jalen Lecque,5,6.3,2.0,2.0,40.0,0.8,0.0,0.4,0.4,0.4,0.0,0.0
Jalen McDaniels,16,18.3,5.6,4.4,47.1,1.5,37.5,4.1,0.8,0.7,0.5,0.2
Jamal Crawford,1,6.0,5.0,4.0,50.0,2.0,50.0,0.0,3.0,0.0,0.0,0.0
Jamal Murray,59,32.3,18.5,15.2,45.6,5.5,34.6,4.0,4.8,2.2,1.1,0.3
James Ennis III,69,18.3,6.6,5.2,44.6,2.4,32.5,3.6,0.9,0.8,0.5,0.3
James Harden,68,36.5,34.3,22.3,44.4,12.4,35.5,6.6,7.5,4.5,1.8,0.9
James Johnson,32,19.4,8.4,6.7,47.9,2.8,36.3,3.7,2.3,1.5,0.8,1.0
Jared Dudley,45,8.1,1.5,1.3,40.0,0.9,42.9,1.2,0.6,0.2,0.3,0.1
Jared Harper,3,2.6,0.7,1.3,25.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Jaren Jackson Jr.,57,28.5,17.4,13.2,46.9,6.5,39.4,4.6,1.4,1.7,0.7,1.6
Jarred Vanderbilt,11,4.2,1.1,0.7,62.5,0.1,0.0,0.8,0.2,0.6,0.3,0.1
Jarrell Brantley,9,10.7,2.7,3.1,35.7,1.4,23.1,2.2,1.2,0.8,0.3,0.6
Jarrett Allen,70,26.5,11.1,6.6,64.9,0.1,0.0,9.6,1.6,1.1,0.6,1.3
Jarrett Culver,63,23.9,9.2,9.0,40.4,3.5,29.9,3.4,1.7,1.3,0.9,0.6
Jarrod Uthoff,7,7.6,2.7,2.6,38.9,1.3,33.3,0.9,0.0,0.0,0.1,0.0
Javonte Green,48,9.7,3.4,2.6,50.0,0.7,27.3,1.9,0.5,0.5,0.5,0.2
Jaxson Hayes,64,16.9,7.4,4.0,67.2,0.1,25.0,4.0,0.9,0.8,0.4,0.9
Jaylen Brown,57,33.9,20.3,15.6,48.1,5.9,38.2,6.4,2.1,2.2,1.1,0.4
Jaylen Hoard,13,7.9,2.9,2.5,46.9,0.2,0.0,2.5,0.3,0.3,0.4,0.0
Jaylen Nowell,15,10.1,3.8,3.5,35.8,1.7,11.5,0.9,1.3,0.2,0.2,0.1
Jayson Tatum,66,34.3,23.4,18.6,45.0,7.1,40.3,7.0,3.0,2.3,1.4,0.9
Jeff Green,48,20.0,9.4,7.2,46.2,3.8,33.9,2.8,1.0,0.9,0.5,0.4
Jeff Teague,59,24.8,10.9,8.3,43.6,2.0,36.8,2.4,5.2,2.0,0.7,0.3
Jerami Grant,71,26.6,12.0,8.9,47.8,3.5,38.9,3.5,1.2,0.9,0.7,0.8
Jeremiah Martin,9,11.0,7.1,5.9,45.3,2.0,27.8,1.1,2.0,0.4,0.8,0.2
Jeremy Lamb,46,28.1,12.5,10.4,45.1,3.4,33.5,4.3,2.1,1.1,1.2,0.5
Jeremy Pargo,3,14.8,8.3,7.3,50.0,2.3,42.9,1.0,2.7,1.3,0.3,0.0
Jerian Grant,6,13.4,4.5,4.5,37.0,1.3,25.0,1.0,1.5,0.5,0.2,0.2
Jerome Robinson,63,15.5,5.1,4.9,37.1,2.4,32.0,2.0,1.4,0.8,0.4,0.3
Jevon Carter,58,16.3,4.9,4.2,41.6,2.5,42.5,2.0,1.4,0.6,0.8,0.3
Jimmy Butler,58,33.8,19.9,13.1,45.5,2.1,24.4,6.7,6.0,2.2,1.8,0.6
Joakim Noah,5,10.0,2.8,1.6,50.0,0.0,0.0,3.2,1.4,1.2,0.2,0.2
Joe Chealey,4,8.4,0.5,1.8,0.0,1.0,0.0,0.0,0.3,0.5,1.0,0.0
Joe Harris,69,30.8,14.5,11.4,48.6,5.9,42.4,4.3,2.1,1.5,0.6,0.2
Joe Ingles,72,29.7,9.8,7.7,44.5,4.9,39.9,3.9,5.2,2.0,0.9,0.2
Joel Embiid,51,29.5,23.0,15.7,47.7,3.4,33.1,11.6,3.0,3.1,0.9,1.3
John Collins,41,33.2,21.6,14.8,58.3,3.6,40.1,10.1,1.5,1.8,0.8,1.6
John Henson,40,15.0,5.5,4.3,55.6,0.9,22.2,4.1,1.4,0.9,0.6,1.1
John Konchar,19,9.5,2.8,1.9,64.9,0.5,50.0,2.5,1.2,0.4,0.4,0.2
