Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK
Anthony Brown,29,20.6,4.0,4.3,31.0,2.4,28.6,2.4,0.7,0.5,0.5,0.2
Anthony Davis,61,35.5,24.3,18.6,49.3,1.8,32.4,10.3,1.9,2.0,1.3,2.0
Anthony Morrow,68,13.6,5.6,4.9,40.8,3.0,38.7,0.9,0.4,0.3,0.3,0.1
Anthony Tolliver,72,18.6,5.3,4.6,38.6,3.8,36.0,3.2,0.7,0.4,0.4,0.2
Archie Goodwin,57,19.5,8.9,7.4,41.7,1.7,23.2,2.5,2.1,1.8,0.5,0.2
Aron Baynes,81,15.2,6.3,4.7,50.5,0.0,0.0,4.7,0.6,0.8,0.3,0.6
Arron Afflalo,71,33.4,12.8,11.3,44.3,3.4,38.2,3.7,2.0,1.2,0.4,0.1
Austin Rivers,67,21.8,8.9,7.7,43.8,2.8,33.5,1.9,1.5,0.9,0.7,0.1
Avery Bradley,76,33.4,15.2,13.4,44.7,5.4,36.1,2.9,2.1,1.4,1.5,0.3
Axel Toupane,21,14.5,3.6,3.3,35.7,1.9,32.5,1.5,0.7,0.3,0.3,0.3
Ben McLemore,68,21.2,7.8,6.7,42.9,2.7,36.2,2.2,1.2,1.5,0.8,0.1
Beno Udrih,44,16.1,4.7,4.5,43.4,1.0,34.1,1.6,2.6,1.2,0.3,0.0
Bismack Biyombo,82,22.0,5.5,3.5,54.2,0.0,0.0,8.0,0.4,0.9,0.2,1.6
Blake Griffin,35,33.4,21.4,17.2,49.9,0.5,33.3,8.4,4.9,2.4,0.8,0.5
Boban Marjanovic,54,9.4,5.5,3.2,60.3,0.0,0.0,3.6,0.4,0.5,0.2,0.4
Bobby Portis,62,17.8,7.0,7.0,42.7,0.8,30.8,5.4,0.8,0.9,0.4,0.4
Bojan Bogdanovic,79,26.8,11.2,9.5,43.3,4.3,38.2,3.2,1.3,1.5,0.4,0.1
Boris Diaw,76,18.2,6.4,5.0,52.7,0.9,36.2,3.1,2.3,1.3,0.3,0.3
Bradley Beal,55,31.1,17.4,14.5,44.9,4.9,38.7,3.4,2.9,2.0,1.0,0.2
Brandan Wright,12,17.7,6.9,4.3,67.3,0.0,0.0,3.6,0.5,0.8,0.4,1.3
Branden Dawson,6,4.8,0.8,0.8,40.0,0.0,0.0,0.7,0.0,0.0,0.0,0.2
Brandon Bass,66,20.3,7.2,4.8,54.9,0.0,0.0,4.3,1.1,0.6,0.5,0.8
Brandon Jennings,48,18.1,6.9,6.3,36.8,3.2,32.9,2.0,3.5,1.2,0.6,0.1
Brandon Knight,52,36.0,19.6,17.2,41.5,6.8,34.2,3.9,5.1,3.4,1.2,0.4
Brandon Rush,72,14.6,4.2,3.6,42.7,2.2,41.4,2.5,0.8,0.5,0.3,0.3
Brian Roberts,51,9.2,4.0,3.2,44.8,0.8,35.7,0.8,1.1,0.5,0.2,0.0
Briante Weber,7,24.1,4.4,5.6,35.9,0.7,0.0,3.6,3.0,1.3,1.3,0.4
Brook Lopez,73,33.7,20.6,15.8,51.1,0.2,14.3,7.8,2.0,2.4,0.8,1.7
Bruno Caboclo,6,7.1,0.5,2.0,8.3,1.2,14.3,0.3,0.2,0.7,0.3,0.2
Bryce Cotton,8,4.8,1.0,1.3,40.0,0.4,0.0,0.0,0.4,0.6,0.4,0.0
Bryce Dejean-Jones,14,19.9,5.6,4.9,40.6,2.3,37.5,3.4,1.1,0.8,0.7,0.1
C.J. Watson,33,19.9,4.3,4.2,34.3,1.5,29.2,2.0,2.7,0.8,0.6,0.2
C.J. Wilcox,23,7.3,3.0,2.9,39.4,1.0,39.1,0.5,0.4,0.1,0.4,0.1
CJ McCollum,80,34.7,20.8,17.9,44.8,5.9,41.7,3.2,4.3,2.5,1.2,0.3
CJ Miles,64,22.9,11.8,9.9,40.9,6.0,36.7,2.7,1.0,1.1,0.8,0.5
Cameron Bairstow,18,5.7,1.9,2.2,32.5,0.3,20.0,1.6,0.3,0.2,0.1,0.2
Cameron Payne,57,12.2,5.0,4.9,41.0,1.9,32.4,1.5,1.9,0.8,0.6,0.1
Carl Landry,36,15.8,9.8,6.9,55.6,0.4,46.2,4.1,0.9,0.6,0.3,0.3
Carmelo Anthony,72,35.1,21.8,18.2,43.4,4.3,33.9,7.7,4.2,2.4,0.9,0.5
Caron Butler,17,10.3,3.7,3.5,42.4,1.1,16.7,1.3,0.6,0.2,0.5,0.1
Chandler Parsons,61,29.5,13.7,10.7,49.2,4.1,41.4,4.7,2.8,1.6,0.8,0.3
Channing Frye,70,17.1,6.1,5.0,43.8,3.4,38.7,3.3,1.0,0.6,0.4,0.4
Charlie Villanueva,62,10.7,5.1,5.3,38.2,2.8,27.3,2.5,0.4,0.5,0.3,0.2
Chase Budinger,66,14.1,4.1,3.6,43.5,1.3,27.9,2.3,1.0,0.7,0.5,0.2
Chris Andersen,27,14.9,3.9,2.7,52.8,0.5,28.6,3.6,0.4,0.3,0.6,0.5
Chris Bosh,53,33.5,19.1,14.5,46.7,4.2,36.5,7.4,2.4,1.5,0.7,0.6
Chris Copeland,24,6.5,2.1,2.1,33.3,1.5,27.8,0.4,0.5,0.3,0.1,0.0
Chris Johnson,70,12.2,2.9,2.8,37.1,1.4,27.3,1.9,0.6,0.6,0.5,0.3
Chris Kaman,16,7.0,2.8,2.7,46.5,0.3,25.0,1.5,0.7,0.5,0.1,0.1
Chris McCullough,24,15.1,4.7,4.5,40.4,1.4,38.2,2.8,0.4,0.6,1.2,0.5
Chris Paul,74,32.7,19.5,15.1,46.2,4.4,37.1,4.2,10.0,2.6,2.1,0.2
Christian Wood,17,8.5,3.6,3.1,41.5,0.6,36.4,2.2,0.2,0.1,0.3,0.4
Chuck Hayes,2,11.9,2.0,1.0,50.0,0.0,0.0,4.0,1.0,1.5,0.0,0.0
Cleanthony Early,17,9.0,1.8,2.4,30.0,0.9,26.7,1.5,0.4,0.5,0.1,0.2
Cliff Alexander,8,4.5,1.3,1.3,50.0,0.0,0.0,0.8,0.0,0.1,0.1,0.3
Clint Capela,77,19.1,7.0,5.2,58.2,0.0,0.0,6.4,0.6,0.8,0.8,1.2
Cody Zeller,73,24.3,8.7,6.0,52.9,0.1,10.0,6.2,1.0,0.9,0.8,0.9
Cole Aldrich,60,13.3,5.5,3.8,59.6,0.0,0.0,4.8,0.8,1.1,0.8,1.1
Corey Brewer,82,20.4,7.2,6.7,38.4,2.7,27.2,2.4,1.3,1.0,1.0,0.2
Cory Jefferson,8,6.3,2.8,2.8,40.9,0.1,0.0,2.0,0.0,0.0,0.0,0.1
Cory Joseph,80,25.6,8.5,7.3,43.9,1.4,27.3,2.6,3.1,1.3,0.8,0.3
Coty Clarke,3,1.9,2.0,1.3,50.0,0.7,100,0.3,0.0,0.3,0.0,0.0
Courtney Lee,79,29.6,9.6,8.1,45.4,2.7,37.8,2.6,1.7,0.9,1.1,0.4
Cristiano Felicio,31,10.3,3.4,2.3,55.6,0.1,0.0,3.3,0.8,0.4,0.2,0.4
D'Angelo Russell,80,28.2,13.2,12.0,41.0,4.6,35.1,3.4,3.3,2.5,1.2,0.2
D.J. Augustin,62,19.0,7.5,5.6,42.3,2.7,40.5,1.5,3.2,1.4,0.6,0.1
Dahntay Jones,1,42.4,13.0,14.0,42.9,2.0,50.0,5.0,2.0,0.0,1.0,2.0
Damian Lillard,75,35.7,25.1,19.7,41.9,8.1,37.5,4.0,6.8,3.2,0.9,0.4
Damien Inglis,20,7.8,1.8,1.9,35.1,0.7,23.1,1.6,0.5,0.6,0.3,0.2
Damjan Rudez,33,8.4,2.3,1.9,40.3,1.5,34.0,0.6,0.3,0.4,0.1,0.0
Danilo Gallinari,53,34.7,19.5,13.2,41.0,4.5,36.4,5.3,2.5,1.5,0.8,0.4
Danny Green,79,26.1,7.2,7.1,37.6,4.4,33.2,3.8,1.8,0.9,1.0,0.8
Dante Cunningham,80,24.6,6.1,5.2,45.1,2.2,31.6,3.0,1.0,0.5,0.5,0.4
Darrell Arthur,70,21.7,7.5,7.0,45.2,1.7,38.5,4.2,1.4,0.9,0.8,0.7
Darren Collison,74,30.0,14.0,10.5,48.6,2.9,40.1,2.3,4.3,1.8,1.0,0.1
Darrun Hilliard,38,10.1,4.0,3.4,39.7,1.3,38.0,1.2,0.7,0.5,0.2,0.0
David Lee,55,16.4,7.8,6.1,53.1,0.0,0.0,5.5,1.5,1.2,0.4,0.5
David West,78,18.0,7.1,5.7,54.5,0.1,42.9,4.0,1.8,0.9,0.6,0.7
DeAndre Jordan,77,33.7,12.7,6.6,70.3,0.0,0.0,13.8,1.2,1.4,0.7,2.3
DeJuan Blair,29,7.5,2.1,2.3,41.2,0.0,0.0,2.0,0.4,0.5,0.3,0.1
DeMar DeRozan,78,35.9,23.5,17.7,44.6,1.8,33.8,4.5,4.0,2.2,1.0,0.3
DeMarcus Cousins,65,34.6,26.9,20.5,45.1,3.2,33.3,11.5,3.3,3.8,1.6,1.4
DeMarre Carroll,26,30.2,11.0,10.4,38.9,4.5,39.0,4.7,1.0,1.1,1.7,0.2
Delon Wright,27,8.5,3.8,3.0,45.0,0.5,38.5,1.4,1.1,0.6,0.3,0.1
Dennis Schroder,80,20.3,11.0,9.8,42.1,3.0,32.2,2.6,4.4,2.3,0.9,0.1
Deron Williams,65,32.4,14.1,11.9,41.4,4.3,34.4,2.9,5.8,2.3,0.9,0.2
Derrick Favors,62,32.0,16.4,13.1,51.5,0.1,0.0,8.1,1.5,1.7,1.2,1.5
Derrick Rose,66,31.8,16.4,15.9,42.7,2.3,29.3,3.4,4.7,2.7,0.7,0.2
Derrick Williams,80,17.9,9.3,7.1,45.0,1.9,29.3,3.7,0.9,0.8,0.4,0.1
Devin Booker,76,27.7,13.8,11.4,42.3,3.8,34.3,2.5,2.6,2.1,0.6,0.3
Devin Harris,64,20.0,7.6,5.8,44.7,2.5,32.9,2.2,1.8,1.0,0.9,0.2
Devyn Marble,28,8.9,2.1,2.5,29.6,1.1,25.0,1.4,0.4,0.3,0.5,0.0
Dewayne Dedmon,58,12.2,4.4,3.1,55.9,0.0,0.0,3.9,0.2,0.6,0.4,0.8
Dion Waiters,78,27.6,9.8,9.1,39.9,3.1,35.8,2.6,2.0,1.5,1.0,0.2
Dirk Nowitzki,75,31.5,18.3,14.8,44.8,4.6,36.8,6.5,1.8,1.1,0.7,0.7
Donald Sloan,61,21.6,7.0,5.7,44.0,1.6,38.4,2.8,4.4,1.3,0.5,0.1
Donatas Motiejunas,37,14.8,6.2,5.5,43.9,1.5,28.1,2.9,1.1,1.2,0.5,0.1
Doug McDermott,81,23.0,9.4,8.0,45.2,3.2,42.5,2.4,0.7,0.7,0.2,0.1
Draymond Green,81,34.7,14.0,10.1,49.0,3.2,38.8,9.5,7.4,3.2,1.5,1.4
Drew Gooden,30,10.2,2.7,3.4,32.0,1.4,17.1,2.8,0.4,0.4,0.3,0.4
Duje Dukan,1,24.2,6.0,10.0,20.0,5.0,40.0,4.0,1.0,0.0,1.0,0.0
Dwight Howard,71,32.1,13.7,8.5,62.0,0.1,0.0,11.8,1.4,2.3,1.0,1.6
Dwight Powell,69,14.4,5.8,4.3,49.3,0.2,12.5,4.0,0.6,0.6,0.5,0.3
Dwyane Wade,74,30.5,19.0,16.0,45.6,0.6,15.9,4.1,4.6,2.7,1.1,0.6
E'Twaun Moore,59,21.4,7.5,6.6,48.1,1.8,45.2,2.3,1.7,0.9,0.6,0.3
Ed Davis,81,20.8,6.5,4.2,61.1,0.0,0.0,7.4,1.1,0.8,0.7,0.9
Edy Tavares,11,6.6,2.3,1.7,57.9,0.0,0.0,1.9,0.3,0.5,0.1,0.5
Elfrid Payton,73,29.4,10.7,10.0,43.6,1.3,32.6,3.6,6.4,2.4,1.2,0.3
Elijah Millsap,20,8.6,1.8,2.0,28.2,0.6,8.3,1.8,1.0,0.5,0.4,0.2
Elliot Williams,5,9.0,1.6,2.0,20.0,0.8,25.0,0.8,0.8,0.2,0.0,0.0
Elton Brand,17,13.2,4.1,4.2,43.1,0.1,0.0,3.7,1.1,0.6,0.5,0.5
Emmanuel Mudiay,68,30.4,12.8,13.3,36.4,3.4,31.9,3.4,5.5,3.2,1.0,0.5
Enes Kanter,82,21.0,12.7,8.8,57.6,0.3,47.6,8.1,0.4,1.4,0.3,0.4
Eric Bledsoe,31,34.2,20.4,15.9,45.3,4.2,37.2,4.0,6.1,3.5,2.0,0.6
Eric Gordon,45,32.9,15.2,12.3,41.8,6.5,38.4,2.2,2.7,1.6,1.0,0.3
Eric Moreland,8,5.9,1.0,0.8,50.0,0.0,0.0,1.4,0.1,0.4,0.0,0.5
Erick Green,9,4.7,1.4,1.4,38.5,0.6,20.0,0.7,0.3,0.0,0.1,0.0
Ersan Ilyasova,74,25.4,10.4,8.9,42.4,3.5,37.1,5.4,0.9,1.0,0.7,0.4
Evan Fournier,79,32.5,15.4,11.8,46.2,4.9,40.0,2.8,2.7,1.7,1.2,0.0
Evan Turner,81,28.0,10.5,9.3,45.6,1.0,24.1,4.9,4.4,2.1,1.0,0.3
Festus Ezeli,46,16.7,7.0,5.0,54.8,0.0,0.0,5.6,0.7,0.8,0.4,1.1
Frank Kaminsky,81,21.1,7.5,6.5,41.0,2.5,33.7,4.1,1.2,0.7,0.5,0.5
Garrett Temple,80,24.4,7.3,6.3,39.8,3.2,34.5,2.7,1.8,0.8,0.9,0.2
Gary Harris,76,32.1,12.3,10.1,46.9,3.9,35.4,2.9,1.9,1.3,1.3,0.2
Gary Neal,40,20.2,9.8,8.1,46.5,2.5,41.0,2.1,1.2,0.7,0.5,0.0
George Hill,74,34.1,12.1,10.0,44.1,4.2,40.8,4.0,3.5,1.4,1.1,0.2
Gerald Green,69,22.6,8.9,8.5,39.2,3.8,32.3,2.4,0.8,0.7,0.6,0.3
Gerald Henderson,72,19.9,8.7,7.3,43.9,1.9,35.3,2.9,1.0,0.9,0.5,0.3
Giannis Antetokounmpo,80,35.3,16.9,12.7,50.6,1.4,25.7,7.7,4.3,2.6,1.2,1.4
Glenn Robinson III,45,11.3,3.8,3.4,43.0,0.8,37.8,1.5,0.6,0.4,0.4,0.2
Goran Dragic,72,32.8,14.1,12.2,47.7,2.8,31.2,3.8,5.8,2.6,1.0,0.2
Gordon Hayward,80,36.2,19.7,15.0,43.3,5.1,34.9,5.0,3.7,2.5,1.2,0.3
Gorgui Dieng,82,27.1,10.1,7.1,53.2,0.2,30.0,7.1,1.7,1.7,1.1,1.2
Greg Monroe,79,29.3,15.3,11.9,52.2,0.0,0.0,8.8,2.3,1.6,0.9,0.8
Greg Smith,18,10.7,2.4,1.8,56.3,0.0,0.0,2.3,0.3,0.4,0.2,0.1
Greivis Vasquez,23,20.0,5.7,6.0,32.6,3.2,24.7,2.0,4.0,1.7,0.4,0.0
Harrison Barnes,66,30.9,11.7,9.6,46.6,3.2,38.3,4.9,1.8,0.9,0.6,0.2
Hassan Whiteside,73,29.1,14.2,9.3,60.6,0.0,0.0,11.8,0.4,1.9,0.6,3.7
Henry Sims,14,18.8,6.5,5.5,42.9,0.0,0.0,5.1,0.6,0.9,0.6,1.0
Hollis Thompson,77,28.0,9.8,8.8,39.7,5.1,38.0,3.5,1.3,1.0,0.5,0.3
Ian Clark,66,8.8,3.6,3.1,44.1,1.3,35.7,1.0,1.0,0.7,0.3,0.2
Ian Mahinmi,71,25.6,9.3,6.3,58.9,0.0,0.0,7.1,1.5,1.4,0.9,1.1
Iman Shumpert,54,24.4,5.8,5.6,37.4,2.7,29.5,3.8,1.7,1.1,1.0,0.4
Isaiah Canaan,77,25.5,11.0,9.4,36.0,6.3,36.3,2.3,1.8,1.2,0.7,0.2
Isaiah Thomas,82,32.2,22.2,16.9,42.8,5.7,35.9,3.0,6.2,2.7,1.1,0.1
Ish Smith,77,29.1,12.6,12.6,41.1,2.2,32.9,4.0,6.5,2.3,1.1,0.3
J.J. Barea,74,22.5,10.9,9.6,44.6,3.5,38.5,2.1,4.1,1.5,0.4,0.0
JJ Hickson,35,12.5,5.9,4.4,51.6,0.0,0.0,3.8,0.7,0.7,0.4,0.4
JJ O'Brien,2,3.1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
JJ Redick,75,28.0,16.3,11.7,48.0,5.6,47.5,1.9,1.4,1.0,0.6,0.1
JR Smith,77,30.7,12.4,11.0,41.5,6.6,40.0,2.8,1.7,0.8,1.1,0.3
JaKarr Sampson,73,15.9,5.1,4.3,44.2,0.9,22.2,2.6,0.6,1.0,0.3,0.5
JaMychal Green,78,18.5,7.4,6.3,46.5,0.6,33.3,4.8,0.9,1.1,0.6,0.4
JaVale McGee,34,10.9,5.1,3.9,57.5,0.0,0.0,3.9,0.1,0.6,0.1,0.8
Jabari Parker,76,31.7,14.1,11.8,49.3,0.5,25.7,5.2,1.7,1.5,0.9,0.4
Jae Crowder,73,31.6,14.2,11.1,44.3,5.0,33.6,5.1,1.8,1.1,1.7,0.5
Jahlil Okafor,53,30.0,17.5,14.7,50.8,0.1,16.7,7.0,1.2,2.3,0.4,1.2
Jamal Crawford,79,26.9,14.2,11.9,40.4,4.4,34.0,1.8,2.3,1.4,0.7,0.2
Jameer Nelson,39,26.6,7.7,7.9,36.8,3.7,29.9,2.9,4.9,1.7,0.6,0.1
James Anderson,51,14.1,3.5,3.5,37.6,1.7,26.7,1.7,0.8,0.8,0.4,0.3
James Ennis III,22,14.9,7.2,5.1,47.8,2.6,44.8,1.9,1.0,0.9,0.7,0.2
James Harden,82,38.1,29.0,19.7,43.9,8.0,35.9,6.1,7.5,4.6,1.7,0.6
James Johnson,57,16.2,5.0,4.2,47.5,1.2,30.3,2.2,1.2,0.9,0.5,0.6
James Jones,48,9.7,3.7,3.0,40.8,2.2,39.4,1.0,0.3,0.3,0.2,0.2
James Michael McAdoo,41,6.4,2.9,2.0,53.6,0.0,50.0,1.4,0.4,0.4,0.2,0.2
James Young,29,6.9,1.0,1.2,30.6,0.9,23.1,0.9,0.3,0.2,0.2,0.0
Jared Cunningham,44,9.3,2.7,2.4,34.3,0.9,30.8,0.9,0.5,0.5,0.3,0.0
Jared Dudley,81,25.9,7.9,6.0,47.8,2.9,42.0,3.5,2.1,1.0,0.9,0.2
Jared Sullinger,81,23.6,10.3,10.0,43.5,1.3,28.2,8.3,2.3,1.3,0.9,0.6
Jarell Eddie,26,5.6,2.4,2.5,30.8,1.8,31.9,0.9,0.2,0.0,0.2,0.0
Jarell Martin,27,14.1,5.7,4.3,46.6,0.1,0.0,3.2,0.6,0.7,0.3,0.3
Jarnell Stokes,7,2.7,1.0,0.7,60.0,0.0,0.0,0.6,0.1,0.0,0.1,0.0
Jarrett Jack,32,32.1,12.8,11.2,39.1,3.2,30.4,4.3,7.4,2.9,1.1,0.2
Jason Smith,76,15.5,7.2,6.6,48.5,0.2,25.0,2.9,0.8,0.8,0.4,0.9
Jason Terry,72,17.5,5.9,5.2,40.2,3.6,35.6,1.1,1.4,0.7,0.7,0.1
Jason Thompson,47,10.0,3.1,2.3,48.1,0.3,33.3,2.9,0.6,0.3,0.3,0.4
Jeff Ayres,17,6.3,1.8,1.4,52.2,0.1,0.0,1.3,0.3,0.4,0.0,0.2
Jeff Green,80,28.2,11.7,10.3,43.0,2.7,31.5,4.2,1.7,1.2,0.7,0.5
Jeff Teague,79,28.5,15.7,12.5,43.9,3.5,40.1,2.7,5.9,2.8,1.2,0.3
Jeff Withey,51,12.9,4.3,3.2,53.7,0.0,0.0,3.4,0.4,0.5,0.4,1.0
Jerami Grant,77,26.8,9.7,7.8,41.9,1.9,24.0,4.7,1.8,1.4,0.7,1.6
Jeremy Evans,30,8.4,2.4,1.6,54.2,0.5,25.0,1.8,0.1,0.2,0.2,0.3
Jeremy Lamb,66,18.6,8.8,7.7,45.1,2.7,30.9,3.8,1.2,0.8,0.6,0.5
Jeremy Lin,78,26.3,11.7,9.3,41.2,2.9,33.6,3.2,3.0,1.9,0.7,0.5
Jerian Grant,76,16.6,5.6,5.1,39.4,1.3,22.0,1.9,2.3,1.1,0.7,0.1
Jerryd Bayless,52,28.9,10.4,8.4,42.3,4.4,43.7,2.7,3.1,1.4,0.9,0.2
Jimmer Fredette,6,2.9,1.5,0.8,40.0,0.3,50.0,0.0,0.2,0.3,0.2,0.0
Jimmy Butler,67,36.9,20.9,15.4,45.4,3.1,31.2,5.3,4.8,2.0,1.6,0.6
Joakim Noah,29,21.9,4.3,4.6,38.3,0.0,0.0,8.8,3.8,1.8,0.6,1.0
Jodie Meeks,3,14.5,7.3,6.7,35.0,3.0,44.4,1.7,1.0,0.3,0.0,0.0
Joe Harris,5,3.0,0.6,0.8,25.0,0.8,25.0,0.6,0.4,0.2,0.0,0.0
Joe Ingles,81,15.3,4.2,3.6,42.6,2.6,38.6,1.9,1.2,0.8,0.7,0.0
Joe Johnson,81,33.4,12.2,10.6,43.9,3.9,38.3,3.6,3.9,2.0,0.8,0.0
Joe Young,41,9.4,3.8,4.1,36.7,1.1,21.7,1.2,1.6,0.8,0.4,0.0
Joel Anthony,19,5.0,0.9,0.5,60.0,0.0,0.0,1.1,0.1,0.1,0.1,0.6
Joffrey Lauvergne,59,17.6,7.9,6.4,51.3,0.9,24.5,4.9,0.9,0.9,0.2,0.3
John Henson,57,16.8,7.0,5.1,56.4,0.0,0.0,3.9,0.9,1.1,0.3,1.9
John Jenkins,43,11.2,4.1,3.7,44.4,1.2,31.4,1.3,0.8,0.6,0.2,0.0
John Wall,77,36.2,19.9,17.5,42.4,4.3,35.1,4.9,10.2,4.1,1.9,0.8
Johnny O'Bryant III,66,13.0,3.0,3.2,41.1,0.0,100,2.7,0.5,0.5,0.3,0.1
Jon Leuer,67,18.7,8.5,7.0,48.1,1.6,38.2,5.6,1.1,1.1,0.6,0.4
Jonas Jerebko,78,15.1,4.4,3.7,41.3,1.4,39.8,3.7,0.8,0.7,0.3,0.3
Jonas Valanciunas,60,25.9,12.8,8.9,56.5,0.0,0.0,9.1,0.7,1.4,0.4,1.3
Jonathon Simmons,55,14.8,6.0,4.4,50.4,0.9,38.3,1.7,1.1,1.0,0.4,0.1
Jordan Adams,2,7.3,3.5,3.0,33.3,0.5,0.0,1.0,1.5,1.0,1.5,0.0
Jordan Clarkson,79,32.3,15.5,13.9,43.3,4.1,34.7,4.0,2.4,1.7,1.1,0.1
Jordan Farmar,12,24.3,9.2,8.3,42.0,3.8,35.6,2.1,3.1,1.5,1.3,0.2
Jordan Hamilton,11,27.6,11.4,10.5,42.2,4.1,28.9,5.6,2.3,1.5,0.7,0.3
Jordan Hill,73,20.7,8.8,7.5,50.6,0.0,0.0,6.2,1.2,1.3,0.5,0.5
Jordan McRae,22,8.9,4.5,3.5,43.6,1.0,45.5,0.9,1.1,0.7,0.1,0.0
Jordan Mickey,16,3.6,1.3,1.4,36.4,0.0,0.0,0.8,0.1,0.1,0.0,0.7
Jorge Gutierrez,12,5.3,1.8,0.9,54.5,0.2,0.0,0.6,1.4,0.5,0.3,0.0
Jose Calderon,72,28.1,7.6,6.3,45.9,2.8,41.4,3.2,4.1,1.2,0.9,0.1
Josh Huestis,5,11.0,2.8,2.4,41.7,1.2,66.7,2.0,0.0,0.6,0.2,0.4
Josh McRoberts,42,14.2,3.6,3.5,37.2,1.2,24.5,2.5,1.9,0.7,0.4,0.2
Josh Richardson,52,21.3,6.6,5.2,45.2,2.2,46.1,2.1,1.4,0.7,0.7,0.5
Josh Smith,55,16.0,6.0,6.3,36.4,2.6,28.7,3.5,1.6,1.4,0.6,0.9
Jrue Holiday,65,28.2,16.8,14.4,43.9,4.0,33.6,3.0,6.0,2.6,1.4,0.3
Julius Randle,81,28.2,11.3,10.3,42.9,0.4,27.8,10.2,1.8,1.8,0.7,0.4
Justin Anderson,55,11.8,3.8,3.2,40.6,1.5,26.5,2.4,0.5,0.4,0.3,0.5
Justin Harper,5,7.0,2.6,2.0,40.0,1.8,44.4,0.2,0.0,0.4,0.2,0.0
Justin Holiday,53,14.6,4.5,4.3,38.6,2.0,34.3,1.7,1.1,0.7,0.6,0.4
Justise Winslow,78,28.6,6.4,5.9,42.2,1.5,27.6,5.2,1.5,1.2,0.9,0.3
Jusuf Nurkic,32,17.1,8.2,7.6,41.7,0.1,0.0,5.5,1.3,1.7,0.8,1.4
KJ McDaniels,37,6.4,2.4,1.9,40.3,0.7,28.0,1.1,0.3,0.5,0.2,0.2
Karl-Anthony Towns,82,32.0,18.3,14.1,54.2,1.1,34.1,10.5,2.0,2.2,0.7,1.7
Kawhi Leonard,72,33.0,21.2,15.1,50.6,4.0,44.3,6.8,2.6,1.5,1.8,1.0
