Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK
Aaron Brooks,69,16.1,7.1,6.8,40.1,2.7,35.7,1.5,2.6,1.2,0.4,0.1
Aaron Gordon,78,23.9,9.2,7.4,47.3,1.8,29.6,6.5,1.6,0.8,0.8,0.7
Aaron Harrison,21,4.4,0.9,0.9,26.3,0.5,30.0,0.7,0.1,0.2,0.3,0.0
Adreian Payne,52,9.3,2.5,2.8,36.6,0.6,28.1,2.1,0.6,0.7,0.3,0.2
Al Horford,82,32.1,15.2,12.8,50.5,3.1,34.4,7.3,3.2,1.3,0.8,1.5
Al Jefferson,47,23.3,12.0,10.7,48.5,0.0,0.0,6.4,1.5,0.7,0.6,0.9
Al-Farouq Aminu,82,28.5,10.2,8.8,41.6,4.3,36.1,6.1,1.7,1.5,0.9,0.6
Alan Anderson,13,14.8,5.0,4.5,35.6,2.8,32.4,2.1,1.1,0.2,0.3,0.1
Alan Williams,10,6.8,2.9,2.4,41.7,0.0,0.0,3.8,0.5,0.6,0.4,0.5
Alec Burks,31,25.7,13.3,10.8,41.0,2.5,40.5,3.5,2.0,1.6,0.6,0.1
Alex Len,78,23.3,9.0,8.0,42.3,0.1,14.3,7.6,1.2,1.9,0.5,0.8
Alex Stepheson,8,9.0,2.8,3.4,33.3,0.0,0.0,3.5,0.3,0.0,0.1,0.6
Alexis Ajinca,59,14.6,6.0,5.3,47.6,0.0,0.0,4.6,0.5,0.9,0.3,0.6
Allen Crabbe,81,26.0,10.3,8.4,45.9,3.5,39.3,2.7,1.2,0.8,0.8,0.2
Alonzo Gee,73,22.4,4.5,3.5,51.8,0.8,28.3,3.4,1.0,0.8,0.9,0.2
Amar'e Stoudemire,52,14.7,5.8,4.3,56.6,0.0,0.0,4.3,0.5,0.9,0.3,0.8
Amir Johnson,79,22.8,7.3,5.4,58.5,0.5,23.3,6.4,1.7,1.2,0.7,1.1
Anderson Varejao,53,9.4,2.6,2.3,42.7,0.0,0.0,2.7,0.7,0.4,0.3,0.2
Andre Drummond,81,32.9,16.2,13.1,52.1,0.1,33.3,14.8,0.8,1.9,1.5,1.4
Andre Iguodala,65,26.6,7.0,5.7,47.8,2.4,35.1,4.0,3.4,1.2,1.1,0.3
Andre Miller,39,11.8,3.7,2.7,55.7,0.2,25.0,1.3,2.2,0.9,0.4,0.0
Andre Roberson,70,22.2,4.8,3.9,49.6,1.5,31.1,3.6,0.7,0.5,0.8,0.6
Andrea Bargnani,46,13.8,6.6,6.1,45.5,0.3,18.8,2.1,0.4,0.6,0.1,0.2
Andrew Bogut,70,20.7,5.4,4.0,62.7,0.0,100,7.0,2.3,1.2,0.5,1.6
Andrew Goudelock,8,6.2,2.8,2.5,45.0,1.1,11.1,0.3,0.5,0.9,0.8,0.3
Andrew Nicholson,56,14.7,6.9,5.5,47.1,2.0,36.0,3.6,0.4,0.7,0.2,0.4
Andrew Wiggins,81,35.1,20.7,16.0,45.9,2.3,30.0,3.6,2.0,2.2,1.0,0.6
Anthony Bennett,19,4.4,1.5,1.4,29.6,0.7,21.4,1.2,0.0,0.2,0.3,0.0
