Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK
Aaron Brooks,32,5.9,2.3,2.2,40.6,1.0,35.5,0.5,0.6,0.3,0.2,0.0
Aaron Gordon,58,32.9,17.6,14.9,43.4,5.9,33.6,7.9,2.3,1.8,1.0,0.8
Aaron Harrison,9,25.9,6.7,7.7,27.5,4.8,20.9,2.7,1.2,0.3,1.0,0.2
Aaron Jackson,1,34.5,8.0,9.0,33.3,4.0,25.0,3.0,1.0,1.0,0.0,0.0
Abdel Nader,48,10.9,3.0,3.1,33.6,1.4,35.4,1.5,0.5,0.7,0.3,0.2
Adreian Payne,5,8.5,4.2,2.0,70.0,0.6,66.7,1.8,0.0,0.4,0.4,0.0
Al Horford,72,31.6,12.9,10.5,48.9,3.1,42.9,7.4,4.7,1.8,0.6,1.1
Al Jefferson,36,13.4,7.0,5.8,53.4,0.1,0.0,4.0,0.8,0.6,0.4,0.6
Al-Farouq Aminu,69,30.0,9.3,8.4,39.5,4.9,36.9,7.6,1.2,1.1,1.1,0.6
Alan Williams,5,14.1,4.0,3.6,38.9,0.0,0.0,4.4,1.6,1.4,1.0,0.2
Alec Burks,64,16.5,7.7,6.5,41.1,2.2,33.1,3.0,1.0,0.9,0.6,0.1
Alec Peters,20,11.2,4.1,3.7,37.8,2.9,31.0,1.9,0.6,0.2,0.1,0.1
Alex Abrines,75,15.1,4.7,3.9,39.5,2.9,38.0,1.5,0.4,0.3,0.5,0.1
Alex Caruso,37,15.2,3.6,3.1,43.1,1.2,30.2,1.8,2.0,1.1,0.6,0.3
Alex Len,69,20.2,8.5,5.5,56.6,0.0,33.3,7.5,1.2,1.1,0.4,0.9
Alex Poythress,25,4.2,1.0,1.0,42.3,0.4,36.4,0.7,0.1,0.1,0.1,0.0
Alfonzo McKinnie,13,3.8,1.6,1.2,53.3,0.7,33.3,0.5,0.1,0.2,0.1,0.1
Allen Crabbe,75,29.3,13.2,11.0,40.7,7.1,37.8,4.3,1.6,1.0,0.6,0.5
Amir Johnson,74,15.8,4.6,3.5,53.8,0.4,31.3,4.5,1.6,0.7,0.6,0.6
Andre Drummond,78,33.7,15.0,11.3,52.9,0.1,0.0,16.0,3.0,2.6,1.5,1.6
Andre Iguodala,64,25.4,6.0,5.0,46.3,1.8,28.2,3.8,3.3,1.0,0.8,0.6
Andre Ingram,2,32.1,12.0,8.5,47.1,4.5,55.6,3.0,3.5,1.5,1.5,1.5
Andre Roberson,39,26.6,5.0,4.2,53.7,0.9,22.2,4.7,1.2,0.8,1.2,0.9
Andrew Bogut,24,9.0,1.5,1.0,68.0,0.0,0.0,3.3,0.6,0.8,0.2,0.5
Andrew Harrison,56,23.7,9.5,7.7,42.2,2.5,33.1,2.3,3.2,1.4,0.7,0.5
Andrew White III,15,13.9,4.6,4.9,34.2,3.3,36.7,2.3,0.4,0.5,0.2,0.1
Andrew Wiggins,82,36.3,17.7,15.9,43.8,4.1,33.1,4.4,2.0,1.7,1.1,0.6
Ante Zizic,32,6.7,3.7,2.1,73.1,0.0,0.0,1.9,0.2,0.3,0.1,0.4
Anthony Brown,1,3.7,3.0,1.0,100,1.0,100,0.0,1.0,0.0,0.0,0.0
Anthony Davis,75,36.4,28.1,19.5,53.4,2.2,34.0,11.1,2.3,2.2,1.5,2.6
Anthony Tolliver,79,22.2,8.9,6.0,46.4,4.6,43.6,3.1,1.1,0.7,0.4,0.3
Antonio Blakeney,19,16.5,7.9,7.5,37.1,2.7,28.8,1.7,1.1,0.6,0.4,0.1
Antonius Cleveland,17,7.2,1.4,1.2,38.1,0.2,75.0,0.8,0.1,0.4,0.4,0.3
Aron Baynes,81,18.3,6.0,5.5,47.1,0.3,14.3,5.4,1.1,1.0,0.3,0.6
Arron Afflalo,53,12.9,3.4,3.1,40.1,1.3,38.6,1.2,0.6,0.4,0.1,0.2
Austin Rivers,61,33.7,15.1,13.2,42.4,5.9,37.8,2.4,4.0,1.8,1.2,0.3
Avery Bradley,46,31.2,14.3,13.6,41.4,4.4,36.9,2.5,2.0,2.2,1.1,0.2
