Player,Post_Ups
Justin Holiday,0.1
Justise Winslow,0.7
Jusuf Nurkic,5.0
KJ McDaniels,0.0
Karl-Anthony Towns,11.0
Kawhi Leonard,3.7
Kay Felder,0.0
Kelly Olynyk,1.2
Kelly Oubre Jr.,0.1
Kemba Walker,0.0
Kenneth Faried,1.1
Kent Bazemore,0.0
Kentavious Caldwell-Pope,0.0
Kevin Durant,3.7
Kevin Love,5.6
Kevin Seraphin,1.8
Kevon Looney,0.5
Khris Middleton,2.2
Klay Thompson,0.9
Kosta Koufos,1.5
Kris Dunn,0.0
Kris Humphries,0.3
Kristaps Porzingis,4.0
Kyle Anderson,0.2
Kyle Korver,0.1
Kyle Lowry,0.3
Kyle O'Quinn,1.1
Kyle Singler,0.0
Kyle Wiltjer,0.1
Kyrie Irving,0.9
LaMarcus Aldridge,10.1
Lamar Patterson,0.0
Lance Stephenson,0.3
Lance Thomas,0.3
Langston Galloway,0.1
Larry Nance Jr.,1.0
Larry Sanders,0.4
Lavoy Allen,0.7
LeBron James,3.9
Leandro Barbosa,0.0
Lou Williams,0.0
Luc Mbah a Moute,0.1
Lucas Nogueira,0.1
Luis Scola,1.3
Luke Babbitt,0.1
Luol Deng,0.9
Malachi Richardson,0.0
Malcolm Brogdon,0.5
Malcolm Delaney,0.0
Malik Beasley,0.0
Manny Harris,0.0
Manu Ginobili,0.1
Marc Gasol,10.7
Marcelo Huertas,0.0
Marcin Gortat,3.1
Marco Belinelli,0.1
Marcus Georges-Hunt,0.0
Marcus Morris Sr.,2.0
Marcus Smart,2.1
Marcus Thornton,0.1
Mario Hezonja,0.1
Markieff Morris,4.5
Marquese Chriss,1.6
Marreese Speights,1.2
Marshall Plumlee,0.7
Marvin Williams,1.1
Mason Plumlee,1.6
Matt Barnes,0.4
Matthew Dellavedova,0.4
Maurice Harkless,1.7
Maurice Ndour,0.8
Metta World Peace,0.6
Meyers Leonard,0.7
Michael Beasley,1.1
Michael Carter-Williams,0.2
Michael Gbinije,0.1
Michael Kidd-Gilchrist,0.6
Mike Conley,0.1
Mike Dunleavy,0.1
Mike Miller,0.2
Mike Muscala,0.7
Mike Scott,0.9
Mike Tobey,0.5
Miles Plumlee,0.7
Mindaugas Kuzminskas,0.3
Mirza Teletovic,0.2
Monta Ellis,0.1
Montrezl Harrell,0.4
Myles Turner,2.2
Nemanja Bjelica,0.2
Nene,0.9
Nerlens Noel,0.6
Nick Collison,0.2
Nick Young,0.1
Nicolas Batum,2.1
Nicolas Brussino,0.0
Nicolas Laprovittola,0.0
Nik Stauskas,0.0
Nikola Jokic,4.6
Nikola Mirotic,1.1
Nikola Vucevic,7.7
Noah Vonleh,0.9
Norman Powell,0.0
Norris Cole,0.0
Okaro White,0.3
Omer Asik,0.2
Omri Casspi,0.2
Otto Porter Jr.,0.2
P.J. Tucker,0.7
Pascal Siakam,0.3
Pat Connaughton,0.1
Patricio Garino,0.0
Patrick Beverley,0.1
Patrick McCaw,0.0
Patrick Patterson,0.1
Patty Mills,0.0
Pau Gasol,4.0
Paul George,2.3
Paul Millsap,6.4
Paul Pierce,0.4
Paul Zipser,0.2
Pierre Jackson,0.0
Quincy Acy,0.4
Quinn Cook,0.1
RJ Hunter,0.0
Rajon Rondo,0.2
Rakeem Christmas,0.1
Ramon Sessions,0.0
Randy Foye,0.1
Rashad Vaughn,0.0
Raul Neto,0.0
Raymond Felton,0.1
Reggie Bullock,0.0
Reggie Jackson,0.1
Reggie Williams,0.2
Richard Jefferson,0.2
Richaun Holmes,0.7
