Player,Height
AJ Hammons,7-0
Aaron Brooks,6-0
Aaron Gordon,6-9
Aaron Harrison,6-6
Adreian Payne,6-10
Al Horford,6-10
Al Jefferson,6-10
Al-Farouq Aminu,6-9
Alan Anderson,6-6
Alan Williams,6-8
Alec Burks,6-6
Alex Abrines,6-6
Alex Len,7-1
Alex Poythress,6-7
Alexis Ajinca,7-2
Allen Crabbe,6-6
Alonzo Gee,6-6
Amir Johnson,6-9
Anderson Varejao,6-11
Andre Drummond,6-11
Andre Iguodala,6-6
Andre Roberson,6-7
Andrew Bogut,7-0
Andrew Harrison,6-6
Andrew Nicholson,6-9
Andrew Wiggins,6-8
Anthony Bennett,6-8
Anthony Brown,6-7
Anthony Davis,6-11
Anthony Morrow,6-5
Anthony Tolliver,6-8
Archie Goodwin,6-5
Arinze Onuaku,6-9
Aron Baynes,6-10
Arron Afflalo,6-5
Austin Rivers,6-4
Avery Bradley,6-2
Axel Toupane,6-7
Ben Bentil,6-9
Ben McLemore,6-5
Beno Udrih,6-3
Bismack Biyombo,6-9
Blake Griffin,6-10
Boban Marjanovic,7-3
Bobby Brown,6-2
Bobby Portis,6-11
Bojan Bogdanovic,6-8
Boris Diaw,6-8
Bradley Beal,6-5
Brandan Wright,6-10
Brandon Bass,6-8
Brandon Ingram,6-9
Brandon Jennings,6-1
Brandon Knight,6-3
Brandon Rush,6-6
Brian Roberts,6-1
Briante Weber,6-2
Brice Johnson,6-10
Brook Lopez,7-0
Bruno Caboclo,6-9
Bryn Forbes,6-3
Buddy Hield,6-4
C.J. Watson,6-2
C.J. Wilcox,6-5
CJ McCollum,6-3
CJ Miles,6-6
Cameron Payne,6-3
Caris LeVert,6-7
Carmelo Anthony,6-8
Chandler Parsons,6-10
Channing Frye,6-11
Chasson Randle,6-2
Cheick Diallo,6-9
Chinanu Onuaku,6-10
Chris Andersen,6-10
Chris McCullough,6-9
Chris Paul,6-0
Christian Wood,6-11
Clint Capela,6-10
Cody Zeller,7-0
Cole Aldrich,6-11
Corey Brewer,6-9
Cory Joseph,6-3
Courtney Lee,6-5
Cristiano Felicio,6-9
D'Angelo Russell,6-5
D.J. Augustin,6-0
Dahntay Jones,6-6
Damian Jones,7-0
Damian Lillard,6-3
Damjan Rudez,6-10
Daniel Ochefu,6-11
Danilo Gallinari,6-10
Danny Green,6-6
Dante Cunningham,6-8
Dante Exum,6-6
Danuel House Jr.,6-7
Dario Saric,6-10
Darrell Arthur,6-9
Darren Collison,6-0
Darrun Hilliard,6-6
David Lee,6-9
David Nwaba,6-4
David West,6-9
Davis Bertans,6-10
DeAndre Jordan,6-11
DeAndre Liggins,6-6
DeAndre' Bembry,6-6
DeMar DeRozan,6-7
DeMarcus Cousins,6-11
DeMarre Carroll,6-8
Dejounte Murray,6-5
Delon Wright,6-5
Demetrius Jackson,6-1
Dennis Schroder,6-1
Denzel Valentine,6-6
Deron Williams,6-3
Derrick Favors,6-10
Derrick Jones Jr.,6-7
Derrick Rose,6-3
Derrick Williams,6-8
Devin Booker,6-6
Devin Harris,6-3
Dewayne Dedmon,7-0
Deyonta Davis,6-10
Diamond Stone,6-11
Dion Waiters,6-4
Dirk Nowitzki,7-0
Domantas Sabonis,6-11
Donatas Motiejunas,7-0
Dorian Finney-Smith,6-8
Doug McDermott,6-8
Dragan Bender,7-1
Draymond Green,6-7
Dwight Howard,6-11
Dwight Powell,6-11
Dwyane Wade,6-4
E'Twaun Moore,6-4
Ed Davis,6-10
Edy Tavares,7-3
Elfrid Payton,6-4
Elijah Millsap,6-7
Emmanuel Mudiay,6-5
Enes Kanter,6-11
Eric Bledsoe,6-1
Eric Gordon,6-4
Ersan Ilyasova,6-10
Evan Fournier,6-7
Evan Turner,6-7
Frank Kaminsky,7-0
Fred VanVleet,6-0
Garrett Temple,6-6
Gary Harris,6-4
Gary Neal,6-4
Gary Payton II,6-3
George Hill,6-3
Georges Niang,6-8
Georgios Papagiannis,7-1
Gerald Green,6-7
Gerald Henderson,6-5
Giannis Antetokounmpo,6-11
Glenn Robinson III,6-6
Goran Dragic,6-3
Gordon Hayward,6-8
Gorgui Dieng,6-11
Greg Monroe,6-11
Greivis Vasquez,6-6
Harrison Barnes,6-8
Hassan Whiteside,7-0
Henry Ellenson,6-11
Hollis Thompson,6-8
