Player,Height
Dorian Finney-Smith,6-7
Doug McDermott,6-7
Dragan Bender,7-0
Draymond Green,6-6
Drew Eubanks,6-9
Duncan Robinson,6-7
Dusty Hannahs,6-3
Dwayne Bacon,6-6
Dwight Howard,6-10
Dwight Powell,6-10
Dzanan Musa,6-9
E'Twaun Moore,6-3
Ed Davis,6-9
Edmond Sumner,6-4
Elfrid Payton,6-3
Elie Okobo,6-3
Emmanuel Mudiay,6-3
Enes Kanter,6-10
Eric Bledsoe,6-1
Eric Gordon,6-3
Eric Mika,6-10
Eric Paschall,6-6
Ersan Ilyasova,6-9
Evan Fournier,6-7
Evan Turner,6-6
Frank Jackson,6-3
Frank Kaminsky,7-0
Frank Mason,5-11
Frank Ntilikina,6-4
Fred VanVleet,6-1
Furkan Korkmaz,6-7
Gabe Vincent,6-3
Garrett Temple,6-5
Garrison Mathews,6-5
Gary Clark,6-6
Gary Harris,6-4
Gary Payton II,6-3
Gary Trent Jr.,6-5
George Hill,6-3
Georges Niang,6-7
Giannis Antetokounmpo,6-11
Glenn Robinson III,6-6
Goga Bitadze,6-11
Goran Dragic,6-3
Gordon Hayward,6-7
Gorgui Dieng,6-10
Grant Williams,6-6
Grayson Allen,6-4
Hamidou Diallo,6-5
Harrison Barnes,6-8
Harry Giles III,6-11
Hassan Whiteside,7-0
Henry Ellenson,6-10
Ian Mahinmi,6-11
Ignas Brazdeikis,6-6
Iman Shumpert,6-5
Isaac Bonga,6-8
Isaiah Hartenstein,7-0
Isaiah Roby,6-8
Isaiah Thomas,5-9
Ish Smith,6-0
Ivica Zubac,7-0
J.J. Barea,5-10
J.P. Macura,6-4
JJ Redick,6-3
JR Smith,6-6
Ja Morant,6-3
JaKarr Sampson,6-7
JaMychal Green,6-8
JaVale McGee,7-0
Jabari Parker,6-8
Jacob Evans,6-4
Jae Crowder,6-6
Jahlil Okafor,6-10
Jake Layman,6-8
Jakob Poeltl,7-1
Jalen Brunson,6-1
Jalen Lecque,6-4
Jalen McDaniels,6-10
Jamal Crawford,6-5
Jamal Murray,6-4
James Ennis III,6-6
James Harden,6-5
James Johnson,6-7
Jared Dudley,6-6
Jared Harper,5-10
Jaren Jackson Jr.,6-11
Jarred Vanderbilt,6-9
Jarrell Brantley,6-5
Jarrett Allen,6-11
Jarrett Culver,6-6
Jarrod Uthoff,6-9
Javonte Green,6-4
Jaxson Hayes,6-11
Jaylen Brown,6-6
Jaylen Hoard,6-8
Jaylen Nowell,6-4
Jayson Tatum,6-8
Jeff Green,6-8
Jeff Teague,6-3
Jerami Grant,6-8
Jeremiah Martin,6-2
Jeremy Lamb,6-5
Jeremy Pargo,6-2
Jerian Grant,6-4
Jerome Robinson,6-4
Jevon Carter,6-1
Jimmy Butler,6-7
Joakim Noah,6-11
Joe Chealey,6-4
Joe Harris,6-6
Joe Ingles,6-7
Joel Embiid,7-0
John Collins,6-9
John Henson,6-9
John Konchar,6-5
Johnathan Motley,6-8
Johnathan Williams,6-9
Jonah Bolden,6-8
Jonas Valanciunas,6-11
Jonathan Isaac,6-11
Jordan Bell,6-8
Jordan Bone,6-3
Jordan Clarkson,6-4
Jordan McLaughlin,5-11
Jordan McRae,6-5
Jordan Poole,6-4
Josh Gray,6-0
Josh Hart,6-5
Josh Jackson,6-8
Josh Magette,6-1
Josh Okogie,6-4
Josh Reaves,6-4
Josh Richardson,6-5
Jrue Holiday,6-3
Juan Toscano-Anderson,6-6
Juancho Hernangomez,6-9
Julius Randle,6-8
Justin Anderson,6-5
Justin Holiday,6-6
Justin Jackson,6-7
Justin James,6-7
Justin Patton,6-11
Justin Robinson,6-1
Justin Wright-Foreman,6-0
Justise Winslow,6-6
Jusuf Nurkic,7-0
Juwan Morgan,6-7
KZ Okpala,6-8
Kadeem Allen,6-1
Karl-Anthony Towns,6-11
Kawhi Leonard,6-7
Keita Bates-Diop,6-8
Kelan Martin,6-5
Keldon Johnson,6-5
Kelly Olynyk,6-11
Kelly Oubre Jr.,6-7
Kemba Walker,6-0
Kendrick Nunn,6-2
Kenrich Williams,6-6
Kent Bazemore,6-4
Kentavious Caldwell-Pope,6-5
Kevin Hervey,6-9
Kevin Huerter,6-7
Kevin Knox II,6-7
Kevin Love,6-8
Kevin Porter Jr.,6-4
Kevon Looney,6-9
Khem Birch,6-9
Khris Middleton,6-7
Khyri Thomas,6-3
Kostas Antetokounmpo,6-10
Kris Dunn,6-3
Kristaps Porzingis,7-3
Ky Bowman,6-1
Kyle Alexander,6-10
Kyle Anderson,6-9
Kyle Guy,6-1
Kyle Korver,6-7
Kyle Kuzma,6-8
Kyle Lowry,6-0
Kyle O'Quinn,6-9
Kyrie Irving,6-2
LaMarcus Aldridge,6-11
Lance Thomas,6-8
Landry Shamet,6-4
Langston Galloway,6-1
Larry Nance Jr.,6-7
Lauri Markkanen,7-0
LeBron James,6-9
Lonnie Walker IV,6-5
Lonzo Ball,6-6
Lou Williams,6-1
Louis King,6-7
Luc Mbah a Moute,6-8
Luguentz Dort,6-3
Luka Doncic,6-7
Luka Samanic,6-10
Luke Kennard,6-5
Luke Kornet,7-2
Malcolm Brogdon,6-5
Malcolm Miller,6-7
Malik Beasley,6-4
Malik Monk,6-3
Malik Newman,6-3
Marc Gasol,6-11
Marco Belinelli,6-5
Marcus Morris Sr.,6-8
Marcus Smart,6-3
Marial Shayok,6-5
Mario Hezonja,6-8
Markelle Fultz,6-3
Markieff Morris,6-8
Marko Guduric,6-6
Marques Bolden,6-10
Marquese Chriss,6-9
Marvin Bagley III,6-11
Marvin Williams,6-8
Mason Plumlee,6-11
Matisse Thybulle,6-5
Matt Mooney,6-2
Matt Thomas,6-4
Matthew Dellavedova,6-3
Maurice Harkless,6-7
Max Strus,6-5
Maxi Kleber,6-10
Melvin Frazier Jr.,6-5
Meyers Leonard,7-0
Mfiondu Kabengele,6-9
Michael Carter-Williams,6-5
Michael Frazier II,6-3
Michael Kidd-Gilchrist,6-6
Michael Porter Jr.,6-10
Mikal Bridges,6-6
Mike Conley,6-1
Mike Muscala,6-10
Mike Scott,6-7
Miles Bridges,6-6
Mitchell Robinson,7-0
Miye Oni,6-5
Mo Bamba,7-0
Monte Morris,6-2
Montrezl Harrell,6-7
Moritz Wagner,6-11
Moses Brown,7-2
Mychal Mulder,6-3
Myles Turner,6-11
Nassir Little,6-5
Naz Mitrou-Long,6-3
Naz Reid,6-9
Nemanja Bjelica,6-10
Nerlens Noel,6-10
Nickeil Alexander-Walker,6-5
Nicolas Batum,6-9
Nicolas Claxton,6-11
Nicolo Melli,6-9
Nigel Williams-Goss,6-2
Nikola Jokic,7-0
Nikola Vucevic,6-11
Noah Vonleh,6-10
Norman Powell,6-3
Norvel Pelle,6-10
OG Anunoby,6-7
Omari Spellman,6-8
Oshae Brissett,6-7
Otto Porter Jr.,6-8
P.J. Tucker,6-5
P.J. Washington,6-7
PJ Dozier,6-6
Pascal Siakam,6-9
Pat Connaughton,6-5
Patrick Beverley,6-1
Patrick McCaw,6-7
Patrick Patterson,6-8
Patty Mills,6-1
Paul George,6-8
Paul Millsap,6-7
Paul Watson,6-6
Quinn Cook,6-1
Quinndary Weatherspoon,6-3
RJ Barrett,6-6
Rajon Rondo,6-1
Raul Neto,6-1
Rayjon Tucker,6-3
Reggie Bullock,6-6
Reggie Jackson,6-3
Richaun Holmes,6-10
Ricky Rubio,6-3
Robert Covington,6-7
Robert Williams III,6-8
Robin Lopez,7-0
Rodions Kurucs,6-9
Rodney Hood,6-8
Rodney McGruder,6-4
Romeo Langford,6-4
Rondae Hollis-Jefferson,6-6
Royce O'Neale,6-4
Rudy Gay,6-8
Rudy Gobert,7-1
Rui Hachimura,6-8
Russell Westbrook,6-3
Ryan Anderson,6-9
Ryan Arcidiacono,6-3
Ryan Broekhoff,6-6
Sekou Doumbouya,6-8
Semi Ojeleye,6-6
Serge Ibaka,7-0
Seth Curry,6-2
Shabazz Napier,6-0
Shai Gilgeous-Alexander,6-5
Shake Milton,6-5
Shamorie Ponds,6-0
Shaquille Harrison,6-7
Sindarius Thornwell,6-4
Skal Labissiere,6-10
Solomon Hill,6-6
Spencer Dinwiddie,6-5
Stanley Johnson,6-6
Stanton Kidd,6-6
Stephen Curry,6-3
Sterling Brown,6-5
Steven Adams,6-11
Svi Mykhailiuk,6-7
T.J. Leaf,6-10
T.J. McConnell,6-1
T.J. Warren,6-8
Tacko Fall,7-5
Taj Gibson,6-9
Talen Horton-Tucker,6-4
Tariq Owens,6-10
Taurean Prince,6-7
Terance Mann,6-5
Terence Davis,6-4
Terrance Ferguson,6-6
Terrence Ross,6-6
Terry Rozier,6-1
Thabo Sefolosha,6-6
Thaddeus Young,6-8
Thanasis Antetokounmpo,6-6
Theo Pinson,6-5
Thomas Bryant,6-10
Thon Maker,7-0
Tim Frazier,6-0
Tim Hardaway Jr.,6-5
Timothe Luwawu-Cabarrot,6-7
Tobias Harris,6-8
Tomas Satoransky,6-7
Tony Bradley,6-10
Tony Snell,6-6
Torrey Craig,6-7
Trae Young,6-1
Tremont Waters,5-10
Treveon Graham,6-5
Trevor Ariza,6-8
Trey Burke,6-0
Trey Lyles,6-9
Tristan Thompson,6-9
Troy Brown Jr.,6-6
Troy Daniels,6-4
Ty Jerome,6-5
Tyler Cook,6-8
Tyler Herro,6-5
Tyler Johnson,6-3
Tyler Zeller,6-11
Tyrone Wallace,6-5
Tyson Chandler,7-0
Tyus Jones,6-0
Udonis Haslem,6-8
Vic Law,6-7
Victor Oladipo,6-4
Vince Carter,6-6
Vincent Poirier,7-0
Vlatko Cancar,6-8
Wayne Ellington,6-4
Wendell Carter Jr.,6-9
Wenyen Gabriel,6-9
Wes Iwundu,6-6
Wesley Matthews,6-4
Will Barton,6-5
William Howard,6-8
Willie Cauley-Stein,7-0
Willy Hernangomez,6-11
Wilson Chandler,6-8
Yogi Ferrell,6-0
Yuta Watanabe,6-8
Zach Collins,6-11
Zach LaVine,6-6
Zach Norvell Jr.,6-5
Zhaire Smith,6-3
Zion Williamson,6-6
Zylan Cheatham,6-5
