Player,Height
Aaron Gordon,6-8
Aaron Holiday,6-0
Abdel Nader,6-5
Adam Mokoka,6-5
Admiral Schofield,6-5
Al Horford,6-9
Al-Farouq Aminu,6-8
Alec Burks,6-6
Alen Smailagic,6-10
Alex Caruso,6-5
Alex Len,7-0
Alfonzo McKinnie,6-7
Alize Johnson,6-7
Allen Crabbe,6-5
Allonzo Trier,6-4
Amile Jefferson,6-9
Amir Coffey,6-7
Andre Drummond,6-10
Andre Iguodala,6-6
Andre Roberson,6-7
Andrew Wiggins,6-7
Anfernee Simons,6-3
Ante Zizic,6-10
Anthony Davis,6-10
Anthony Tolliver,6-8
Antonius Cleveland,6-5
Anzejs Pasecniks,7-2
Aron Baynes,6-10
Austin Rivers,6-3
Avery Bradley,6-3
BJ Johnson,6-7
Bam Adebayo,6-9
Ben McLemore,6-3
Ben Simmons,6-10
Bismack Biyombo,6-8
Blake Griffin,6-9
Boban Marjanovic,7-4
Bobby Portis,6-10
Bogdan Bogdanovic,6-6
Bojan Bogdanovic,6-8
Bol Bol,7-2
Brad Wanamaker,6-3
Bradley Beal,6-3
Brandon Clarke,6-8
Brandon Goodwin,6-0
Brandon Ingram,6-7
Brandon Knight,6-2
Brian Bowen II,6-6
Brook Lopez,7-0
Bruce Brown,6-4
Bruno Caboclo,6-9
Bruno Fernando,6-9
Bryn Forbes,6-2
Buddy Hield,6-4
CJ McCollum,6-3
CJ Miles,6-6
Caleb Martin,6-5
Caleb Swanigan,6-9
Cam Reddish,6-8
Cameron Johnson,6-8
Cameron Payne,6-1
Caris LeVert,6-6
Carmelo Anthony,6-8
Carsen Edwards,5-11
Cedi Osman,6-7
Chandler Hutchison,6-7
Chandler Parsons,6-9
Charlie Brown Jr.,6-6
Chasson Randle,6-2
Cheick Diallo,6-8
Chimezie Metu,6-9
Chris Boucher,6-9
Chris Chiozza,5-11
Chris Clemons,5-9
Chris Paul,6-1
Chris Silva,6-8
Christian Wood,6-10
Clint Capela,6-10
Coby White,6-4
Cody Martin,6-5
Cody Zeller,7-0
Collin Sexton,6-1
Corey Brewer,6-9
Cory Joseph,6-3
Courtney Lee,6-5
Cristiano Felicio,6-10
D'Angelo Russell,6-4
D.J. Augustin,5-11
D.J. Wilson,6-10
DaQuan Jeffries,6-5
Damian Jones,6-11
Damian Lillard,6-2
Damion Lee,6-5
Damyean Dotson,6-5
Daniel Gafford,6-10
Daniel Theis,6-8
Danilo Gallinari,6-10
Danny Green,6-6
Dante Exum,6-5
Danuel House Jr.,6-6
Dario Saric,6-10
Darius Bazley,6-8
Darius Garland,6-1
Daryl Macon,6-2
David Nwaba,6-5
Davis Bertans,6-10
De'Aaron Fox,6-3
De'Andre Hunter,6-7
De'Anthony Melton,6-2
DeAndre Jordan,6-11
DeAndre' Bembry,6-5
DeMar DeRozan,6-6
DeMarre Carroll,6-6
Dean Wade,6-9
Deandre Ayton,6-11
Dejounte Murray,6-4
Delon Wright,6-5
Dennis Schroder,6-1
Dennis Smith Jr.,6-2
Denzel Valentine,6-4
Deonte Burton,6-4
Derrick Favors,6-9
Derrick Jones Jr.,6-6
Derrick Rose,6-2
Derrick Walton Jr.,6-0
Derrick White,6-4
Devin Booker,6-5
Devon Hall,6-5
Devontae Cacok,6-8
Devonte' Graham,6-1
Dewan Hernandez,6-10
Dewayne Dedmon,7-0
Dillon Brooks,6-7
Dion Waiters,6-3
Domantas Sabonis,6-11
Donovan Mitchell,6-1
Donta Hall,6-9
Donte DiVincenzo,6-4
