Player,Height
Aaron Gordon,6-8
Aaron Holiday,6-0
Aaron Nesmith,6-5
Abdel Nader,6-5
Adam Mokoka,6-4
Al Horford,6-9
Al-Farouq Aminu,6-8
Alec Burks,6-6
Aleksej Pokusevski,7-0
Alen Smailagic,6-10
Alex Caruso,6-4
Alex Len,7-0
Alfonzo McKinnie,6-7
Alize Johnson,6-7
Amir Coffey,6-7
Andre Drummond,6-10
Andre Iguodala,6-6
Andre Roberson,6-7
Andrew Wiggins,6-7
Anfernee Simons,6-3
Anthony Davis,6-10
Anthony Edwards,6-4
Anthony Gill,6-7
Anthony Lamb,6-6
Anzejs Pasecniks,7-1
Aron Baynes,6-10
Ashton Hagans,6-3
Austin Rivers,6-4
Avery Bradley,6-3
Axel Toupane,6-7
Bam Adebayo,6-9
Ben McLemore,6-3
Ben Simmons,6-11
Bismack Biyombo,6-8
Blake Griffin,6-9
Boban Marjanovic,7-4
Bobby Portis,6-10
Bogdan Bogdanovic,6-6
Bojan Bogdanovic,6-7
Bol Bol,7-2
Brad Wanamaker,6-3
Bradley Beal,6-3
Brandon Clarke,6-8
Brandon Goodwin,6-0
Brandon Ingram,6-8
Brian Bowen II,6-6
Brodric Thomas,6-5
Brook Lopez,7-0
Bruce Brown,6-4
Bruno Caboclo,6-9
Bruno Fernando,6-9
Bryn Forbes,6-2
Buddy Hield,6-4
CJ Elleby,6-6
CJ McCollum,6-3
Caleb Martin,6-5
Cam Reddish,6-8
Cameron Johnson,6-8
Cameron Payne,6-1
Caris LeVert,6-6
Carmelo Anthony,6-7
Carsen Edwards,5-11
Cassius Stanley,6-5
Cassius Winston,6-1
Cedi Osman,6-7
Chandler Hutchison,6-6
Chasson Randle,6-2
Chimezie Metu,6-9
Chris Boucher,6-9
Chris Chiozza,5-11
Chris Paul,6-0
Chris Silva,6-8
Christian Wood,6-10
Chuma Okeke,6-6
Clint Capela,6-10
Coby White,6-5
Cody Martin,6-5
Cody Zeller,6-11
Cole Anthony,6-2
Collin Sexton,6-1
Cory Joseph,6-3
Cristiano Felicio,6-11
D'Angelo Russell,6-4
D.J. Augustin,5-11
D.J. Wilson,6-10
DaQuan Jeffries,6-5
Dakota Mathias,6-4
Damian Jones,6-11
Damian Lillard,6-2
Damion Lee,6-5
Damyean Dotson,6-5
Daniel Gafford,6-10
Daniel Oturu,6-8
Daniel Theis,6-8
Danilo Gallinari,6-10
Danny Green,6-6
Dante Exum,6-5
Danuel House Jr.,6-6
Dario Saric,6-10
Darius Bazley,6-8
Darius Garland,6-1
Darius Miller,6-6
David Nwaba,6-5
Davis Bertans,6-10
De'Aaron Fox,6-3
De'Andre Hunter,6-8
De'Anthony Melton,6-2
DeAndre Jordan,6-11
DeAndre' Bembry,6-5
DeMar DeRozan,6-6
DeMarcus Cousins,6-10
Dean Wade,6-9
Deandre Ayton,6-11
Deividas Sirvydis,6-8
Dejounte Murray,6-4
Delon Wright,6-5
Deni Avdija,6-9
Dennis Schroder,6-3
Dennis Smith Jr.,6-2
Denzel Valentine,6-4
Derrick Favors,6-9
Derrick Jones Jr.,6-5
Derrick Rose,6-2
Derrick White,6-4
Desmond Bane,6-5
Devin Booker,6-5
Devin Vassell,6-5
Devon Dotson,6-2
Devontae Cacok,6-7
Devonte' Graham,6-1
Dillon Brooks,6-7
Domantas Sabonis,6-11
Donovan Mitchell,6-1
Donte DiVincenzo,6-4
Dorian Finney-Smith,6-7
Doug McDermott,6-7
Draymond Green,6-6
Drew Eubanks,6-9
