Player,Height
Kelly Olynyk,7-0
Kelly Oubre Jr.,6-7
Kemba Walker,6-1
Kendall Marshall,6-4
Kendrick Perkins,6-10
Kenneth Faried,6-8
Kent Bazemore,6-5
Kentavious Caldwell-Pope,6-5
Kevin Durant,6-9
Kevin Garnett,6-11
Kevin Love,6-10
Kevin Martin,6-7
Kevin Seraphin,6-10
Kevon Looney,6-9
Khris Middleton,6-8
Kirk Hinrich,6-4
Klay Thompson,6-7
Kobe Bryant,6-6
Kosta Koufos,7-0
Kostas Papanikolaou,6-8
Kris Humphries,6-9
Kristaps Porzingis,7-3
Kyle Anderson,6-9
Kyle Korver,6-7
Kyle Lowry,6-0
Kyle O'Quinn,6-10
Kyle Singler,6-8
Kyrie Irving,6-3
LaMarcus Aldridge,6-11
Lamar Patterson,6-5
Lance Stephenson,6-5
Lance Thomas,6-8
Langston Galloway,6-2
Larry Nance Jr.,6-9
Lavoy Allen,6-9
LeBron James,6-8
Leandro Barbosa,6-3
Lorenzo Brown,6-5
Lou Amundson,6-9
Lou Williams,6-1
Luc Mbah a Moute,6-8
Lucas Nogueira,7-0
Luis Montero,6-7
Luis Scola,6-9
Luke Babbitt,6-9
Luol Deng,6-9
Manu Ginobili,6-6
Marc Gasol,7-1
Marcelo Huertas,6-3
Marcin Gortat,6-11
Marco Belinelli,6-5
Marcus Morris Sr.,6-9
Marcus Smart,6-4
Marcus Thornton,6-4
Mario Chalmers,6-2
Mario Hezonja,6-8
Markel Brown,6-3
Markieff Morris,6-10
Marreese Speights,6-10
Marvin Williams,6-9
Mason Plumlee,6-11
Matt Barnes,6-7
Matt Bonner,6-10
Matthew Dellavedova,6-4
Maurice Harkless,6-9
Metta World Peace,6-7
Meyers Leonard,7-1
Michael Beasley,6-10
Michael Carter-Williams,6-6
Michael Kidd-Gilchrist,6-7
Mike Conley,6-1
Mike Dunleavy,6-9
Mike Miller,6-8
Mike Muscala,6-11
Mike Scott,6-8
Miles Plumlee,6-11
Mirza Teletovic,6-9
Mitch McGary,6-10
Mo Williams,6-1
Monta Ellis,6-3
Montrezl Harrell,6-8
Myles Turner,6-11
Nate Robinson,5-9
Nazr Mohammed,6-10
Nemanja Bjelica,6-10
Nene,6-11
Nerlens Noel,6-11
Nick Collison,6-10
Nick Young,6-7
Nicolas Batum,6-8
Nik Stauskas,6-6
Nikola Jokic,6-10
Nikola Mirotic,6-10
Nikola Pekovic,6-11
Nikola Vucevic,7-0
Noah Vonleh,6-9
Norman Powell,6-4
Norris Cole,6-2
O.J. Mayo,6-5
Omer Asik,7-0
Omri Casspi,6-9
Orlando Johnson,6-5
Otto Porter Jr.,6-8
P.J. Tucker,6-6
PJ Hairston,6-6
Pablo Prigioni,6-3
Pat Connaughton,6-5
Patrick Beverley,6-1
Patrick Patterson,6-9
Patty Mills,6-0
Pau Gasol,7-0
Paul George,6-9
Paul Millsap,6-8
Paul Pierce,6-7
Phil Pressey,5-11
Quincy Acy,6-7
RJ Hunter,6-5
Rajon Rondo,6-1
Rakeem Christmas,6-9
Ramon Sessions,6-3
Randy Foye,6-4
Rashad Vaughn,6-6
Rasual Butler,6-7
Raul Neto,6-1
Ray McCallum,6-3
Raymond Felton,6-1
Reggie Bullock,6-7
Reggie Jackson,6-3
Richard Jefferson,6-7
Richaun Holmes,6-10
Ricky Rubio,6-4
