Player,Height
Aaron Brooks,6-0
Aaron Gordon,6-9
Aaron Harrison,6-6
Aaron Jackson,6-3
Abdel Nader,6-6
Adreian Payne,6-10
Al Horford,6-10
Al Jefferson,6-10
Al-Farouq Aminu,6-9
Alan Williams,6-8
Alec Burks,6-6
Alec Peters,6-9
Alex Abrines,6-6
Alex Caruso,6-5
Alex Len,7-1
Alex Poythress,6-9
Alfonzo McKinnie,6-8
Allen Crabbe,6-6
Amir Johnson,6-9
Andre Drummond,6-11
Andre Iguodala,6-6
Andre Ingram,6-3
Andre Roberson,6-7
Andrew Bogut,7-0
Andrew Harrison,6-6
Andrew White III,6-7
Andrew Wiggins,6-8
Ante Zizic,6-11
Anthony Brown,6-7
Anthony Davis,6-10
Anthony Tolliver,6-8
Antonio Blakeney,6-4
Antonius Cleveland,6-6
Aron Baynes,6-10
Arron Afflalo,6-5
Austin Rivers,6-4
Avery Bradley,6-2
Bam Adebayo,6-10
Ben McLemore,6-5
Ben Moore,6-8
Ben Simmons,6-10
Bismack Biyombo,6-9
Blake Griffin,6-10
Boban Marjanovic,7-3
Bobby Brown,6-2
Bobby Portis,6-11
Bogdan Bogdanovic,6-6
Bojan Bogdanovic,6-8
Bradley Beal,6-5
Brandan Wright,6-10
Brandon Ingram,6-9
Brandon Jennings,6-1
Brandon Paul,6-4
Briante Weber,6-2
Brice Johnson,6-10
Brook Lopez,7-0
Bruno Caboclo,6-9
Bryn Forbes,6-3
Buddy Hield,6-4
C.J. Williams,6-5
CJ McCollum,6-3
CJ Miles,6-6
Caleb Swanigan,6-8
Cameron Payne,6-3
Caris LeVert,6-7
Carmelo Anthony,6-8
Cedi Osman,6-8
Chandler Parsons,6-10
Channing Frye,6-11
Charles Cooke,6-5
Cheick Diallo,6-9
Chinanu Onuaku,6-10
Chris Boucher,6-10
Chris McCullough,6-9
Chris Paul,6-0
Clint Capela,6-10
Cody Zeller,7-0
Cole Aldrich,6-11
Corey Brewer,6-9
Cory Joseph,6-3
Courtney Lee,6-5
Cristiano Felicio,6-9
D'Angelo Russell,6-5
D.J. Augustin,6-0
D.J. Wilson,6-10
Dakari Johnson,7-0
Damian Jones,7-0
Damian Lillard,6-3
Damien Wilkins,6-6
Damion Lee,6-6
Damyean Dotson,6-5
Daniel Hamilton,6-7
Daniel Theis,6-9
