Player,Height
Aaron Gordon,6-9
Aaron Holiday,6-1
Abdel Nader,6-6
Al Horford,6-10
Al-Farouq Aminu,6-9
Alan Williams,6-8
Alec Burks,6-6
Alex Abrines,6-6
Alex Caruso,6-5
Alex Len,7-1
Alex Poythress,6-9
Alfonzo McKinnie,6-8
Alize Johnson,6-9
Allen Crabbe,6-6
Allonzo Trier,6-5
Amile Jefferson,6-9
Amir Johnson,6-9
Andre Drummond,6-11
Andre Iguodala,6-6
Andre Ingram,6-3
Andrew Bogut,7-0
Andrew Harrison,6-6
Andrew Wiggins,6-8
Anfernee Simons,6-4
Angel Delgado,6-10
Ante Zizic,6-11
Anthony Davis,6-10
Anthony Tolliver,6-8
Antonio Blakeney,6-4
Aron Baynes,6-10
Austin Rivers,6-4
Avery Bradley,6-2
BJ Johnson,6-7
Bam Adebayo,6-10
Ben McLemore,6-5
Ben Simmons,6-10
Billy Garrett,6-6
Bismack Biyombo,6-9
Blake Griffin,6-10
Boban Marjanovic,7-3
Bobby Portis,6-11
Bogdan Bogdanovic,6-6
Bojan Bogdanovic,6-8
Bonzie Colson,6-6
Brad Wanamaker,6-4
Bradley Beal,6-5
Brandon Goodwin,6-2
Brandon Ingram,6-9
Brandon Knight,6-3
Brandon Sampson,6-5
Brook Lopez,7-0
Bruce Brown,6-5
Bruno Caboclo,6-9
Bryn Forbes,6-3
Buddy Hield,6-4
C.J. Williams,6-5
CJ McCollum,6-3
CJ Miles,6-6
Caleb Swanigan,6-9
Cameron Payne,6-3
Cameron Reynolds,6-8
Caris LeVert,6-7
Carmelo Anthony,6-8
Cedi Osman,6-8
Chandler Hutchison,6-7
Chandler Parsons,6-10
Channing Frye,7-0
Chasson Randle,6-2
Cheick Diallo,6-9
Chimezie Metu,6-10
Chris Boucher,6-10
Chris Chiozza,6-0
Chris Paul,6-0
Christian Wood,6-10
Clint Capela,6-10
Cody Zeller,7-0
Collin Sexton,6-2
Corey Brewer,6-9
Cory Joseph,6-3
Courtney Lee,6-5
Cristiano Felicio,6-10
D'Angelo Russell,6-5
D.J. Augustin,6-0
D.J. Wilson,6-10
DJ Stephens,6-5
Dairis Bertans,6-4
Damian Jones,7-0
Damian Lillard,6-3
Damion Lee,6-6
Damyean Dotson,6-6
Daniel Hamilton,6-7
Daniel Theis,6-8
Danilo Gallinari,6-10
Danny Green,6-6
Dante Cunningham,6-8
Dante Exum,6-6
Danuel House Jr.,6-7
Dario Saric,6-10
Darius Miller,6-8
Darren Collison,6-0
Daryl Macon,6-3
David Nwaba,6-4
Davis Bertans,6-10
Davon Reed,6-5
De'Aaron Fox,6-3
De'Anthony Melton,6-4
DeAndre Jordan,6-11
DeAndre' Bembry,6-6
DeMar DeRozan,6-7
DeMarcus Cousins,6-11
DeMarre Carroll,6-8
DeVaughn Akoon-Purcell,6-6
Deandre Ayton,7-1
Delon Wright,6-5
Demetrius Jackson,6-1
Deng Adel,6-7
Dennis Schroder,6-1
Dennis Smith Jr.,6-3
Deonte Burton,6-5
Derrick Favors,6-10
Derrick Jones Jr.,6-7
Derrick Rose,6-3
Derrick White,6-4
Devin Booker,6-6
Devin Harris,6-3
Devin Robinson,6-8
Devonte' Graham,6-2
Dewayne Dedmon,7-0
Deyonta Davis,6-11
Dillon Brooks,6-6
Dion Waiters,6-4
Dirk Nowitzki,7-0
Domantas Sabonis,6-11
Donatas Motiejunas,7-0
Donovan Mitchell,6-3
Donte DiVincenzo,6-4
Donte Grantham,6-8
Dorian Finney-Smith,6-8
Doug McDermott,6-8
Dragan Bender,7-1
Draymond Green,6-7
Drew Eubanks,6-10
Duncan Robinson,6-8
Dusty Hannahs,6-4
Dwayne Bacon,6-7
Dwight Howard,6-11
Dwight Powell,6-11
Dwyane Wade,6-4
Dzanan Musa,6-9
E'Twaun Moore,6-4
Ed Davis,6-10
Edmond Sumner,6-6
Ekpe Udoh,6-10
Elfrid Payton,6-4
Elie Okobo,6-3
Emanuel Terry,6-9
Emmanuel Mudiay,6-5
Enes Kanter,6-11
Eric Bledsoe,6-1
Eric Gordon,6-4
Eric Moreland,6-10
Ersan Ilyasova,6-10
Evan Fournier,6-7
Evan Turner,6-7
Frank Jackson,6-3
Frank Kaminsky,7-0
Frank Mason,5-11
Frank Ntilikina,6-6
Fred VanVleet,6-0
Furkan Korkmaz,6-7
Garrett Temple,6-6
Gary Clark,6-8
Gary Harris,6-4
Gary Payton II,6-3
Gary Trent Jr.,6-6
George Hill,6-3
George King,6-6
Georges Niang,6-8
Gerald Green,6-7
Giannis Antetokounmpo,6-11
Glenn Robinson III,6-6
Goran Dragic,6-3
Gordon Hayward,6-8
Gorgui Dieng,6-11
Grayson Allen,6-5
Greg Monroe,6-11
Guerschon Yabusele,6-8
Hamidou Diallo,6-5
Harrison Barnes,6-8
Harry Giles III,6-10
Hassan Whiteside,7-0
Haywood Highsmith,6-7
Henry Ellenson,6-11
Ian Clark,6-3
Ian Mahinmi,6-11
Ike Anigbogu,6-10
Iman Shumpert,6-5
Isaac Bonga,6-8
Isaac Humphries,7-0
Isaiah Briscoe,6-3
Isaiah Canaan,6-0
Isaiah Hartenstein,7-0
Isaiah Hicks,6-9
Isaiah Thomas,5-9
Ish Smith,6-0
Ivan Rabb,6-10
Ivica Zubac,7-1
J.J. Barea,6-0
J.P. Macura,6-5
JJ Redick,6-4
JR Smith,6-6
JaKarr Sampson,6-9
JaMychal Green,6-9
JaVale McGee,7-0
Jabari Parker,6-8
Jacob Evans,6-6
Jae Crowder,6-6
Jahlil Okafor,6-11
Jake Layman,6-9
Jakob Poeltl,7-0
Jalen Brunson,6-3
Jalen Jones,6-7
Jamal Crawford,6-5
Jamal Murray,6-4
James Ennis III,6-7
James Harden,6-5
James Johnson,6-8
James Nunnally,6-7
Jared Dudley,6-7
Jared Terrell,6-3
Jarell Martin,6-10
Jaren Jackson Jr.,6-11
Jaron Blossomgame,6-8
Jarred Vanderbilt,6-9
Jarrett Allen,6-11
Jason Smith,7-0
Jawun Evans,6-0
Jaylen Adams,6-2
Jaylen Brown,6-7
Jaylen Morris,6-5
Jayson Tatum,6-8
Jeff Green,6-9
Jeff Teague,6-2
Jemerrio Jones,6-5
Jerami Grant,6-9
Jeremy Lamb,6-5
Jeremy Lin,6-3
Jerian Grant,6-4
Jerome Robinson,6-5
Jerryd Bayless,6-3
Jevon Carter,6-2
Jimmer Fredette,6-2
Jimmy Butler,6-8
Joakim Noah,6-11
Jodie Meeks,6-4
Joe Chealey,6-3
Joe Harris,6-6
Joe Ingles,6-8
Joel Embiid,7-0
John Collins,6-10
John Henson,6-11
John Holland,6-5
John Jenkins,6-4
John Wall,6-4
Johnathan Motley,6-10
Johnathan Williams,6-9
Jon Leuer,6-10
Jonah Bolden,6-10
Jonas Jerebko,6-10
Jonas Valanciunas,7-0
Jonathan Isaac,6-10
Jonathon Simmons,6-6
Jordan Bell,6-9
Jordan Clarkson,6-5
Jordan Loyd,6-4
Jordan McRae,6-5
Jordan Sibert,6-4
Jose Calderon,6-3
Josh Hart,6-5
Josh Jackson,6-8
Josh Okogie,6-4
Josh Richardson,6-6
Jrue Holiday,6-4
Juancho Hernangomez,6-9
Julian Washburn,6-8
Julius Randle,6-9
Justin Anderson,6-6
Justin Holiday,6-6
Justin Jackson,6-8
Justin Patton,7-0
Justise Winslow,6-7
Jusuf Nurkic,7-0
Kadeem Allen,6-3
Kalin Lucas,6-1
Karl-Anthony Towns,7-0
Kawhi Leonard,6-7
Keita Bates-Diop,6-9
Kelly Olynyk,7-0
Kelly Oubre Jr.,6-7
Kemba Walker,6-1
Kenneth Faried,6-8
Kenrich Williams,6-7
Kent Bazemore,6-5
Kentavious Caldwell-Pope,6-5
Kevin Durant,6-9
Kevin Huerter,6-7
Kevin Knox II,6-9
Kevin Love,6-10
Kevon Looney,6-9
Khem Birch,6-9
Khris Middleton,6-8
Khyri Thomas,6-3
Klay Thompson,6-7
Kobi Simmons,6-4
Kosta Koufos,7-0
Kostas Antetokounmpo,6-10
Kris Dunn,6-4
Kyle Anderson,6-9
Kyle Korver,6-7
Kyle Kuzma,6-9
Kyle Lowry,6-1
Kyle O'Quinn,6-10
Kyrie Irving,6-3
LaMarcus Aldridge,6-11
Lance Stephenson,6-6
Lance Thomas,6-8
Landry Shamet,6-5
Langston Galloway,6-2
Larry Nance Jr.,6-9
Lauri Markkanen,7-0
LeBron James,6-8
Lonnie Walker IV,6-5
Lonzo Ball,6-6
Lorenzo Brown,6-5
Lou Williams,6-1
Luc Mbah a Moute,6-8
Luka Doncic,6-7
Luke Kennard,6-5
Luke Kornet,7-1
Luol Deng,6-9
Malachi Richardson,6-6
Malcolm Brogdon,6-5
Malcolm Miller,6-7
Malik Beasley,6-5
Malik Monk,6-3
MarShon Brooks,6-5
Marc Gasol,7-1
Marcin Gortat,6-11
Marco Belinelli,6-5
Marcus Derrickson,6-7
Marcus Morris Sr.,6-9
Marcus Smart,6-4
Mario Hezonja,6-8
Markelle Fultz,6-4
Markieff Morris,6-10
Marquese Chriss,6-10
Marvin Bagley III,6-11
Marvin Williams,6-9
Mason Plumlee,6-11
Matthew Dellavedova,6-4
Maurice Harkless,6-9
Maxi Kleber,6-11
Melvin Frazier Jr.,6-6
Meyers Leonard,7-1
Michael Beasley,6-9
Michael Carter-Williams,6-6
Michael Kidd-Gilchrist,6-7
Mikal Bridges,6-7
Mike Conley,6-1
Mike Muscala,6-11
Mike Scott,6-8
Miles Bridges,6-7
Miles Plumlee,6-11
Milos Teodosic,6-5
Mitchell Creek,6-6
Mitchell Robinson,7-1
Mo Bamba,7-0
Monte Morris,6-3
Montrezl Harrell,6-8
Moritz Wagner,6-11
Myles Turner,6-11
Naz Mitrou-Long,6-4
Nemanja Bjelica,6-10
Nene,6-11
Nerlens Noel,6-11
Nick Young,6-7
Nicolas Batum,6-8
Nik Stauskas,6-6
Nikola Jokic,7-0
Nikola Mirotic,6-10
Nikola Vucevic,7-0
Noah Vonleh,6-9
Norman Powell,6-4
OG Anunoby,6-8
Okaro White,6-8
Omari Spellman,6-9
Omri Casspi,6-9
Otto Porter Jr.,6-8
P.J. Tucker,6-6
PJ Dozier,6-6
Pascal Siakam,6-9
Pat Connaughton,6-4
Patrick Beverley,6-1
Patrick McCaw,6-7
Patrick Patterson,6-9
Patty Mills,6-0
Pau Gasol,7-0
Paul George,6-9
Paul Millsap,6-8
Quincy Acy,6-7
Quincy Pondexter,6-7
Quinn Cook,6-2
RJ Hunter,6-5
Rajon Rondo,6-1
Raul Neto,6-1
Rawle Alkins,6-5
Ray Spalding,6-10
Raymond Felton,6-1
Reggie Bullock,6-7
Reggie Jackson,6-3
Richaun Holmes,6-10
Ricky Rubio,6-4
Robert Covington,6-9
Robert Williams III,6-10
Robin Lopez,7-0
Rodions Kurucs,6-9
Rodney Hood,6-8
Rodney McGruder,6-4
Ron Baker,6-4
Rondae Hollis-Jefferson,6-7
Royce O'Neale,6-6
Rudy Gay,6-8
Rudy Gobert,7-1
Russell Westbrook,6-3
Ryan Anderson,6-10
Ryan Arcidiacono,6-3
Ryan Broekhoff,6-7
Salah Mejri,7-2
Sam Dekker,6-9
Scott Machado,6-1
Semi Ojeleye,6-7
Serge Ibaka,6-10
Seth Curry,6-2
Shabazz Napier,6-1
Shai Gilgeous-Alexander,6-6
Shake Milton,6-6
Shaquille Harrison,6-4
Shaun Livingston,6-7
Shelvin Mack,6-3
Sindarius Thornwell,6-5
Skal Labissiere,6-11
Solomon Hill,6-7
Spencer Dinwiddie,6-6
Stanley Johnson,6-7
Stephen Curry,6-3
Sterling Brown,6-6
Steven Adams,7-0
Svi Mykhailiuk,6-8
T.J. Leaf,6-10
T.J. McConnell,6-2
T.J. Warren,6-8
Tahjere McCall,6-5
Taj Gibson,6-9
Taurean Prince,6-8
Terrance Ferguson,6-7
Terrence Jones,6-9
Terrence Ross,6-7
Terry Rozier,6-1
Thabo Sefolosha,6-7
Thaddeus Young,6-8
Theo Pinson,6-6
Thomas Bryant,6-11
Thomas Welsh,7-0
Thon Maker,7-1
Tim Frazier,6-1
Tim Hardaway Jr.,6-6
Timothe Luwawu-Cabarrot,6-6
Tobias Harris,6-9
Tomas Satoransky,6-7
Tony Bradley,6-10
Tony Parker,6-2
Tony Snell,6-7
Torrey Craig,6-7
Trae Young,6-2
Treveon Graham,6-5
Trevon Duval,6-2
Trevor Ariza,6-8
Trey Burke,6-1
Trey Lyles,6-10
Tristan Thompson,6-10
Troy Brown Jr.,6-7
Troy Caupain,6-4
Troy Daniels,6-4
Troy Williams,6-7
Tyler Cavanaugh,6-9
Tyler Davis,6-10
Tyler Dorsey,6-5
Tyler Johnson,6-4
Tyler Lydon,6-10
Tyler Ulis,5-10
Tyler Zeller,7-0
Tyreke Evans,6-6
Tyrone Wallace,6-5
Tyson Chandler,7-1
Tyus Jones,6-2
Udonis Haslem,6-8
Victor Oladipo,6-4
Vince Carter,6-6
Vincent Edwards,6-8
Wade Baldwin IV,6-4
Walt Lemon Jr.,6-3
Wayne Ellington,6-5
Wayne Selden,6-5
Wendell Carter Jr.,6-10
Wes Iwundu,6-7
Wesley Johnson,6-7
Wesley Matthews,6-5
Will Barton,6-6
Willie Cauley-Stein,7-0
Willy Hernangomez,6-11
Wilson Chandler,6-9
Yante Maten,6-8
Yogi Ferrell,6-0
Yuta Watanabe,6-9
Zach Collins,7-0
Zach LaVine,6-5
Zach Lofton,6-4
Zaza Pachulia,6-11
Zhaire Smith,6-4
Zhou Qi,7-1
