Player,CS_3PA,CS_3P%
Ian Clark,2.4,35.0
Ian Mahinmi,0.5,18.8
Ike Anigbogu,-,-
Iman Shumpert,3.3,37.3
Isaac Bonga,0.2,0.0
Isaac Humphries,2.2,27.3
Isaiah Briscoe,0.8,33.3
Isaiah Canaan,1.9,34.5
Isaiah Hartenstein,0.2,33.3
Isaiah Hicks,-,-
Isaiah Thomas,2.2,23.1
Ish Smith,1.2,32.4
Ivan Rabb,0.3,20.0
Ivica Zubac,-,-
J.J. Barea,1.2,25.5
J.P. Macura,2.0,0.0
JJ Redick,4.7,42.4
JR Smith,2.5,37.0
JaKarr Sampson,3.5,35.7
JaMychal Green,2.4,40.3
JaVale McGee,0.2,8.3
Jabari Parker,2.1,31.6
Jacob Evans,0.5,26.7
Jae Crowder,5.1,33.6
Jahlil Okafor,0.1,33.3
Jake Layman,2.1,29.7
Jakob Poeltl,-,-
Jalen Brunson,1.5,33.9
Jalen Jones,1.7,37.0
Jamal Crawford,1.3,36.9
Jamal Murray,2.7,39.3
James Ennis III,2.4,35.0
James Harden,0.9,41.4
James Johnson,2.0,32.4
James Nunnally,1.4,38.1
Jared Dudley,2.5,34.2
Jared Terrell,0.8,9.1
Jarell Martin,1.3,37.7
Jaren Jackson Jr.,2.2,36.7
Jaron Blossomgame,1.4,27.0
Jarred Vanderbilt,0.1,0.0
Jarrett Allen,0.6,13.3
Jason Smith,1.3,34.6
Jawun Evans,0.1,0.0
Jaylen Adams,1.4,35.4
Jaylen Brown,3.3,34.3
Jaylen Morris,0.8,33.3
Jayson Tatum,2.5,39.4
Jeff Green,3.6,37.8
Jeff Teague,1.0,37.5
Jemerrio Jones,1.3,25.0
Jerami Grant,3.6,39.7
Jeremy Lamb,2.8,38.5
Jeremy Lin,1.5,28.9
Jerian Grant,1.3,40.0
Jerome Robinson,1.4,28.3
Jerryd Bayless,1.8,32.8
Jevon Carter,1.5,33.3
Jimmer Fredette,1.3,0.0
Jimmy Butler,1.6,36.8
Joakim Noah,0.0,0.0
Jodie Meeks,2.1,41.2
Joe Chealey,-,-
Joe Harris,4.2,48.1
Joe Ingles,3.8,40.1
Joel Embiid,3.3,31.1
John Collins,2.5,35.3
John Henson,2.1,37.9
John Holland,-,-
John Jenkins,1.8,32.6
John Wall,3.2,37.3
Johnathan Motley,0.1,0.0
Johnathan Williams,0.0,0.0
Jon Leuer,0.3,8.3
Jonah Bolden,2.0,35.6
Jonas Jerebko,2.4,37.5
Jonas Valanciunas,0.9,28.9
Jonathan Isaac,3.3,32.8
Jonathon Simmons,1.2,25.8
Jordan Bell,0.0,0.0
Jordan Clarkson,2.9,36.6
Jordan Loyd,0.3,25.0
Jordan McRae,0.7,26.3
Jordan Sibert,1.0,100
Jose Calderon,0.8,28.2
Josh Hart,3.3,34.4
Josh Jackson,2.1,35.8
Josh Okogie,2.5,29.4
Josh Richardson,4.6,38.5
Jrue Holiday,1.9,35.4
Juancho Hernangomez,2.5,37.1
Julian Washburn,1.2,23.8
Julius Randle,2.0,35.8
Justin Anderson,1.3,32.3
Justin Holiday,4.4,34.8
Justin Jackson,2.7,36.1
Justin Patton,0.7,0.0
Justise Winslow,3.3,41.2
Jusuf Nurkic,0.4,11.5
Kadeem Allen,1.2,56.5
Kalin Lucas,0.0,-
Karl-Anthony Towns,4.0,41.1
Kawhi Leonard,2.5,40.8
Keita Bates-Diop,1.7,26.0
Kelly Olynyk,3.3,37.3
Kelly Oubre Jr.,3.9,31.1
Kemba Walker,2.8,34.8
Kenneth Faried,0.6,36.4
Kenrich Williams,2.8,33.9
Kent Bazemore,2.9,35.4
Kentavious Caldwell-Pope,4.1,36.7
Kevin Durant,2.2,40.8
Kevin Huerter,3.1,38.4
Kevin Knox II,4.1,34.0
Kevin Love,5.2,31.3
Kevon Looney,0.1,14.3
Khem Birch,0.0,0.0
Khris Middleton,3.0,35.1
Khyri Thomas,1.2,31.3
Klay Thompson,6.1,40.5
