Player,CS_3PA,CS_3P%
Jerome Robinson,1.9,28.0
Jevon Carter,1.4,34.8
Jimmy Butler,0.7,30.0
Joe Harris,5.6,52.2
Joe Ingles,3.4,51.9
Joel Embiid,2.2,39.1
John Collins,3.2,37.3
John Konchar,1.1,33.3
John Wall,3.3,42.1
Jonas Valanciunas,0.9,25.8
Jontay Porter,1.0,0.0
Jordan Bell,0.7,0.0
Jordan Bone,1.5,23.8
Jordan Clarkson,4.3,35.5
Jordan McLaughlin,1.2,34.5
Jordan Nwora,0.9,36.4
Jordan Poole,3.3,39.0
Josh Green,0.5,18.2
Josh Hall,1.0,14.3
Josh Hart,3.8,32.7
Josh Jackson,3.4,30.5
Josh Okogie,1.7,23.3
Josh Richardson,3.9,30.0
Jrue Holiday,2.2,35.6
Juan Toscano-Anderson,1.3,44.7
Juancho Hernangomez,2.8,35.2
Julius Randle,3.5,43.6
Justin Holiday,5.5,37.6
Justin Jackson,2.6,31.2
Justin James,0.6,33.3
Justin Patton,2.5,30.0
Justise Winslow,2.5,14.3
Jusuf Nurkic,0.8,20.0
Juwan Morgan,0.5,22.2
KZ Okpala,1.4,26.5
Karim Mane,0.1,100
Karl-Anthony Towns,4.7,36.6
Kawhi Leonard,2.6,47.9
Keita Bates-Diop,0.9,28.6
Kelan Martin,0.5,14.3
Keldon Johnson,2.3,34.1
Keljin Blevins,0.3,0.0
Kelly Olynyk,4.9,31.4
Kelly Oubre Jr.,4.2,33.9
Kemba Walker,2.2,37.9
Kendrick Nunn,3.9,41.0
Kenrich Williams,1.3,47.3
Kent Bazemore,2.1,43.3
Kentavious Caldwell-Pope,3.1,41.8
Kenyon Martin Jr.,1.2,36.8
Kevin Durant,3.2,46.7
Kevin Huerter,4.3,37.8
Kevin Knox II,2.3,42.0
Kevin Love,2.0,25.0
Kevin Porter Jr.,1.4,20.0
Kevon Looney,0.3,44.4
Khem Birch,0.4,22.2
Khris Middleton,2.6,44.5
Killian Hayes,1.7,33.3
Killian Tillie,1.3,40.0
Kira Lewis Jr.,1.5,35.7
Kostas Antetokounmpo,-,-
Kristaps Porzingis,5.6,36.2
Kyle Anderson,2.9,36.0
Kyle Guy,1.3,27.3
Kyle Kuzma,4.4,39.9
Kyle Lowry,3.4,41.3
Kyrie Irving,3.1,44.2
LaMarcus Aldridge,3.3,35.7
LaMelo Ball,3.1,39.8
Lamar Stevens,0.6,11.8
Landry Shamet,3.8,39.3
Langston Galloway,2.0,46.8
Larry Nance Jr.,3.0,37.0
Lauri Markkanen,7.0,39.1
LeBron James,2.1,36.5
Lonnie Walker IV,3.6,38.8
Lonzo Ball,5.6,41.2
Lou Williams,1.5,37.1
Luguentz Dort,5.0,33.8
Luka Doncic,1.3,34.0
Luka Samanic,1.7,33.3
Luke Kennard,2.6,46.6
Luke Kornet,1.8,26.1
Malachi Flynn,1.2,27.3
Malcolm Brogdon,2.9,43.7
Malik Beasley,6.2,41.5
Malik Monk,2.9,44.2
Mamadi Diakite,-,-
Marc Gasol,2.3,36.6
Marcus Morris Sr.,4.6,48.4
Marcus Smart,4.0,31.3
Markelle Fultz,0.8,33.3
Markieff Morris,2.8,34.3
Markus Howard,0.7,20.0
Marques Bolden,-,-
Marquese Chriss,2.5,20.0
Marvin Bagley III,2.3,34.1
Mason Jones,1.2,38.7
Mason Plumlee,0.1,0.0
Matisse Thybulle,2.0,31.7
Matt Thomas,0.8,40.9
Maurice Harkless,1.0,45.5
Max Strus,3.8,39.8
Maxi Kleber,3.8,47.8
Meyers Leonard,2.3,42.9
Mfiondu Kabengele,0.7,20.0
Michael Carter-Williams,1.7,25.0
Michael Porter Jr.,4.4,48.0
Mikal Bridges,4.2,39.4
Mike Conley,2.7,46.3
Mike Muscala,5.1,36.5
Mike Scott,2.6,35.4
Miles Bridges,2.3,35.6
Mitchell Robinson,-,-
Miye Oni,1.3,42.1
Mo Bamba,1.5,28.1
Monte Morris,2.3,34.9
Montrezl Harrell,0.1,0.0
Moritz Wagner,1.6,30.0
Moses Brown,-,-
Mychal Mulder,2.5,36.0
Myles Turner,4.2,33.1
Naji Marshall,0.0,-
Nassir Little,1.4,44.7
Nate Darling,2.0,25.0
Nate Hinton,0.5,25.0
Nathan Knight,0.8,41.7
Naz Reid,2.4,35.4
Nemanja Bjelica,1.9,28.6
Nerlens Noel,0.0,0.0
Nick Richards,-,-
Nickeil Alexander-Walker,3.4,33.1
Nico Mannion,1.1,37.5
Nicolas Batum,4.0,44.0
Nicolas Claxton,0.3,25.0
Nicolo Melli,1.5,20.6
Nikola Jokic,3.4,42.6
Nikola Vucevic,6.5,40.6
Noah Vonleh,0.3,0.0
Norman Powell,4.4,44.9
Norvel Pelle,-,-
OG Anunoby,5.1,42.1
Obi Toppin,1.4,29.8
Onyeka Okongwu,0.0,0.0
Otto Porter Jr.,3.5,43.2
P.J. Tucker,2.5,29.1
P.J. Washington,3.0,40.5
PJ Dozier,2.0,39.0
Pascal Siakam,3.2,32.4
Pat Connaughton,3.5,42.6
Patrick Beverley,3.2,43.6
Patrick McCaw,-,-
Patrick Patterson,2.5,35.0
Patrick Williams,2.0,38.4
Patty Mills,4.1,43.9
Paul George,4.0,43.0
Paul Millsap,2.7,36.3
Paul Reed,0.4,0.0
Paul Watson,1.5,45.9
Payton Pritchard,2.3,45.3
Precious Achiuwa,-,-
Quinn Cook,0.5,27.3
Quinndary Weatherspoon,0.1,0.0
R.J. Hampton,0.6,33.3
RJ Barrett,3.1,35.0
Rajon Rondo,0.8,31.8
Raul Neto,1.9,38.9
Ray Spalding,0.5,0.0
Rayjon Tucker,-,-
Reggie Bullock,4.6,42.2
Reggie Jackson,2.3,46.3
Reggie Perry,1.1,25.0
Richaun Holmes,0.2,28.6
Ricky Rubio,2.0,30.2
Robert Covington,4.6,36.0
Robert Williams III,0.0,0.0
Robert Woodard II,0.3,0.0
Robin Lopez,0.4,33.3
Rodions Kurucs,1.0,12.5
Rodney Hood,1.3,24.0
Rodney McGruder,1.5,45.5
Royce O'Neale,3.8,42.6
Rudy Gay,3.4,41.4
Rudy Gobert,0.0,0.0
Rui Hachimura,2.7,34.4
Russell Westbrook,2.0,32.9
Ryan Arcidiacono,1.4,35.1
Saben Lee,0.3,66.7
Saddiq Bey,4.5,41.9
Sam Merrill,0.6,45.5
Sean McDermott,1.7,33.3
Sekou Doumbouya,1.7,24.2
Semi Ojeleye,2.8,39.8
Serge Ibaka,2.7,35.6
Seth Curry,3.2,51.4
Shai Gilgeous-Alexander,1.1,43.2
Shake Milton,2.3,34.5
Shaquille Harrison,0.1,0.0
Sindarius Thornwell,0.6,25.0
Skylar Mays,1.1,35.0
Solomon Hill,2.8,32.2
Spencer Dinwiddie,1.7,40.0
Stanley Johnson,1.5,35.6
Stephen Curry,5.0,41.8
Sterling Brown,3.4,38.4
Steven Adams,0.1,0.0
Svi Mykhailiuk,3.6,33.1
T.J. McConnell,0.4,28.6
T.J. Warren,1.8,0.0
Tacko Fall,-,-
Taj Gibson,0.6,27.3
Talen Horton-Tucker,1.2,27.7
Taurean Prince,2.4,36.2
Terance Mann,0.9,38.9
Terence Davis,2.6,40.2
Terrance Ferguson,0.4,0.0
Terrence Ross,3.8,38.4
Terry Rozier,5.2,47.0
Thaddeus Young,0.6,27.3
Thanasis Antetokounmpo,0.2,0.0
Theo Maledon,2.9,38.4
Theo Pinson,0.5,0.0
Thomas Bryant,2.1,42.9
Thon Maker,0.1,0.0
Tim Frazier,0.7,0.0
Tim Hardaway Jr.,5.5,41.9
Timothe Luwawu-Cabarrot,3.9,36.2
Tobias Harris,2.9,44.6
Tomas Satoransky,1.8,43.1
Tony Bradley,0.1,0.0
Tony Snell,2.5,57.7
Torrey Craig,1.0,42.9
Trae Young,1.4,35.0
Tre Jones,0.0,-
Tremont Waters,0.5,40.0
Trent Forrest,0.2,0.0
Trevor Ariza,2.7,25.0
Trey Burke,2.3,38.5
Trey Lyles,1.4,39.4
Tristan Thompson,0.0,0.0
Troy Brown Jr.,1.9,30.0
Ty Jerome,4.5,44.4
Ty-Shon Alexander,0.5,0.0
Tyler Bey,0.1,0.0
Tyler Cook,-,-
Tyler Herro,2.6,33.7
Tyler Johnson,2.7,37.7
Tyrell Terry,0.3,0.0
Tyrese Haliburton,2.9,42.7
Tyrese Maxey,0.9,28.6
Tyus Jones,1.8,30.1
Udoka Azubuike,-,-
Vernon Carey Jr.,0.1,0.0
Victor Oladipo,3.6,39.4
Vincent Poirier,0.1,0.0
Vlatko Cancar,0.7,23.5
Wayne Ellington,4.0,41.6
Wendell Carter Jr.,0.7,36.4
Wenyen Gabriel,0.2,0.0
Wes Iwundu,0.9,14.3
Wesley Matthews,2.8,34.3
Will Barton,2.9,39.2
Will Magnay,1.0,0.0
Willie Cauley-Stein,0.2,12.5
Willy Hernangomez,0.2,20.0
Xavier Tillman,1.1,29.4
Yogi Ferrell,2.0,50.0
Yuta Watanabe,1.2,36.4
Zach LaVine,2.7,49.1
Zeke Nnaji,1.5,37.2
Zion Williamson,0.4,40.0
