Player,CS_3PA,CS_3P%
Aaron Brooks,0.4,57.1
Aaron Gordon,3.9,39.2
Aaron Harrison,4.1,21.6
Aaron Jackson,2.0,0.0
Abdel Nader,1.3,34.9
Adreian Payne,0.6,66.7
Al Horford,2.7,42.1
Al Jefferson,0.1,0.0
Al-Farouq Aminu,4.5,37.2
Alan Williams,-,-
Alec Burks,1.1,31.5
Alec Peters,2.7,31.5
Alex Abrines,2.7,40.8
Alex Caruso,0.6,31.8
Alex Len,0.0,33.3
Alex Poythress,0.4,36.4
Alfonzo McKinnie,0.6,25.0
Allen Crabbe,5.8,40.7
Amir Johnson,0.4,32.1
Andre Drummond,0.1,0.0
Andre Iguodala,1.3,25.6
Andre Ingram,4.0,62.5
Andre Roberson,0.9,23.5
Andrew Bogut,-,-
Andrew Harrison,1.6,33.0
Andrew White III,2.8,35.7
Andrew Wiggins,3.1,34.9
Ante Zizic,-,-
Anthony Brown,1.0,100
Anthony Davis,1.9,33.1
Anthony Tolliver,4.4,44.9
Antonio Blakeney,1.5,32.1
Antonius Cleveland,0.2,66.7
Aron Baynes,0.3,14.3
Arron Afflalo,1.1,43.1
Austin Rivers,2.4,36.3
Avery Bradley,3.7,39.6
Bam Adebayo,0.1,0.0
Ben McLemore,2.2,38.8
Ben Moore,-,-
Ben Simmons,0.1,0.0
Bismack Biyombo,-,-
Blake Griffin,3.1,35.6
Boban Marjanovic,-,-
Bobby Brown,0.6,25.0
Bobby Portis,2.8,35.7
Bogdan Bogdanovic,2.8,39.4
Bojan Bogdanovic,4.1,40.0
Bradley Beal,3.9,43.0
Brandan Wright,-,-
Brandon Ingram,1.5,41.1
Brandon Jennings,1.4,20.0
Brandon Paul,0.7,31.9
Briante Weber,0.2,33.3
Brice Johnson,0.1,0.0
Brook Lopez,4.1,34.3
Bruno Caboclo,1.4,17.6
Bryn Forbes,2.4,39.4
Buddy Hield,2.9,50.2
C.J. Williams,1.4,25.9
CJ McCollum,2.8,43.5
CJ Miles,5.6,35.5
Caleb Swanigan,0.3,14.3
Cameron Payne,1.4,44.4
Caris LeVert,2.1,36.9
Carmelo Anthony,4.8,37.3
Cedi Osman,1.3,37.2
Chandler Parsons,2.3,43.4
Channing Frye,2.0,35.2
Charles Cooke,0.5,16.7
Cheick Diallo,-,-
Chinanu Onuaku,-,-
Chris Boucher,1.0,0.0
Chris McCullough,0.4,14.3
Chris Paul,1.0,41.1
Clint Capela,-,-
Cody Zeller,0.1,66.7
Cole Aldrich,-,-
Corey Brewer,1.4,31.0
Cory Joseph,1.9,38.6
Courtney Lee,2.6,42.0
Cristiano Felicio,0.0,0.0
D'Angelo Russell,3.1,36.4
D.J. Augustin,2.0,43.7
D.J. Wilson,0.2,40.0
Dakari Johnson,-,-
Damian Jones,-,-
Damian Lillard,2.7,35.6
Damien Wilkins,0.8,18.8
Damion Lee,3.1,28.3
Damyean Dotson,1.1,36.0
Daniel Hamilton,0.5,33.3
Daniel Theis,0.9,29.8
Danilo Gallinari,4.1,31.0
Danny Green,3.8,37.2
Dante Cunningham,2.3,34.7
Dante Exum,1.1,26.7
Danuel House Jr.,1.8,26.8
Dario Saric,4.8,41.0
Darius Miller,3.8,40.0
Darrell Arthur,1.2,36.4
Darren Collison,1.9,47.7
Darrun Hilliard,0.3,0.0
David Nwaba,0.7,37.0
David Stockton,0.3,0.0
David West,0.1,33.3
Davis Bertans,3.0,40.8
Davon Reed,1.5,35.5
De'Aaron Fox,1.1,30.9
DeAndre Jordan,-,-
DeAndre Liggins,0.8,35.6
DeAndre' Bembry,1.0,40.7
DeMar DeRozan,2.1,34.8
DeMarcus Cousins,5.3,36.4
DeMarre Carroll,4.4,38.8
Dejounte Murray,0.4,27.3
Delon Wright,1.5,41.2
Demetrius Jackson,0.3,0.0
Dennis Schroder,1.9,28.0
Dennis Smith Jr.,2.1,37.2
Denzel Valentine,3.0,39.0
Derrick Favors,0.8,21.7
Derrick Jones Jr.,0.9,16.7
Derrick Rose,0.9,17.4
Derrick Walton Jr.,0.7,45.5
Derrick White,0.4,57.1
Derrick Williams,0.5,0.0
Devin Booker,3.3,40.4
Devin Harris,2.0,37.9
Devin Robinson,-,-
Dewayne Dedmon,2.2,36.5
Deyonta Davis,-,-
Dillon Brooks,2.4,40.1
Dion Waiters,3.7,33.6
Dirk Nowitzki,4.1,42.1
Domantas Sabonis,0.5,35.3
Donovan Mitchell,3.0,40.6
Dorian Finney-Smith,2.7,33.3
Doug McDermott,2.3,45.8
Dragan Bender,3.9,36.7
Draymond Green,3.2,30.8
Dwayne Bacon,0.7,28.6
Dwight Buycks,0.5,28.6
Dwight Howard,0.1,16.7
Dwight Powell,1.0,35.1
Dwyane Wade,0.6,27.9
E'Twaun Moore,3.2,43.7
Ed Davis,0.0,-
Edmond Sumner,-,-
Ekpe Udoh,0.0,0.0
Elfrid Payton,1.1,34.7
Emeka Okafor,-,-
Emmanuel Mudiay,1.4,33.0
Enes Kanter,0.0,0.0
Eric Bledsoe,2.9,39.0
Eric Gordon,5.8,38.5
Eric Moreland,-,-
Erik McCree,0.0,-
Ersan Ilyasova,3.0,38.9
Evan Fournier,4.3,40.3
Evan Turner,1.6,30.6
Frank Kaminsky,3.3,37.5
Frank Mason,0.5,33.3
Frank Ntilikina,1.2,36.1
Fred VanVleet,2.4,43.9
Furkan Korkmaz,1.1,33.3
Garrett Temple,2.5,43.6
Gary Harris,4.3,41.3
Gary Payton II,1.0,27.3
George Hill,2.2,41.6
Georges Niang,0.4,0.0
Georgios Papagiannis,-,-
Gerald Green,5.2,35.8
Gian Clavell,1.7,50.0
Giannis Antetokounmpo,1.1,34.9
Glenn Robinson III,1.4,42.4
Goran Dragic,2.6,41.1
Gordon Hayward,1.0,0.0
Gorgui Dieng,0.7,30.2
Greg Monroe,-,-
Guerschon Yabusele,1.1,33.3
Harrison Barnes,3.3,35.1
Hassan Whiteside,0.0,100
Henry Ellenson,1.5,33.9
Ian Clark,1.9,32.6
Ian Mahinmi,0.0,0.0
Ike Anigbogu,-,-
Iman Shumpert,1.2,17.6
Isaiah Canaan,1.4,39.3
Isaiah Hicks,0.4,25.0
Isaiah Taylor,0.9,24.6
Isaiah Thomas,2.4,29.5
Isaiah Whitehead,0.6,22.2
Ish Smith,0.6,33.3
Ivan Rabb,-,-
Ivica Zubac,0.0,0.0
J.J. Barea,1.7,51.3
JJ Redick,4.2,45.5
JR Smith,3.7,39.4
JaKarr Sampson,0.5,50.0
JaMychal Green,2.1,34.2
JaVale McGee,0.1,0.0
Jabari Bird,0.5,42.9
Jabari Parker,2.0,42.6
Jack Cooley,-,-
Jacob Pullen,0.3,0.0
Jacob Wiley,0.4,50.0
Jae Crowder,3.4,34.3
Jahlil Okafor,0.1,0.0
