Player,CS_3PA,CS_3P%
Aaron Gordon,2.6,32.5
Aaron Holiday,2.0,42.2
Abdel Nader,2.2,38.3
Adam Mokoka,1.4,40.0
Admiral Schofield,1.7,33.9
Al Horford,4.0,35.1
Al-Farouq Aminu,1.8,24.2
Alec Burks,2.0,37.7
Alen Smailagic,0.9,25.0
Alex Caruso,1.4,34.1
Alex Len,1.0,28.1
Alfonzo McKinnie,1.5,22.4
Alize Johnson,0.5,37.5
Allen Crabbe,2.9,34.0
Allonzo Trier,1.1,40.7
Amile Jefferson,-,-
Amir Coffey,0.8,35.7
Andre Drummond,0.5,13.3
Andre Iguodala,1.9,32.5
Andre Roberson,1.6,27.3
Andrew Wiggins,3.6,35.2
Anfernee Simons,2.0,33.6
Ante Zizic,-,-
Anthony Davis,3.1,34.4
Anthony Tolliver,2.5,33.1
Antonius Cleveland,0.3,0.0
Anzejs Pasecniks,0.1,0.0
Aron Baynes,3.9,35.0
Austin Rivers,2.4,36.4
Avery Bradley,3.1,36.4
BJ Johnson,0.8,25.0
Bam Adebayo,0.1,11.1
Ben McLemore,5.5,40.2
Ben Simmons,0.1,50.0
Bismack Biyombo,-,-
Blake Griffin,2.1,23.7
Boban Marjanovic,0.3,26.7
Bobby Portis,2.7,35.6
Bogdan Bogdanovic,5.0,40.7
Bojan Bogdanovic,5.0,42.6
Bol Bol,1.1,50.0
Brad Wanamaker,0.8,48.3
Bradley Beal,4.4,38.2
Brandon Clarke,1.1,36.5
Brandon Goodwin,1.7,21.1
Brandon Ingram,4.8,42.0
Brandon Knight,2.4,31.1
Brian Bowen II,0.3,0.0
Brook Lopez,4.5,31.5
Bruce Brown,1.5,35.6
Bruno Caboclo,1.0,17.2
Bruno Fernando,0.6,16.1
Bryn Forbes,4.5,39.5
Buddy Hield,5.0,41.3
CJ McCollum,3.4,46.0
CJ Miles,2.9,31.0
Caleb Martin,1.7,63.3
Caleb Swanigan,0.1,0.0
Cam Reddish,3.4,34.4
Cameron Johnson,4.5,39.3
Cameron Payne,3.0,45.8
Caris LeVert,1.7,31.6
Carmelo Anthony,3.3,40.2
Carsen Edwards,1.1,29.3
Cedi Osman,3.8,38.8
Chandler Hutchison,1.3,32.4
Chandler Parsons,2.6,30.8
Charlie Brown Jr.,0.8,37.5
Chasson Randle,0.7,0.0
Cheick Diallo,0.0,50.0
Chimezie Metu,0.1,0.0
Chris Boucher,1.8,33.0
Chris Chiozza,1.5,53.7
Chris Clemons,1.4,31.9
Chris Paul,0.7,42.3
Chris Silva,0.0,0.0
Christian Wood,1.8,40.4
Clint Capela,-,-
Coby White,3.7,37.0
