Player,CS_3PA,CS_3P%
Kevon Looney,0.2,22.2
Khris Middleton,3.0,47.1
Klay Thompson,7.2,43.9
Kosta Koufos,0.0,-
Kris Dunn,0.7,24.1
Kris Humphries,0.9,36.5
Kristaps Porzingis,4.5,36.4
Kyle Anderson,0.5,35.9
Kyle Korver,4.4,46.4
Kyle Lowry,3.2,40.9
Kyle O'Quinn,0.1,18.2
Kyle Singler,1.1,17.1
Kyle Wiltjer,0.8,27.3
Kyrie Irving,2.4,46.8
LaMarcus Aldridge,0.7,40.0
Lamar Patterson,0.6,33.3
Lance Stephenson,0.8,35.7
Lance Thomas,1.8,45.1
Langston Galloway,3.5,42.3
Larry Nance Jr.,0.5,29.4
Larry Sanders,-,-
Lavoy Allen,0.0,0.0
LeBron James,1.6,39.3
Leandro Barbosa,1.2,34.2
Lou Williams,2.5,38.0
Luc Mbah a Moute,1.3,38.8
Lucas Nogueira,0.2,30.0
Luis Scola,1.2,31.8
Luke Babbitt,2.9,41.3
Luol Deng,2.3,32.8
Malachi Richardson,0.6,35.7
Malcolm Brogdon,2.0,44.6
Malcolm Delaney,1.1,24.7
Malik Beasley,1.1,32.0
Manny Harris,0.5,0.0
Manu Ginobili,2.4,39.2
Marc Gasol,3.4,39.4
Marcelo Huertas,0.3,25.0
Marcin Gortat,0.0,0.0
Marco Belinelli,2.5,39.6
Marcus Georges-Hunt,0.2,100
Marcus Morris Sr.,3.5,36.0
Marcus Smart,3.2,31.8
Marcus Thornton,1.6,32.7
Mario Hezonja,1.8,30.8
Markieff Morris,2.4,36.1
Marquese Chriss,2.6,31.6
Marreese Speights,3.3,37.5
Marshall Plumlee,-,-
Marvin Williams,4.5,35.2
Mason Plumlee,0.0,0.0
Matt Barnes,3.0,33.8
Matthew Dellavedova,2.3,37.0
Maurice Harkless,2.4,37.2
Maurice Ndour,0.2,14.3
Metta World Peace,1.3,25.0
Meyers Leonard,2.6,36.5
Michael Beasley,0.7,45.0
Michael Carter-Williams,1.2,25.5
Michael Gbinije,0.3,0.0
Michael Kidd-Gilchrist,0.1,12.5
Mike Conley,2.3,45.6
Mike Dunleavy,2.2,39.8
Mike Miller,0.9,41.2
Mike Muscala,1.5,42.6
Mike Scott,1.4,12.0
Mike Tobey,-,-
Miles Plumlee,-,-
Mindaugas Kuzminskas,2.2,32.2
Mirza Teletovic,4.0,35.0
Monta Ellis,1.5,31.9
Montrezl Harrell,0.1,0.0
Myles Turner,1.4,32.4
Nemanja Bjelica,2.5,33.1
Nene,0.1,28.6
Nerlens Noel,0.0,-
Nick Collison,0.1,0.0
Nick Young,4.8,44.1
Nicolas Batum,3.9,33.9
Nicolas Brussino,1.6,32.9
Nicolas Laprovittola,1.0,50.0
Nik Stauskas,2.9,42.2
Nikola Jokic,1.5,34.9
Nikola Mirotic,4.7,33.8
Nikola Vucevic,1.0,31.5
Noah Vonleh,0.2,37.5
Norman Powell,1.9,34.5
Norris Cole,0.6,37.5
Okaro White,0.9,37.5
Omer Asik,-,-
Omri Casspi,1.0,40.0
Otto Porter Jr.,4.0,44.6
P.J. Tucker,2.2,37.4
Pascal Siakam,0.1,14.3
Pat Connaughton,0.8,53.3
Patricio Garino,1.0,0.0
Patrick Beverley,3.1,39.3
Patrick McCaw,1.5,33.3
Patrick Patterson,3.8,36.8
Patty Mills,3.0,42.0
Pau Gasol,1.6,55.0
Paul George,4.8,41.5
Paul Millsap,3.1,31.3
Paul Pierce,1.6,37.5
Paul Zipser,2.0,36.7
Pierre Jackson,0.9,25.0
Quincy Acy,2.3,41.9
Quinn Cook,1.2,29.4
RJ Hunter,0.3,0.0
Rajon Rondo,1.5,40.6
Rakeem Christmas,-,-
Ramon Sessions,0.9,33.3
Randy Foye,1.9,35.1
Rashad Vaughn,1.7,29.4
Raul Neto,0.6,32.0
Raymond Felton,1.1,35.6
Reggie Bullock,2.3,38.9
Reggie Jackson,1.5,35.4
Reggie Williams,1.7,40.0
Richard Jefferson,2.1,35.1
Richaun Holmes,1.3,36.0
Ricky Rubio,2.2,32.1
Robert Covington,5.6,32.4
Robin Lopez,0.0,0.0
Rodney Hood,3.4,40.1
Rodney McGruder,2.6,34.5
Rodney Stuckey,1.1,29.5
Ron Baker,1.3,26.9
Rondae Hollis-Jefferson,0.8,20.0
Ronnie Price,0.9,16.7
Roy Hibbert,-,-
Rudy Gay,2.9,37.5
Rudy Gobert,0.0,0.0
Russell Westbrook,1.9,34.8
Ryan Anderson,6.5,41.3
Ryan Kelly,0.6,40.0
Salah Mejri,0.0,33.3
Sam Dekker,2.2,31.9
Sasha Vujacic,1.3,25.0
Sean Kilpatrick,3.1,33.3
Semaj Christon,0.8,20.8
Serge Ibaka,3.9,39.0
Sergio Rodriguez,1.4,38.5
Seth Curry,3.0,40.6
Shabazz Muhammad,1.8,32.8
Shabazz Napier,0.9,41.3
Shaun Livingston,0.0,33.3
Shawn Long,0.8,46.7
Sheldon Mac,0.9,18.5
Shelvin Mack,1.2,32.3
Skal Labissiere,0.2,42.9
Solomon Hill,3.1,36.7
Spencer Dinwiddie,0.7,45.2
Spencer Hawes,1.4,32.1
Stanley Johnson,1.7,29.5
Stephen Curry,4.6,45.9
Stephen Zimmerman,-,-
Steve Novak,0.8,16.7
Steven Adams,0.0,0.0
T.J. McConnell,0.5,23.1
T.J. Warren,1.2,28.0
Taj Gibson,0.2,23.1
Tarik Black,0.0,0.0
Taurean Prince,1.4,34.1
Terrence Jones,1.1,29.3
Terrence Ross,3.9,37.4
Terry Rozier,1.7,34.7
Thabo Sefolosha,1.8,35.5
Thaddeus Young,1.5,38.4
Thomas Robinson,0.0,0.0
Thon Maker,1.2,38.0
Tiago Splitter,0.8,33.3
Tim Frazier,1.0,31.7
Tim Hardaway Jr.,3.9,36.1
Tim Quarterman,0.6,44.4
Timofey Mozgov,0.0,0.0
Timothe Luwawu-Cabarrot,2.1,32.4
Tobias Harris,3.6,35.8
Tomas Satoransky,0.5,28.6
Toney Douglas,0.6,14.3
Tony Allen,0.7,28.8
Tony Parker,1.0,32.8
Tony Snell,4.3,41.8
Treveon Graham,0.6,60.0
Trevor Ariza,5.8,35.7
Trevor Booker,0.7,34.7
Trey Burke,0.9,43.1
Trey Lyles,2.6,32.4
Tristan Thompson,0.0,0.0
Troy Daniels,4.0,37.6
Troy Williams,1.8,29.6
Ty Lawson,1.1,30.7
Tyler Ennis,0.5,34.6
Tyler Johnson,3.2,38.1
Tyler Ulis,0.5,34.4
Tyler Zeller,0.0,0.0
Tyreke Evans,1.2,36.2
Tyson Chandler,-,-
Tyus Jones,0.9,41.1
Udonis Haslem,0.2,0.0
Victor Oladipo,4.5,36.5
Vince Carter,3.3,40.2
Wade Baldwin IV,0.3,10.0
Wayne Ellington,5.0,37.9
Wayne Selden,1.6,31.8
Wesley Johnson,1.6,24.8
Wesley Matthews,4.7,38.3
Will Barton,2.5,34.7
Willie Cauley-Stein,0.0,0.0
Willie Reed,0.0,33.3
Willy Hernangomez,0.2,28.6
Wilson Chandler,3.7,33.5
Yogi Ferrell,1.9,37.5
Zach LaVine,3.9,42.2
Zach Randolph,1.1,22.0
Zaza Pachulia,0.0,0.0
