Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK,Close FGA,Close FG%,Mid FGA,Mid FG%,Post_Ups,Drives,CS_3PA,CS_3P%,PP100Pos,AST %,REB %,USG %,Height,Pos,TEAM,Class
Randy Foye: 2015,81.0,20.3,5.9,6.0,35.1,3.1,30.0,1.9,2.0,1.1,0.5,0.4,1.6,50.0,1.2,32.3,0.0,3.4,2.2,29.1,14.3,14.4,4.5,15.7,76.0,SG,OKC,0
Raymond Felton: 2015,80.0,27.4,9.5,8.5,40.6,2.7,28.2,3.2,3.6,1.5,0.9,0.2,3.8,52.6,2.1,36.5,0.0,7.1,1.7,31.4,17.3,20.5,5.8,17.9,73.0,PG,DAL,1
Reggie Jackson: 2015,79.0,30.7,18.8,15.7,43.4,4.2,35.3,3.2,6.2,2.8,0.7,0.1,8.4,48.8,3.2,39.9,0.1,15.4,1.6,36.2,30.4,34.4,5.1,28.3,75.0,PG,DET,6
Robert Covington: 2015,67.0,28.4,12.8,10.6,38.5,7.2,35.3,6.3,1.4,2.1,1.6,0.6,2.9,48.3,0.5,34.3,0.1,4.7,6.2,37.6,21.6,8.3,10.6,20.9,81.0,SF,PHI,4
Robin Lopez: 2015,82.0,27.1,10.3,8.1,53.9,0.0,0.0,7.3,1.4,1.6,0.2,1.6,6.9,58.0,1.1,34.8,7.5,0.4,0.0,0.0,19.4,8.3,13.3,17.4,84.0,C,NYK,3
Rodney Hood: 2015,79.0,32.2,14.5,12.3,42.0,5.7,35.9,3.4,2.7,1.6,0.9,0.2,4.4,47.7,2.2,44.9,0.4,7.4,3.7,38.3,23.8,14.2,5.6,21.5,80.0,SG,UTA,4
Rodney Stuckey: 2015,58.0,22.0,8.9,7.6,41.3,1.4,24.1,2.7,2.4,1.3,0.7,0.1,3.4,50.0,2.9,38.6,0.2,3.9,1.1,24.2,19.9,17.9,6.0,20.2,77.0,PG,IND,1
Rondae Hollis-Jefferson: 2015,29.0,21.2,5.8,4.8,45.7,0.5,28.6,5.3,1.5,0.9,1.3,0.6,2.8,46.4,1.4,45.2,0.8,2.9,0.4,25.0,13.3,10.0,12.0,13.1,79.0,SF,BKN,0
Roy Hibbert: 2015,81.0,23.2,5.9,5.1,44.3,0.0,0.0,4.9,1.2,0.9,0.4,1.4,3.1,48.4,2.0,39.6,3.3,0.1,0.0,0.0,12.7,8.2,10.0,13.0,86.0,C,LAL,3
Rudy Gay: 2015,70.0,34.0,17.2,14.4,46.3,3.1,34.4,6.5,1.7,2.0,1.4,0.7,7.8,52.6,3.5,43.4,3.3,5.4,2.5,33.1,24.1,7.8,9.4,22.2,80.0,SF,SAC,4
Rudy Gobert: 2015,61.0,31.7,9.1,5.8,55.9,0.0,0.0,11.0,1.5,1.9,0.7,2.2,5.7,56.1,0.1,22.2,0.7,0.6,0.0,0.0,15.1,7.3,18.0,14.3,85.0,C,UTA,3
Ryan Anderson: 2015,66.0,30.4,17.0,14.1,42.7,5.4,36.6,6.0,1.1,1.4,0.6,0.4,4.5,46.7,4.2,44.9,4.3,2.5,4.7,36.6,27.0,5.9,9.7,23.8,82.0,PF,NOP,4
Serge Ibaka: 2015,78.0,32.1,12.6,11.1,47.9,2.4,32.6,6.8,0.8,1.4,0.5,1.9,4.1,61.0,4.7,45.5,0.6,0.9,2.3,32.8,19.2,3.7,10.3,17.4,82.0,PF,OKC,5
Shabazz Muhammad: 2015,82.0,20.5,10.5,8.3,46.5,1.9,28.9,3.3,0.6,0.9,0.3,0.1,5.0,56.0,1.5,36.3,1.5,2.6,1.8,30.3,25.2,5.5,8.2,22.2,78.0,SF,MIN,0
Shane Larkin: 2015,78.0,22.4,7.3,6.4,44.2,1.4,36.1,2.3,4.4,1.9,1.2,0.2,3.2,53.1,1.9,34.7,0.0,7.6,0.7,35.7,16.0,30.0,5.2,17.2,71.0,PG,BKN,1
Shelvin Mack: 2015,52.0,20.3,8.6,8.0,43.9,2.4,31.2,2.5,3.6,1.8,0.7,0.1,4.3,53.5,1.5,37.3,0.0,9.7,1.2,33.3,21.7,29.2,6.3,22.9,75.0,PG,UTA,1
Stanley Johnson: 2015,73.0,23.1,8.1,8.2,37.5,2.8,30.7,4.2,1.6,1.6,0.8,0.2,3.7,45.9,1.7,31.0,0.7,4.2,2.1,34.6,17.2,11.3,8.6,19.1,79.0,SF,DET,0
TJ Warren: 2015,47.0,22.8,11.0,9.4,50.1,1.5,40.0,3.1,0.9,0.7,0.8,0.3,4.7,57.4,3.2,45.3,0.3,2.7,1.3,41.0,23.0,6.8,6.8,19.5,80.0,SF,PHX,0
Terrence Jones: 2015,50.0,20.9,8.7,7.3,45.2,1.6,31.6,4.2,0.8,1.0,0.5,0.8,5.2,50.0,0.6,34.5,1.2,2.4,1.3,31.7,20.1,6.9,10.0,19.0,81.0,PF,HOU,5
Terrence Ross: 2015,73.0,23.9,9.9,8.6,43.1,4.6,38.6,2.5,0.8,0.6,0.7,0.3,1.6,62.5,2.3,39.4,0.0,2.0,3.9,41.1,20.9,5.3,5.2,17.8,79.0,SF,TOR,0
Thabo Sefolosha: 2015,75.0,23.4,6.4,4.9,50.7,1.6,34.1,4.5,1.4,0.9,1.1,0.5,2.4,66.7,0.8,47.5,0.2,1.9,1.5,35.1,13.4,9.3,9.2,12.1,79.0,SF,ATL,0
Thaddeus Young: 2015,73.0,33.0,15.1,13.2,51.4,0.4,23.3,9.0,1.9,1.9,1.5,0.5,10.0,57.0,2.8,37.1,4.0,3.3,0.3,20.8,22.8,9.4,14.2,21.7,80.0,PF,BKN,5
Toney Douglas: 2015,61.0,20.7,8.7,7.3,41.1,3.3,39.9,2.3,2.6,1.0,1.1,0.1,2.4,45.8,1.6,35.1,0.1,4.6,1.4,46.6,20.3,18.8,5.6,18.9,74.0,PG,NOP,1
Tony Allen: 2015,64.0,25.3,8.4,7.3,45.8,0.7,35.7,4.6,1.1,1.2,1.7,0.3,5.6,48.2,1.1,37.1,0.4,3.0,0.7,35.7,17.0,6.8,9.4,16.7,76.0,SG,MEM,0
Tony Snell: 2015,64.0,20.3,5.3,5.3,37.2,2.4,36.1,3.1,1.0,0.8,0.3,0.3,2.0,40.0,1.0,36.1,0.1,2.5,2.2,35.0,12.7,7.0,6.8,13.4,79.0,SF,CHI,0
Trevor Ariza: 2015,81.0,35.3,12.7,10.6,41.6,6.2,37.1,4.5,2.3,1.4,2.0,0.3,3.3,57.6,1.1,28.6,0.2,5.0,5.2,38.5,17.5,10.0,6.4,15.6,80.0,SF,HOU,4
Trevor Booker: 2015,79.0,20.7,5.9,4.9,49.0,0.5,29.3,5.7,1.1,1.0,0.7,0.5,3.9,53.8,0.5,22.0,0.8,1.0,0.5,30.0,14.6,8.3,14.0,14.1,80.0,PF,UTA,5
Trey Burke: 2015,64.0,21.3,10.6,9.9,41.3,4.0,34.4,1.8,2.3,1.3,0.5,0.1,3.1,48.4,2.8,46.1,0.0,6.4,3.0,40.0,25.5,20.1,4.1,24.2,73.0,PG,UTA,1
Ty Lawson: 2015,66.0,21.4,5.7,5.4,39.3,1.6,33.3,1.8,3.6,1.4,0.8,0.1,2.0,50.0,1.7,30.7,0.0,7.6,1.1,37.0,12.5,25.1,4.0,14.5,71.0,PG,IND,1
Tyler Johnson: 2015,36.0,24.0,8.7,6.8,48.6,2.0,38.0,3.0,2.2,1.3,0.7,0.4,3.2,56.3,1.7,47.5,0.1,5.1,1.9,38.2,18.6,15.1,6.4,16.7,76.0,SG,MIA,0
Tyreke Evans: 2015,25.0,30.6,15.2,12.6,43.3,3.4,38.8,5.2,6.6,2.9,1.3,0.3,7.5,46.7,1.7,38.1,1.2,12.9,1.6,41.0,25.2,36.6,8.4,25.4,78.0,SG,NOP,6
Wayne Ellington: 2015,76.0,21.2,7.7,7.4,38.9,3.5,35.8,2.3,1.1,0.6,0.6,0.1,1.3,53.8,2.5,35.4,0.0,1.6,2.7,39.1,17.9,8.2,5.3,17.2,76.0,SG,BKN,0
Willie Cauley-Stein: 2015,66.0,21.4,7.0,5.1,56.3,0.0,0.0,5.3,0.6,0.7,0.7,1.0,4.5,60.0,0.6,31.6,0.7,0.4,0.0,0.0,15.6,3.8,12.2,13.1,84.0,C,SAC,3
