Player,Close FGA,Close FG%,Mid FGA,Mid FG%
Dewayne Dedmon,3.9,66.7,1.5,46.2
Deyonta Davis,3.2,68.8,1.1,43.5
Dillon Brooks,4.4,54.5,1.9,32.2
Dion Waiters,5.3,52.8,2.7,34.6
Dirk Nowitzki,1.2,58.3,4.3,46.5
Domantas Sabonis,6.6,57.6,1.8,36.8
Donovan Mitchell,8.1,53.1,2.2,40.3
Dorian Finney-Smith,2.0,50.0,0.6,30.8
Doug McDermott,2.5,60.0,1.1,30.7
Dragan Bender,1.7,47.1,0.3,8.7
Draymond Green,4.5,60.0,0.7,31.4
Dwayne Bacon,1.2,50.0,1.6,33.7
Dwight Buycks,3.1,48.4,2.2,39.7
Dwight Howard,9.6,60.4,1.6,33.3
Dwight Powell,3.9,69.2,0.5,37.5
Dwyane Wade,5.4,55.6,3.2,33.5
E'Twaun Moore,5.1,58.8,1.3,46.3
Ed Davis,3.6,58.3,0.1,37.5
Edmond Sumner,1.0,100.0,0.0,0.0
Ekpe Udoh,1.8,55.6,0.1,16.7
Elfrid Payton,7.8,55.1,1.3,37.5
Emeka Okafor,2.8,53.6,0.8,42.9
Emmanuel Mudiay,4.1,43.9,1.8,35.7
Enes Kanter,9.0,61.1,1.0,40.6
Eric Bledsoe,6.1,59.0,2.4,42.5
Eric Gordon,4.7,57.4,0.5,32.4
Eric Moreland,1.7,58.8,0.1,33.3
Erik McCree,0.5,0.0,0.0,0.0
Ersan Ilyasova,3.7,56.8,1.5,41.5
Evan Fournier,6.0,53.3,2.2,46.8
Evan Turner,2.8,53.6,2.8,44.2
Frank Kaminsky,4.1,51.2,1.4,33.6
Frank Mason,3.9,38.5,1.8,36.3
Frank Ntilikina,2.1,42.9,2.3,33.5
Fred VanVleet,3.4,47.1,0.3,19.2
Furkan Korkmaz,0.4,50.0,0.4,0.0
Garrett Temple,1.8,50.0,2.0,39.1
Gary Harris,5.5,61.8,2.2,39.9
Gary Payton II,1.9,52.6,0.3,28.6
George Hill,2.8,57.1,1.8,36.4
Georges Niang,1.0,50.0,0.0,0.0
Georgios Papagiannis,1.7,41.2,0.7,41.7
Gerald Green,1.9,52.6,1.0,46.2
Gian Clavell,0.1,0.0,0.3,0.0
Giannis Antetokounmpo,12.4,63.7,4.5,33.7
Glenn Robinson III,1.5,46.7,0.7,35.3
Goran Dragic,7.2,52.8,3.1,36.9
