Player,Close FGA,Close FG%,Mid FGA,Mid FG%
AJ Hammons,0.7,28.6,0.9,38.9
Aaron Brooks,1.7,47.1,1.0,43.8
Aaron Gordon,5.1,60.8,2.4,36.1
Aaron Harrison,0.0,,0.4,0.0
Adreian Payne,1.5,46.7,0.8,57.1
Al Horford,5.1,56.9,3.1,43.8
Al Jefferson,4.9,57.1,2.2,33.3
Al-Farouq Aminu,3.6,44.4,0.6,31.6
Alan Anderson,0.8,50.0,0.5,21.4
Alan Williams,5.6,53.6,0.4,41.2
Alec Burks,2.7,40.7,1.4,43.9
Alex Abrines,0.9,44.4,0.5,33.3
Alex Len,4.7,55.3,1.2,29.8
Alex Poythress,5.2,55.8,0.7,50.0
Alexis Ajinca,2.8,57.1,1.6,38.7
Allen Crabbe,2.2,54.5,2.2,42.3
Alonzo Gee,0.8,37.5,0.2,0.0
Amir Johnson,3.7,62.2,0.2,30.8
Anderson Varejao,0.9,22.2,0.1,50.0
Andre Drummond,9.8,56.1,1.3,37.7
Andre Iguodala,2.3,69.6,0.8,50.8
Andre Roberson,3.4,64.7,0.1,28.6
Andrew Bogut,2.9,48.3,0.1,66.7
Andrew Harrison,2.0,40.0,0.9,25.8
Andrew Nicholson,1.4,50.0,0.7,32.1
Andrew Wiggins,8.4,56.0,7.2,37.9
Anthony Bennett,1.8,61.1,0.1,0.0
Anthony Brown,1.1,54.5,1.0,45.5
Anthony Davis,10.9,59.6,7.6,42.8
Anthony Morrow,1.4,57.1,1.1,41.5
Anthony Tolliver,1.3,61.5,0.5,29.4
Archie Goodwin,3.1,61.3,0.3,60.0
Arinze Onuaku,0.4,75.0,0.2,0.0
Aron Baynes,3.0,53.3,0.7,45.5
Arron Afflalo,2.0,50.0,2.4,40.8
Austin Rivers,5.0,52.0,0.8,32.8
Avery Bradley,5.1,56.9,4.0,41.7
Axel Toupane,0.3,100.0,1.0,75.0
Ben Bentil,0.3,0.0,0.3,0.0
Ben McLemore,2.4,54.2,1.8,38.7
Beno Udrih,2.2,54.5,2.3,44.3
Bismack Biyombo,3.7,56.8,0.4,27.8
Blake Griffin,8.7,57.5,5.3,42.5
Boban Marjanovic,3.4,58.8,0.6,36.8
Bobby Brown,0.7,28.6,0.6,41.7
Bobby Portis,2.5,64.0,1.8,44.1
Bojan Bogdanovic,4.3,55.8,1.4,36.4
Boris Diaw,2.5,60.0,0.9,31.7
Bradley Beal,6.4,56.3,3.7,47.9
Brandan Wright,4.7,61.7,0.2,40.0
Brandon Bass,2.5,64.0,1.1,47.3
Brandon Ingram,4.0,50.0,2.3,37.2
Brandon Jennings,2.3,39.1,1.2,36.6
Brandon Knight,4.3,44.2,2.9,36.3
Brandon Rush,0.9,33.3,0.7,32.3
Brian Roberts,0.9,33.3,1.0,41.5
Briante Weber,1.9,57.9,0.7,14.3
Brice Johnson,2.0,35.0,0.3,0.0
Brook Lopez,8.7,56.3,1.8,40.7
Bruno Caboclo,0.9,33.3,0.4,66.7
Bryn Forbes,0.4,25.0,1.1,47.1
Buddy Hield,3.1,51.6,1.7,36.0
C.J. Watson,1.1,45.5,1.2,41.6
C.J. Wilcox,0.3,33.3,0.6,36.4
CJ McCollum,6.5,53.8,6.0,47.7
CJ Miles,1.9,57.9,1.3,35.7
Cameron Payne,1.7,41.2,1.8,31.5
Caris LeVert,2.8,60.7,0.7,48.7
Carmelo Anthony,4.1,48.8,9.0,45.4
Chandler Parsons,2.5,48.0,1.2,26.8
Channing Frye,1.4,57.1,1.1,53.8
Chasson Randle,1.9,47.4,0.2,0.0
Cheick Diallo,2.3,60.9,2.6,33.3
Chinanu Onuaku,1.5,66.7,0.0,0.0
Chris Andersen,1.3,53.8,0.3,25.0
Chris McCullough,1.1,63.6,0.5,62.5
Chris Paul,2.6,57.7,5.3,50.9
Christian Wood,1.3,69.2,0.1,0.0
Clint Capela,8.5,64.7,0.1,33.3
Cody Zeller,6.2,61.3,1.0,28.3
Cole Aldrich,1.4,50.0,0.0,0.0
Corey Brewer,2.6,53.8,0.3,42.9
Cory Joseph,4.2,52.4,2.4,41.8
Courtney Lee,2.8,50.0,2.9,46.6
Cristiano Felicio,2.9,62.1,0.5,31.3
D'Angelo Russell,4.4,47.7,3.3,38.9
D.J. Augustin,1.8,44.4,1.3,38.0
Dahntay Jones,4.0,50.0,2.0,50.0
Damian Jones,0.9,77.8,0.8,14.3
Damian Lillard,8.3,51.8,3.9,43.1
Damjan Rudez,0.1,100.0,0.5,42.1
Daniel Ochefu,1.5,46.7,0.2,33.3
Danilo Gallinari,3.5,60.0,3.3,38.0
Danny Green,1.3,46.2,0.8,29.4
Dante Cunningham,1.9,63.2,0.8,44.0
Dante Exum,2.9,55.2,0.3,38.9
Danuel House Jr.,,,-,-
Dario Saric,5.0,54.0,2.2,29.5
Darrell Arthur,1.0,50.0,1.4,38.2
Darren Collison,4.2,52.4,3.7,46.4
Darrun Hilliard,1.0,50.0,1.2,42.9
David Lee,4.4,63.6,0.9,42.0
David Nwaba,3.7,62.2,0.2,25.0
David West,1.9,57.9,1.7,48.7
Davis Bertans,0.7,57.1,0.3,43.8
DeAndre Jordan,7.1,71.8,0.0,0.0
DeAndre Liggins,1.4,42.9,0.3,15.8
DeAndre' Bembry,2.1,61.9,0.3,50.0
DeMar DeRozan,9.1,56.0,10.1,41.2
DeMarcus Cousins,11.3,52.2,3.6,35.7
DeMarre Carroll,2.5,52.0,0.8,37.5
Dejounte Murray,2.4,50.0,0.4,14.3
Delon Wright,2.7,51.9,0.4,8.3
