Player,Close FGA,Close FG%,Mid FGA,Mid FG%
Aaron Gordon,6.7,55.2,2.3,33.0
Aaron Holiday,1.8,50.0,1.0,40.4
Abdel Nader,1.8,50.0,0.1,25.0
Al Horford,5.1,64.7,2.5,54.7
Al-Farouq Aminu,3.4,55.9,0.4,20.0
Alan Williams,2.2,63.6,0.3,100
Alec Burks,3.7,45.9,1.1,30.6
Alex Abrines,0.7,42.9,0.3,50.0
Alex Caruso,4.5,44.4,0.7,33.3
Alex Len,5.4,57.4,0.4,29.0
Alex Poythress,2.6,53.8,0.1,0.0
Alfonzo McKinnie,2.0,60.0,0.3,31.6
Alize Johnson,0.7,42.9,0.4,0.0
Allen Crabbe,1.4,50.0,1.2,24.5
Allonzo Trier,4.1,48.8,2.0,37.6
Amile Jefferson,1.4,64.3,0.0,0.0
Amir Johnson,2.2,59.1,0.1,50.0
Andre Drummond,12.3,56.1,0.5,24.3
Andre Iguodala,1.9,73.7,0.5,24.2
Andre Ingram,0.3,0.0,0.5,0.0
Andrew Bogut,3.1,51.6,0.2,50.0
Andrew Harrison,1.1,54.5,0.5,11.1
Andrew Wiggins,7.4,50.0,4.4,34.7
Anfernee Simons,1.2,58.3,0.8,50.0
Angel Delgado,2.5,20.0,0.0,0.0
Ante Zizic,5.1,56.9,0.6,41.2
Anthony Davis,11.6,61.2,4.2,35.5
Anthony Tolliver,0.5,40.0,0.1,44.4
Antonio Blakeney,3.3,48.5,2.3,33.3
Aron Baynes,2.8,53.6,0.4,42.1
Austin Rivers,3.1,54.8,0.1,36.4
Avery Bradley,2.7,44.4,3.0,45.3
BJ Johnson,1.0,50.0,0.7,60.0
Bam Adebayo,5.2,61.5,0.5,35.6
Ben McLemore,0.6,33.3,0.6,33.3
Ben Simmons,11.2,59.8,0.8,20.9
Billy Garrett,3.0,70.0,1.8,42.9
Bismack Biyombo,2.6,57.7,0.3,35.3
Blake Griffin,9.5,56.8,1.4,26.4
Boban Marjanovic,4.0,62.5,0.4,48.0
Bobby Portis,6.7,50.7,2.1,35.9
Bogdan Bogdanovic,4.9,49.0,2.1,41.1
Bojan Bogdanovic,6.3,57.1,2.0,42.5
Bonzie Colson,2.2,45.5,0.4,33.3
Brad Wanamaker,1.2,58.3,0.6,40.9
Bradley Beal,8.1,61.7,4.2,42.6
Brandon Goodwin,1.0,30.0,0.3,0.0
Brandon Ingram,8.7,58.6,3.6,37.8
Brandon Knight,2.3,34.8,1.1,60.5
Brandon Sampson,2.3,56.5,0.2,0.0
Brook Lopez,3.0,63.3,0.4,45.5
Bruce Brown,2.9,44.8,0.1,28.6
Bruno Caboclo,2.6,50.0,0.1,75.0
Bryn Forbes,2.4,54.2,2.2,47.2
Buddy Hield,5.2,51.9,3.5,43.6
C.J. Williams,1.0,60.0,0.4,83.3
CJ McCollum,6.9,50.7,4.6,50.2
CJ Miles,1.4,42.9,0.7,41.2
Caleb Swanigan,1.9,42.1,0.4,12.5
Cameron Payne,2.6,57.7,1.0,39.5
Cameron Reynolds,0.9,44.4,0.5,40.0
Caris LeVert,7.6,51.3,0.6,16.7
Carmelo Anthony,2.7,59.3,3.0,40.0
Cedi Osman,4.8,52.1,1.4,37.7
Chandler Hutchison,3.2,53.1,0.4,42.1
Chandler Parsons,2.4,45.8,1.1,35.7
Channing Frye,0.5,40.0,0.6,23.8
Chasson Randle,1.8,50.0,0.3,20.0
Cheick Diallo,3.4,64.7,0.9,53.6
Chimezie Metu,1.5,46.7,0.8,10.5
Chris Boucher,1.4,57.1,0.0,0.0
Chris Chiozza,0.5,0.0,0.1,0.0
Chris Paul,3.8,50.0,2.5,47.6
Christian Wood,4.2,57.1,0.5,44.4
Clint Capela,10.8,65.7,0.1,0.0
Cody Zeller,6.4,57.8,0.2,30.0
Collin Sexton,6.6,47.0,4.5,39.2
Corey Brewer,2.4,54.2,0.2,16.7
Cory Joseph,2.4,50.0,2.3,38.9
Courtney Lee,1.0,50.0,1.2,46.2
Cristiano Felicio,2.7,59.3,0.2,36.4
D'Angelo Russell,7.2,50.0,3.8,43.4
D.J. Augustin,3.6,52.8,0.9,46.5
D.J. Wilson,2.1,52.4,0.6,33.3
DJ Stephens,2.0,50.0,0.0,0.0
Dairis Bertans,0.1,0.0,1.0,16.7
Damian Jones,2.9,72.4,0.2,50.0
Damian Lillard,7.6,51.3,3.6,46.1
Damion Lee,1.1,54.5,0.8,46.2
Damyean Dotson,2.5,44.0,2.5,44.8
Daniel Hamilton,1.9,42.1,0.2,33.3
Daniel Theis,2.5,68.0,0.6,29.7
Danilo Gallinari,4.8,54.2,2.8,38.6
Danny Green,1.7,47.1,0.7,44.1
Dante Cunningham,1.2,58.3,0.3,22.2
Dante Exum,4.2,47.6,0.1,20.0
Danuel House Jr.,1.8,66.7,0.1,50.0
Dario Saric,3.7,54.1,1.0,30.8
Darius Miller,0.7,57.1,1.1,45.9
Darren Collison,3.0,53.3,3.1,46.2
Daryl Macon,0.9,44.4,1.1,22.2
David Nwaba,3.6,55.6,0.1,16.7
Davis Bertans,1.0,50.0,0.6,50.0
Davon Reed,0.5,60.0,0.4,0.0
De'Aaron Fox,8.0,52.5,2.7,37.3
De'Anthony Melton,2.6,50.0,0.6,22.6
DeAndre Jordan,6.4,64.1,0.1,11.1
DeAndre' Bembry,5.2,51.9,0.2,11.1
DeMar DeRozan,9.2,56.5,7.2,40.5
DeMarcus Cousins,8.3,57.8,0.9,37.0
DeMarre Carroll,3.4,47.1,0.6,35.0
DeVaughn Akoon-Purcell,0.8,62.5,0.2,0.0
Deandre Ayton,9.0,65.6,3.2,39.9
Delon Wright,4.8,50.0,0.4,24.1
Demetrius Jackson,1.0,70.0,0.5,66.7
Deng Adel,0.5,40.0,0.2,50.0
Dennis Schroder,6.4,46.9,2.9,42.7
Dennis Smith Jr.,6.3,50.8,2.0,35.5
Deonte Burton,1.7,47.1,0.3,33.3
Derrick Favors,6.4,67.2,0.7,38.2
Derrick Jones Jr.,3.9,56.4,0.1,50.0
Derrick Rose,7.8,53.8,4.2,46.2
Derrick White,4.4,54.5,1.6,47.7
Devin Booker,8.6,58.1,4.6,44.9
Devin Harris,1.8,50.0,0.4,28.6
Devin Robinson,3.4,70.6,1.0,42.9
Devonte' Graham,1.5,46.7,0.7,34.5
Dewayne Dedmon,4.1,61.0,0.7,40.9
Deyonta Davis,2.0,80.0,0.3,33.3
Dillon Brooks,3.4,44.1,1.1,35.0
Dion Waiters,3.2,50.0,1.1,38.3
Dirk Nowitzki,0.6,66.7,2.7,39.6
Domantas Sabonis,7.5,64.0,1.7,38.0
Donatas Motiejunas,1.7,58.8,0.3,0.0
Donovan Mitchell,10.4,48.1,2.7,40.0
Donte DiVincenzo,1.4,71.4,0.1,33.3
Donte Grantham,,,0.0,0.0
Dorian Finney-Smith,3.0,56.7,0.4,30.0
Doug McDermott,2.0,65.0,0.8,39.1
Dragan Bender,2.0,70.0,0.0,0.0
Draymond Green,3.3,60.6,0.6,32.4
Drew Eubanks,1.0,70.0,0.2,25.0
Duncan Robinson,0.5,100.0,0.3,50.0
Dusty Hannahs,3.5,42.9,0.0,0.0
Dwayne Bacon,3.4,55.9,0.7,25.0
Dwight Howard,6.5,66.2,1.1,40.0
Dwight Powell,4.4,75.0,0.2,7.1
Dwyane Wade,6.5,53.8,3.2,33.0
Dzanan Musa,1.2,58.3,0.3,50.0
E'Twaun Moore,5.4,53.7,1.4,36.1
Ed Davis,3.7,62.2,0.0,0.0
Edmond Sumner,1.4,42.9,0.3,28.6
Ekpe Udoh,1.4,71.4,0.0,0.0
Elfrid Payton,7.0,48.6,0.3,50.0
Elie Okobo,2.3,52.2,0.7,35.3
Emanuel Terry,2.3,56.5,0.0,0.0
Emmanuel Mudiay,6.5,50.8,2.5,45.9
Enes Kanter,8.9,58.4,0.8,27.5
Eric Bledsoe,6.8,60.3,0.8,33.3
Eric Gordon,4.6,50.0,0.3,40.0
Eric Moreland,1.2,33.3,0.0,0.0
