Player,Close FGA,Close FG%,Mid FGA,Mid FG%
Aaron Gordon,6.3,58.7,2.2,25.0
Aaron Holiday,3.8,47.4,1.4,34.0
Abdel Nader,2.2,59.1,0.3,37.5
Adam Mokoka,1.1,45.5,0.1,0.0
Admiral Schofield,0.8,50.0,0.2,66.7
Al Horford,4.1,53.7,2.3,44.6
Al-Farouq Aminu,2.5,32.0,0.3,33.3
Alec Burks,4.9,44.9,2.2,41.3
Alen Smailagic,1.6,68.8,0.3,25.0
Alex Caruso,2.2,50.0,0.5,22.6
Alex Len,4.6,63.0,0.1,14.3
Alfonzo McKinnie,2.3,60.9,0.4,31.3
Alize Johnson,1.2,50.0,0.1,0.0
Allen Crabbe,1.0,50.0,0.6,40.9
Allonzo Trier,1.3,53.8,0.9,68.2
Amile Jefferson,1.0,40.0,0.1,0.0
Amir Coffey,1.8,55.6,0.5,37.5
Andre Drummond,12.8,55.5,0.3,27.8
Andre Iguodala,1.4,64.3,0.6,41.7
Andre Roberson,2.1,33.3,0.0,0.0
Andrew Wiggins,9.4,55.3,2.5,33.8
Anfernee Simons,2.9,44.8,1.5,42.1
Ante Zizic,3.0,56.7,0.3,57.1
Anthony Davis,10.1,62.4,4.1,34.9
Anthony Tolliver,0.5,60.0,0.1,57.1
Antonius Cleveland,1.0,40.0,0.1,0.0
Anzejs Pasecniks,3.9,61.5,0.5,8.3
Aron Baynes,4.7,61.7,0.4,29.4
Austin Rivers,3.2,50.0,0.1,37.5
Avery Bradley,2.3,56.5,2.0,44.0
BJ Johnson,1.2,33.3,1.2,16.7
Bam Adebayo,9.4,61.7,1.3,22.3
Ben McLemore,1.3,61.5,0.0,100
Ben Simmons,11.0,59.1,0.3,25.0
Bismack Biyombo,5.0,56.0,0.2,18.2
Blake Griffin,6.9,46.4,0.8,20.0
Boban Marjanovic,4.1,63.4,0.7,35.7
Bobby Portis,4.1,56.1,2.0,38.6
Bogdan Bogdanovic,3.7,56.8,1.7,49.5
Bojan Bogdanovic,6.5,50.8,1.1,27.9
Bol Bol,2.3,73.9,0.9,0.0
Brad Wanamaker,2.9,51.7,0.7,37.7
Bradley Beal,9.7,55.7,4.8,41.3
Brandon Clarke,6.6,68.2,0.6,32.4
Brandon Goodwin,2.5,52.0,0.6,38.9
Brandon Ingram,7.6,53.9,3.9,43.2
Brandon Knight,1.2,41.7,0.2,33.3
Brian Bowen II,1.0,50.0,0.4,0.0
Brook Lopez,4.5,55.6,0.7,53.3
Bruce Brown,5.8,48.3,0.2,30.8
Bruno Caboclo,1.7,58.8,0.2,50.0
Bruno Fernando,2.8,60.7,0.1,42.9
Bryn Forbes,1.6,50.0,1.6,43.9
Buddy Hield,3.8,52.6,2.9,39.8
CJ McCollum,7.6,50.0,4.4,48.9
CJ Miles,1.9,36.8,0.5,20.0
Caleb Martin,2.1,42.9,0.5,22.2
Caleb Swanigan,1.7,58.8,0.2,25.0
Cam Reddish,3.9,46.2,1.3,35.5
Cameron Johnson,1.7,52.9,0.6,38.9
Cameron Payne,3.5,51.4,1.5,33.3
Caris LeVert,9.8,48.0,1.6,31.5
Carmelo Anthony,4.6,50.0,5.0,39.9
Carsen Edwards,0.9,22.2,0.6,50.0
Cedi Osman,3.8,52.6,0.6,35.0
Chandler Hutchison,4.7,51.1,0.3,14.3
Chandler Parsons,0.6,33.3,0.3,0.0
Charlie Brown Jr.,1.2,25.0,0.0,0.0
Chasson Randle,0.0,,0.7,0.0
Cheick Diallo,2.7,66.7,0.4,44.4
Chimezie Metu,1.5,66.7,0.8,46.2
Chris Boucher,2.9,55.2,0.2,40.0
Chris Chiozza,2.1,47.6,0.4,18.2
Chris Clemons,0.9,66.7,0.2,60.0
Chris Paul,4.2,54.8,4.2,54.0
Chris Silva,1.7,64.7,0.1,60.0
Christian Wood,5.4,64.8,0.5,43.8
Clint Capela,9.8,63.3,0.1,25.0
Coby White,4.7,44.7,1.7,33.6
Cody Martin,2.4,58.3,0.4,25.0
Cody Zeller,6.9,58.0,0.1,60.0
Collin Sexton,10.3,52.4,2.5,40.7
Corey Brewer,0.6,66.7,0.0,0.0
Cory Joseph,2.3,52.2,1.2,37.2
Courtney Lee,0.9,77.8,0.5,33.3
Cristiano Felicio,2.4,66.7,0.1,0.0
D'Angelo Russell,5.3,49.1,3.9,48.6
D.J. Augustin,3.3,45.5,1.2,36.6
D.J. Wilson,1.2,58.3,0.4,46.7
DaQuan Jeffries,1.6,68.8,0.3,33.3
Damian Jones,3.0,73.3,0.1,25.0
Damian Lillard,8.0,55.0,2.2,44.5
Damion Lee,3.8,50.0,1.8,40.7
Damyean Dotson,1.2,50.0,1.4,44.8
Daniel Gafford,3.2,68.8,0.0,0.0
Daniel Theis,4.6,65.2,0.5,50.0
Danilo Gallinari,3.5,51.4,2.7,43.4
Danny Green,1.6,62.5,0.6,32.5
Dante Exum,2.1,52.4,0.1,100
Danuel House Jr.,2.7,55.6,0.3,31.3
