Player,Close FGA,Close FG%,Mid FGA,Mid FG%
Aaron Gordon,5.1,52.9,2.1,32.1
Aaron Holiday,3.5,40.0,0.5,45.0
Aaron Nesmith,0.7,42.9,0.2,50.0
Abdel Nader,2.9,58.6,0.1,0.0
Adam Mokoka,0.9,66.7,0.0,0.0
Al Horford,5.3,54.7,2.2,39.3
Al-Farouq Aminu,2.7,48.1,0.7,50.0
Alec Burks,3.7,43.2,1.8,40.7
Aleksej Pokusevski,1.9,36.8,1.4,35.3
Alen Smailagic,1.0,30.0,0.0,0.0
Alex Caruso,2.2,45.5,0.4,33.3
Alex Len,3.0,70.0,0.1,33.3
Alfonzo McKinnie,0.8,62.5,0.2,33.3
Alize Johnson,12.0,75.0,2.0,100
Amir Coffey,1.0,70.0,0.1,0.0
Andre Drummond,14.5,49.7,0.4,0.0
Andre Iguodala,0.9,55.6,0.1,20.0
Andre Roberson,1.2,16.7,0.0,0.0
Andrew Wiggins,6.4,57.8,2.8,37.1
Anfernee Simons,1.4,42.9,0.7,33.3
Anthony Davis,9.3,67.7,4.9,37.5
Anthony Edwards,7.6,47.4,1.8,25.0
Anthony Gill,0.3,100.0,0.1,0.0
Anthony Lamb,2.1,23.8,0.2,0.0
Anzejs Pasecniks,0.0,,0.0,0.0
Aron Baynes,3.6,52.8,0.3,45.5
Ashton Hagans,0.0,,0.0,0.0
Austin Rivers,2.4,54.2,0.4,57.1
Avery Bradley,1.7,64.7,1.1,36.4
Axel Toupane,0.0,,1.0,0.0
Bam Adebayo,9.7,60.8,2.9,41.3
Ben McLemore,1.3,53.8,0.5,26.7
Ben Simmons,10.7,57.9,0.3,25.0
Bismack Biyombo,3.9,61.5,0.1,0.0
Blake Griffin,3.7,51.4,0.9,15.0
Boban Marjanovic,3.4,55.9,0.5,33.3
Bobby Portis,4.4,61.4,1.8,46.2
Bogdan Bogdanovic,2.5,48.0,0.7,50.0
Bojan Bogdanovic,4.3,46.5,0.9,35.1
Bol Bol,0.7,71.4,0.3,20.0
Brad Wanamaker,2.2,45.5,0.7,37.0
Bradley Beal,10.2,57.8,6.1,49.6
Brandon Clarke,7.3,57.5,0.6,35.0
Brandon Goodwin,1.9,42.1,0.4,22.2
Brandon Ingram,6.3,58.7,5.4,47.6
Brian Bowen II,0.5,100.0,0.5,0.0
Brodric Thomas,0.6,100.0,0.6,20.0
Brook Lopez,3.8,65.8,0.6,37.0
Bruce Brown,5.2,59.6,0.3,36.4
Bruno Caboclo,2.2,72.7,0.0,0.0
Bruno Fernando,1.3,46.2,0.0,0.0
Bryn Forbes,1.2,50.0,1.4,48.3
Buddy Hield,2.6,46.2,1.4,36.7
CJ Elleby,0.7,71.4,0.2,66.7
CJ McCollum,5.3,45.3,3.5,46.0
Caleb Martin,2.0,50.0,0.7,33.3
Cam Reddish,4.4,50.0,0.8,28.6
Cameron Johnson,1.9,63.2,0.7,30.8
Cameron Payne,2.4,45.8,0.5,82.4
Caris LeVert,8.4,48.8,2.2,36.6
Carmelo Anthony,2.3,39.1,4.9,44.9
Carsen Edwards,1.5,73.3,0.6,40.0
Cassius Stanley,0.9,33.3,0.0,0.0
Cassius Winston,0.4,0.0,0.4,50.0
Cedi Osman,3.9,43.6,0.4,37.5
Chandler Hutchison,2.1,28.6,0.2,0.0
Chasson Randle,1.2,58.3,0.3,40.0
Chimezie Metu,2.1,61.9,0.5,33.3
Chris Boucher,5.1,60.8,0.3,38.5
Chris Chiozza,1.5,40.0,0.6,22.2
Chris Paul,3.4,52.9,5.4,52.0
Chris Silva,1.1,72.7,0.2,50.0
Christian Wood,8.9,69.7,2.0,26.7
Chuma Okeke,1.1,36.4,1.0,42.9
Clint Capela,10.9,57.8,0.1,33.3
Coby White,4.9,46.9,2.2,47.4
Cody Martin,2.1,57.1,0.3,37.5
Cody Zeller,6.5,55.4,0.1,33.3
Cole Anthony,5.6,39.3,1.8,44.4
Collin Sexton,11.2,54.5,2.7,35.3
Cory Joseph,2.6,57.7,0.9,36.6
Cristiano Felicio,0.6,66.7,0.0,0.0
D'Angelo Russell,4.8,52.1,4.1,39.0
D.J. Augustin,1.3,30.8,0.6,31.8
D.J. Wilson,0.9,55.6,0.8,33.3
DaQuan Jeffries,1.7,47.1,0.2,33.3
Dakota Mathias,0.5,40.0,2.3,50.0
Damian Jones,1.4,78.6,0.0,0.0
Damian Lillard,6.8,57.4,2.5,48.1
Damion Lee,0.9,66.7,0.4,43.8
Damyean Dotson,1.9,57.9,1.2,40.5
Daniel Gafford,2.6,73.1,0.2,16.7
Daniel Oturu,1.7,58.8,0.1,0.0
Daniel Theis,3.5,71.4,1.0,52.3
Danilo Gallinari,1.9,52.6,2.1,34.3
Danny Green,1.3,46.2,0.6,40.0
Dante Exum,2.5,52.0,0.0,0.0
Danuel House Jr.,3.1,54.8,0.5,21.4
Dario Saric,4.0,57.5,0.6,25.0
Darius Bazley,5.1,51.0,1.0,33.3
Darius Garland,7.9,48.1,2.0,39.4
Darius Miller,0.1,0.0,0.2,100
David Nwaba,5.1,56.9,0.0,0.0
Davis Bertans,0.7,57.1,0.3,10.0
De'Aaron Fox,10.1,58.4,2.8,36.7
De'Andre Hunter,4.9,63.3,2.0,50.0
De'Anthony Melton,3.4,50.0,0.6,50.0
DeAndre Jordan,4.3,79.1,0.0,0.0
DeAndre' Bembry,2.8,60.7,0.1,25.0
DeMar DeRozan,8.3,53.0,4.2,50.0
DeMarcus Cousins,3.6,44.4,0.1,0.0
Dean Wade,1.0,50.0,0.1,40.0
Deandre Ayton,8.4,67.9,1.6,32.8
Deividas Sirvydis,0.0,,0.0,0.0
Dejounte Murray,7.1,52.1,4.2,43.5
Delon Wright,5.3,52.8,0.4,38.5
Deni Avdija,2.1,61.9,0.3,33.3
Dennis Schroder,6.3,46.0,2.5,48.5
Dennis Smith Jr.,2.7,48.1,1.3,36.0
Denzel Valentine,2.2,40.9,0.8,51.6
Derrick Favors,3.1,67.7,0.6,39.1
Derrick Jones Jr.,3.3,63.6,0.0,0.0
Derrick Rose,6.6,43.9,2.7,45.6
Derrick White,4.4,47.7,0.9,37.5
Desmond Bane,2.7,51.9,0.7,56.0
Devin Booker,8.2,59.8,4.9,50.3
Devin Vassell,1.5,46.7,0.8,25.9
Devon Dotson,2.0,50.0,2.0,50.0
Devontae Cacok,1.7,64.7,0.0,0.0
Devonte' Graham,2.0,25.0,1.6,44.4
Dillon Brooks,6.9,44.9,2.6,43.9
Domantas Sabonis,10.6,61.3,1.3,24.6
Donovan Mitchell,8.5,48.2,3.0,41.8
Donte DiVincenzo,3.8,44.7,0.6,48.0
Dorian Finney-Smith,2.2,59.1,0.2,16.7
Doug McDermott,5.6,62.5,0.1,16.7
Draymond Green,3.3,51.5,0.4,11.8
Drew Eubanks,3.2,46.9,0.4,40.0
Duncan Robinson,1.2,75.0,0.3,9.1
Dwayne Bacon,4.6,47.8,1.4,23.8
Dwight Howard,3.9,61.5,0.3,41.7
Dwight Powell,2.7,55.6,0.0,0.0
Dylan Windler,1.6,62.5,0.1,66.7
E'Twaun Moore,2.6,50.0,0.4,40.0
Ed Davis,2.4,41.7,0.0,0.0
Edmond Sumner,2.3,60.9,0.2,20.0
Elfrid Payton,8.7,48.3,1.4,34.7
Elijah Hughes,0.6,16.7,0.2,100
Enes Kanter,8.2,61.0,0.2,11.1
Eric Bledsoe,3.8,50.0,1.3,41.8
Eric Gordon,5.6,58.9,0.2,0.0
Eric Paschall,4.3,53.5,1.9,48.6
Ersan Ilyasova,0.0,,0.0,0.0
Evan Fournier,5.0,58.0,1.9,44.0
Facundo Campazzo,1.1,45.5,0.2,12.5
Frank Jackson,1.6,43.8,0.5,42.9
Frank Kaminsky,3.1,54.8,0.4,23.1
Frank Mason,4.6,39.1,0.3,0.0
Frank Ntilikina,0.9,22.2,0.8,15.4
Fred VanVleet,5.4,42.6,2.2,37.2
Furkan Korkmaz,1.9,52.6,1.0,41.2
Gabe Vincent,1.9,57.9,0.2,33.3
Garrett Temple,2.7,55.6,0.9,40.6
Garrison Mathews,0.6,50.0,0.4,33.3
Gary Clark,0.6,50.0,0.1,0.0
Gary Harris,3.7,56.8,0.6,36.4
Gary Trent Jr.,3.0,50.0,2.3,36.2
George Hill,3.7,62.2,0.8,54.5
Georges Niang,1.1,54.5,0.2,44.4
Giannis Antetokounmpo,12.5,68.0,2.2,32.6
Glenn Robinson III,2.1,52.4,0.3,16.7
Goga Bitadze,2.2,59.1,0.1,50.0
Goran Dragic,5.0,54.0,1.7,38.3
Gordon Hayward,7.5,53.3,2.9,44.3
Gorgui Dieng,1.9,68.4,0.8,35.3
Grant Williams,1.7,52.9,0.3,44.4
Grayson Allen,2.2,50.0,0.4,16.7
Greg Whittington,0.0,,0.3,0.0
Hamidou Diallo,6.7,53.7,1.3,34.9
Harrison Barnes,6.5,60.0,0.4,31.3
Harry Giles III,2.0,45.0,0.3,37.5
Hassan Whiteside,5.4,57.4,0.8,47.6
Henry Ellenson,2.5,60.0,0.0,0.0
Ignas Brazdeikis,0.0,,0.3,0.0
Iman Shumpert,0.5,100.0,0.0,0.0
Immanuel Quickley,3.7,43.2,1.3,36.0
Isaac Bonga,0.9,55.6,0.1,0.0
Isaac Okoro,4.2,50.0,0.1,0.0
Isaiah Hartenstein,2.6,53.8,0.0,0.0
Isaiah Joe,0.4,0.0,0.5,45.5
Isaiah Roby,4.8,60.4,0.3,20.0
Isaiah Stewart,4.0,60.0,0.4,53.3
Ish Smith,3.4,44.1,1.6,35.5
Ivica Zubac,4.8,68.8,0.1,50.0
