Player,Close FGA,Close FG%,Mid FGA,Mid FG%
Aaron Brooks,3.0,43.3,1.1,39.0
Aaron Gordon,4.3,60.5,1.3,31.7
Aaron Harrison,0.2,50.0,0.2,0.0
Adreian Payne,1.4,42.9,0.9,35.6
Al Horford,5.6,64.3,4.1,44.4
Al Jefferson,6.8,51.5,4.0,43.9
Al-Farouq Aminu,3.4,50.0,1.1,37.6
Alan Anderson,1.3,38.5,0.5,50.0
Alan Williams,2.3,39.1,0.2,50.0
Alec Burks,5.1,47.1,3.1,32.3
Alex Len,5.4,46.3,2.5,32.6
Alex Stepheson,3.5,31.4,0.3,50.0
Alexis Ajinca,3.0,50.0,2.4,44.6
Allen Crabbe,1.7,58.8,3.1,44.8
Alonzo Gee,2.3,65.2,0.4,25.0
Amar'e Stoudemire,3.4,61.8,0.8,45.5
Amir Johnson,4.7,63.8,0.2,37.5
Anderson Varejao,1.5,53.3,0.8,31.1
Andre Drummond,12.2,54.1,0.8,25.0
Andre Iguodala,2.3,60.9,1.1,39.1
Andre Miller,1.8,61.1,0.7,50.0
Andre Roberson,2.3,65.2,0.1,0.0
Andrea Bargnani,2.0,55.0,3.7,44.7
Andrew Bogut,3.8,65.8,0.1,30.0
Andrew Goudelock,1.0,70.0,0.7,80.0
Andrew Nicholson,2.7,59.3,0.8,39.1
Andrew Wiggins,8.1,59.3,5.6,34.1
Anthony Bennett,0.7,42.9,0.1,0.0
Anthony Brown,1.0,30.0,1.0,37.0
Anthony Davis,9.5,57.9,7.4,42.4
Anthony Morrow,0.9,44.4,1.0,46.2
Anthony Tolliver,0.6,50.0,0.3,33.3
Archie Goodwin,4.8,50.0,0.8,37.0
Aron Baynes,3.7,51.4,1.0,44.4
Arron Afflalo,3.6,50.0,4.3,42.8
Austin Rivers,3.6,55.6,1.3,39.3
Avery Bradley,3.6,63.9,4.5,38.5
Axel Toupane,0.9,44.4,0.6,25.0
Ben McLemore,2.7,55.6,1.3,33.7
Beno Udrih,1.4,57.1,2.0,41.1
Bismack Biyombo,3.0,56.7,0.5,38.5
Blake Griffin,7.8,64.1,9.0,38.1
Boban Marjanovic,2.8,64.3,0.7,44.4
Bobby Portis,3.7,51.4,2.4,35.1
Bojan Bogdanovic,3.8,50.0,1.4,40.0
Boris Diaw,3.5,60.0,0.7,35.3
Bradley Beal,5.6,55.4,4.1,36.3
Brandan Wright,3.9,66.7,0.4,80.0
Branden Dawson,1.0,30.0,0.0,0.0
Brandon Bass,3.7,62.2,1.1,34.2
Brandon Jennings,1.8,44.4,1.4,35.4
Brandon Knight,5.9,54.2,4.5,36.4
Brandon Rush,1.0,50.0,0.5,34.3
Brian Roberts,1.1,54.5,1.4,47.1
Briante Weber,2.6,38.5,2.3,43.8
Brook Lopez,11.0,55.5,4.6,42.5
Bruno Caboclo,0.5,0.0,0.5,0.0
Bryce Cotton,0.8,37.5,0.7,75.0
Bryce Dejean-Jones,1.9,42.1,1.1,46.2
C.J. Watson,1.3,38.5,1.4,32.6
C.J. Wilcox,0.9,55.6,1.3,33.3
CJ McCollum,6.2,48.4,5.8,44.6
CJ Miles,2.6,50.0,1.3,41.9
Cameron Bairstow,1.3,30.8,0.8,41.7
Cameron Payne,1.8,50.0,1.3,47.9
Carl Landry,3.4,64.7,3.2,47.4
Carmelo Anthony,5.4,50.0,8.4,44.5
Caron Butler,0.3,66.7,2.1,52.8
Chandler Parsons,4.9,59.2,1.7,38.6
Channing Frye,0.9,66.7,0.7,46.9
Charlie Villanueva,2.2,54.5,0.6,33.3
Chase Budinger,1.8,61.1,0.5,34.4
Chris Andersen,1.9,57.9,0.3,42.9
Chris Bosh,4.9,57.1,5.4,45.1
Chris Copeland,0.5,60.0,0.2,0.0
Chris Johnson,1.0,50.0,0.5,35.5
Chris Kaman,1.2,58.3,1.4,40.9
Chris McCullough,1.9,47.4,1.2,37.9
Chris Paul,4.4,56.8,6.2,45.7
Christian Wood,2.2,50.0,0.6,22.2
Chuck Hayes,1.0,50.0,0.0,0.0
Cleanthony Early,0.8,50.0,0.8,16.7
Cliff Alexander,0.8,62.5,0.7,25.0
Clint Capela,5.1,58.8,0.1,25.0
Cody Zeller,4.9,59.2,1.0,26.4
Cole Aldrich,3.7,59.5,0.1,40.0
Corey Brewer,3.4,50.0,0.6,26.0
Cory Jefferson,2.6,42.3,0.7,25.0
Cory Joseph,4.1,51.2,1.9,41.3
Coty Clarke,0.5,0.0,0.5,0.0
Courtney Lee,2.5,56.0,2.8,43.8
Cristiano Felicio,1.6,62.5,0.6,55.6
D'Angelo Russell,4.4,50.0,3.0,35.9
D.J. Augustin,2.2,45.5,0.8,36.7
Dahntay Jones,7.0,28.6,5.0,60.0
Damian Lillard,7.6,47.4,3.9,42.6
Damien Inglis,0.8,62.5,0.4,12.5
Damjan Rudez,0.3,100.0,0.0,0.0
Danilo Gallinari,5.0,48.0,3.7,37.6
Danny Green,1.6,50.0,1.1,32.1
Dante Cunningham,2.0,60.0,1.0,43.6
Darrell Arthur,2.1,52.4,3.2,44.4
Darren Collison,4.6,54.3,3.0,46.7
Darrun Hilliard,1.3,38.5,1.0,38.9
David Lee,5.2,55.8,0.9,33.3
David West,2.9,58.6,2.8,48.6
DeAndre Jordan,6.5,70.8,0.0,33.3
DeJuan Blair,1.7,47.1,0.8,33.3
DeMar DeRozan,8.7,51.7,7.1,38.0
DeMarcus Cousins,13.2,50.8,4.1,35.5
DeMarre Carroll,4.5,44.4,1.4,19.4
Delon Wright,2.3,52.2,0.4,30.0
Dennis Schroder,4.5,51.1,2.2,41.6
Deron Williams,4.4,50.0,3.2,39.8
Derrick Favors,8.5,61.2,4.5,35.1
Derrick Rose,8.3,47.0,5.3,41.9
Derrick Williams,3.6,55.6,1.6,38.3
Devin Booker,4.0,52.5,3.6,37.6
Devin Harris,2.6,57.7,0.8,42.3
Devyn Marble,0.9,44.4,0.6,13.3
Dewayne Dedmon,2.6,57.7,0.5,33.3
Dion Waiters,3.3,48.5,2.6,34.5
Dirk Nowitzki,2.5,60.0,7.7,45.1
Donald Sloan,2.9,51.7,1.2,33.3
Donatas Motiejunas,3.4,52.9,0.6,42.9
Doug McDermott,3.0,50.0,1.8,41.3
Draymond Green,6.5,53.8,0.5,28.2
Drew Gooden,1.2,50.0,0.9,29.6
Duje Dukan,1.0,0.0,4.0,0.0
Dwight Howard,8.1,64.2,0.3,38.1
Dwight Powell,2.6,65.4,1.6,30.8
Dwyane Wade,9.1,52.7,6.3,37.4
E'Twaun Moore,3.2,53.1,1.7,41.4
Ed Davis,4.1,61.0,0.1,60.0
Edy Tavares,1.5,60.0,0.3,33.3
Elfrid Payton,6.6,50.0,2.1,30.7
Elijah Millsap,1.3,38.5,0.1,0.0
Elliot Williams,0.2,0.0,1.0,20.0
Elton Brand,2.3,47.8,1.9,39.4
Emmanuel Mudiay,6.2,41.9,3.7,30.8
Enes Kanter,7.0,60.0,1.6,45.0
Eric Bledsoe,7.3,52.1,4.4,41.6
Eric Gordon,4.0,50.0,1.7,39.0
Eric Moreland,0.8,50.0,0.0,0.0
Erick Green,0.4,50.0,0.7,50.0
Ersan Ilyasova,3.7,48.6,1.7,38.0
Evan Fournier,5.2,55.8,1.6,32.6
Evan Turner,4.6,54.3,3.7,39.5
Festus Ezeli,4.7,57.4,0.3,8.3
Frank Kaminsky,3.4,50.0,0.6,30.0
Garrett Temple,2.1,52.4,1.0,33.3
Gary Harris,4.6,56.5,1.6,47.9
Gary Neal,2.2,54.5,3.4,44.9
George Hill,3.6,52.8,2.2,37.4
Gerald Green,2.0,55.0,2.7,38.6
Gerald Henderson,1.9,63.2,3.6,39.8
Giannis Antetokounmpo,8.9,58.4,2.5,33.8
Glenn Robinson III,1.8,55.6,0.9,28.6
Goran Dragic,6.3,57.1,3.0,43.7
Gordon Hayward,6.5,52.3,3.5,39.4
Gorgui Dieng,4.3,60.5,2.5,42.7
Greg Monroe,10.1,54.5,1.7,40.1
Greg Smith,1.8,55.6,0.0,0.0
Greivis Vasquez,1.8,44.4,1.0,39.1
Harrison Barnes,3.6,55.6,2.7,46.6
Hassan Whiteside,7.7,64.9,1.6,41.2
Henry Sims,3.3,45.5,2.2,38.7
Hollis Thompson,2.2,45.5,1.5,35.4
Ian Clark,1.4,50.0,0.5,53.3
Ian Mahinmi,5.6,62.5,0.7,26.4
Iman Shumpert,1.6,50.0,1.4,40.5
Isaiah Canaan,2.1,38.1,0.9,28.6
Isaiah Thomas,8.7,48.3,2.5,36.5
Ish Smith,6.9,46.4,3.4,35.1
J.J. Barea,4.4,47.7,1.7,45.2
JJ Hickson,3.8,55.3,0.8,19.2
JJ O'Brien,0.0,,0.5,0.0
JJ Redick,1.8,50.0,4.3,47.7
JR Smith,2.2,50.0,2.2,37.8
JaKarr Sampson,3.0,56.7,0.4,27.6
JaMychal Green,4.0,50.0,1.8,39.9
JaVale McGee,3.4,58.8,0.5,38.9
Jabari Parker,7.4,58.1,3.9,34.6
Jae Crowder,3.9,61.5,2.2,41.7
Jahlil Okafor,10.9,57.8,3.6,33.7
Jamal Crawford,3.3,51.5,4.2,38.6
