Player,Minutes,AST %,REB %,USG %
Aaron Brooks,16.1,26.5,4.3,22.5
Aaron Gordon,23.9,10.3,13.3,16.9
Aaron Harrison,4.4,3.3,8.0,13.2
Adreian Payne,9.3,9.3,12.1,17.5
Al Horford,32.1,16.5,10.9,20.2
Al Jefferson,23.3,11.4,13.3,24.0
Al-Farouq Aminu,28.5,8.7,10.4,16.6
Alan Anderson,14.8,11.2,6.8,15.1
Alan Williams,6.8,9.6,24.7,19.4
Alec Burks,25.7,14.0,6.9,24.6
Alex Len,23.3,8.7,15.6,20.2
Alex Stepheson,9.0,5.3,14.7,16.6
Alexis Ajinca,14.6,5.9,15.4,20.1
Allen Crabbe,26.0,7.2,4.9,15.9
Alonzo Gee,22.4,6.3,7.3,9.1
Amar'e Stoudemire,14.7,5.4,15.1,17.6
Amir Johnson,22.8,11.0,13.2,13.6
Anderson Varejao,9.4,10.2,13.4,14.3
Andre Drummond,32.9,4.2,21.7,23.9
Andre Iguodala,26.6,16.5,7.3,11.7
Andre Miller,11.8,27.6,6.1,15.6
Andre Roberson,22.2,3.9,7.9,9.2
Andrea Bargnani,13.8,5.1,7.7,22.7
Andrew Bogut,20.7,14.5,16.3,11.5
Andrew Goudelock,6.2,11.8,1.6,23.4
Andrew Nicholson,14.7,5.0,11.8,20.5
Andrew Wiggins,35.1,9.8,5.3,26.7
Anthony Bennett,4.4,0.0,13.9,16.6
Anthony Brown,20.6,4.8,5.5,10.9
Anthony Davis,35.5,10.0,14.5,29.0
Anthony Morrow,13.6,3.7,3.3,16.7
Anthony Tolliver,18.6,5.8,8.1,12.2
Archie Goodwin,19.5,17.4,6.2,22.7
Aron Baynes,15.2,7.0,15.2,18.4
Arron Afflalo,33.4,9.7,5.5,17.8
Austin Rivers,21.8,11.6,4.3,18.8
Avery Bradley,33.4,9.5,4.1,19.7
Axel Toupane,14.5,6.8,5.3,12.2
Ben McLemore,21.2,7.6,5.0,17.2
Beno Udrih,16.1,25.6,5.2,16.7
Bismack Biyombo,22.0,2.5,17.6,11.4
Blake Griffin,33.4,25.8,12.2,28.9
Boban Marjanovic,9.4,7.2,20.1,22.0
Bobby Portis,17.8,7.6,14.2,20.3
Bojan Bogdanovic,26.8,7.3,6.1,19.0
Boris Diaw,18.2,18.2,8.6,16.4
Bradley Beal,31.1,15.3,5.5,24.5
Brandan Wright,17.7,5.0,10.0,15.2
Branden Dawson,4.8,0.0,7.4,7.8
Brandon Bass,20.3,8.8,10.4,13.6
Brandon Jennings,18.1,29.8,5.3,19.2
Brandon Knight,36.0,23.4,5.3,25.8
Brandon Rush,14.6,7.2,8.4,12.5
Brian Roberts,9.2,20.5,4.2,18.8
Briante Weber,24.1,17.5,6.8,11.7
Brook Lopez,33.7,10.6,12.0,27.2
Bruno Caboclo,7.1,3.3,2.0,15.2
Bryce Cotton,4.8,13.6,0.0,17.0
Bryce Dejean-Jones,19.9,7.6,8.4,14.0
C.J. Watson,19.9,18.0,5.0,11.7
C.J. Wilcox,7.3,9.0,3.4,19.0
CJ McCollum,34.7,21.1,4.5,26.6
CJ Miles,22.9,6.9,5.8,22.1
Cameron Bairstow,5.7,9.1,12.0,19.6
Cameron Payne,12.2,24.1,5.9,19.9
Carl Landry,15.8,10.2,12.7,23.6
Carmelo Anthony,35.1,20.9,10.7,29.1
Caron Butler,10.3,9.9,5.9,15.9
Chandler Parsons,29.5,15.8,8.0,20.4
Channing Frye,17.1,8.6,10.0,15.3
Charlie Villanueva,10.7,6.3,10.8,23.6
Chase Budinger,14.1,9.8,7.8,13.8
Chris Andersen,14.9,4.5,12.9,10.8
Chris Bosh,33.5,12.9,11.1,24.7
Chris Copeland,6.5,12.0,3.3,16.9
Chris Johnson,12.2,8.2,7.6,13.1
Chris Kaman,7.0,18.6,11.0,20.2
Chris McCullough,15.1,3.8,9.2,15.8
Chris Paul,32.7,49.3,6.3,26.5
Christian Wood,8.5,3.5,11.3,18.5
Chuck Hayes,11.9,13.3,14.5,11.3
Cleanthony Early,9.0,5.8,7.5,14.7
Cliff Alexander,4.5,0.0,8.7,13.4
Clint Capela,19.1,5.0,16.1,15.6
Cody Zeller,24.3,6.1,12.8,15.2
Cole Aldrich,13.3,10.7,18.2,18.5
Corey Brewer,20.4,10.2,5.6,17.2
Cory Jefferson,6.3,0.0,14.3,20.3
Cory Joseph,25.6,19.9,5.0,16.6
Coty Clarke,1.9,0.0,10.0,35.7
Courtney Lee,29.6,8.8,4.5,14.6
Cristiano Felicio,10.3,11.5,15.7,13.5
D'Angelo Russell,28.2,21.3,5.8,23.8
D.J. Augustin,19.0,25.7,4.0,18.0
Dahntay Jones,42.4,6.7,6.0,15.6
Damian Lillard,35.7,33.0,5.4,30.4
Damien Inglis,7.8,11.2,9.7,14.9
Damjan Rudez,8.4,5.8,3.8,12.3
Danilo Gallinari,34.7,12.2,7.5,22.6
Danny Green,26.1,9.2,7.4,14.3
Dante Cunningham,24.6,5.6,6.1,11.0
Darrell Arthur,21.7,10.2,9.3,16.5
Darren Collison,30.0,21.9,3.7,19.0
Darrun Hilliard,10.1,11.7,5.7,19.0
David Lee,16.4,16.2,16.3,21.0
David West,18.0,15.0,11.3,17.5
DeAndre Jordan,33.7,5.1,19.9,15.5
DeJuan Blair,7.5,7.7,12.6,16.6
DeMar DeRozan,35.9,20.8,6.3,29.1
DeMarcus Cousins,34.6,16.7,16.2,35.1
DeMarre Carroll,30.2,5.6,7.6,17.6
Delon Wright,8.5,22.6,7.9,21.8
Dennis Schroder,20.3,36.8,6.2,28.6
Deron Williams,32.4,29.5,4.5,21.8
Derrick Favors,32.0,8.6,13.4,23.4
Derrick Rose,31.8,25.0,5.0,26.6
Derrick Williams,17.9,9.6,10.0,23.0
Devin Booker,27.7,16.2,4.3,22.8
Devin Harris,20.0,14.9,5.2,16.8
Devyn Marble,8.9,7.2,6.9,15.3
Dewayne Dedmon,12.2,2.9,16.0,15.1
Dion Waiters,27.6,10.3,4.5,17.3
Dirk Nowitzki,31.5,9.6,10.3,24.9
Donald Sloan,21.6,29.3,6.7,16.3
Donatas Motiejunas,14.8,11.6,9.7,21.4
Doug McDermott,23.0,4.9,4.9,16.6
Draymond Green,34.7,27.7,13.1,18.4
Drew Gooden,10.2,6.6,13.6,16.9
Duje Dukan,24.2,6.7,5.9,15.4
Dwight Howard,32.1,7.1,18.2,18.4
Dwight Powell,14.4,7.7,13.5,17.5
Dwyane Wade,30.5,26.7,6.8,31.0
E'Twaun Moore,21.4,11.8,5.0,15.7
Ed Davis,20.8,7.8,16.8,12.5
Edy Tavares,6.6,5.5,15.9,16.7
Elfrid Payton,29.4,31.7,6.0,19.8
Elijah Millsap,8.6,16.4,9.4,14.1
Elliot Williams,9.0,14.3,4.7,13.8
Elton Brand,13.2,14.2,12.4,16.8
Emmanuel Mudiay,30.4,28.1,5.5,25.0
Enes Kanter,21.0,3.2,18.9,22.9
Eric Bledsoe,34.2,29.8,5.8,27.0
Eric Gordon,32.9,12.9,3.3,20.3
Eric Moreland,5.9,2.9,10.6,9.6
Erick Green,4.7,10.7,9.0,13.8
Ersan Ilyasova,25.4,5.5,10.6,18.0
Evan Fournier,32.5,12.8,4.4,20.0
Evan Turner,28.0,24.7,8.2,18.4
Festus Ezeli,16.7,6.0,16.1,17.7
Frank Kaminsky,21.1,9.5,9.4,16.6
Garrett Temple,24.4,10.2,5.4,14.0
Gary Harris,32.1,9.3,4.4,16.0
Gary Neal,20.2,9.9,5.3,20.4
George Hill,34.1,15.7,5.8,15.7
Gerald Green,22.6,5.7,5.2,19.2
Gerald Henderson,19.9,8.4,7.1,20.1
Giannis Antetokounmpo,35.3,19.5,11.2,22.1
Glenn Robinson III,11.3,7.7,6.5,15.7
Goran Dragic,32.8,27.6,5.8,21.1
Gordon Hayward,36.2,18.1,7.1,25.0
Gorgui Dieng,27.1,9.9,13.8,16.5
Greg Monroe,29.3,12.8,15.7,23.1
Greg Smith,10.7,4.9,11.1,10.4
Greivis Vasquez,20.0,32.0,5.2,18.4
Harrison Barnes,30.9,7.7,7.8,15.6
Hassan Whiteside,29.1,2.2,20.2,20.1
Henry Sims,18.8,5.4,13.4,16.8
Hollis Thompson,28.0,7.2,6.0,15.7
Ian Clark,8.8,17.1,5.8,19.3
Ian Mahinmi,25.6,9.0,13.7,15.7
Iman Shumpert,24.4,10.0,7.7,13.0
Isaiah Canaan,25.5,12.0,4.2,19.1
Isaiah Thomas,32.2,31.2,4.3,28.9
Ish Smith,29.1,37.0,6.5,23.5
J.J. Barea,22.5,30.1,4.5,22.9
JJ Hickson,12.5,9.1,14.2,22.0
JJ O'Brien,3.1,0.0,11.1,7.1
JJ Redick,28.0,8.0,3.2,22.0
JR Smith,30.7,8.2,4.7,17.7
JaKarr Sampson,15.9,6.2,7.8,16.5
JaMychal Green,18.5,7.4,13.1,18.8
JaVale McGee,10.9,1.5,17.2,20.6
Jabari Parker,31.7,8.6,8.4,20.6
Jae Crowder,31.6,8.7,7.5,18.1
Jahlil Okafor,30.0,8.8,11.7,27.2
Jamal Crawford,26.9,14.5,3.4,23.9
Jameer Nelson,26.6,28.7,5.5,16.3
James Anderson,14.1,7.8,5.5,13.4
James Ennis III,14.9,10.4,6.7,19.6
James Harden,38.1,35.4,7.9,31.9
James Johnson,16.2,11.3,7.0,15.7
James Jones,9.7,5.4,5.0,15.6
James Michael McAdoo,6.4,11.0,11.1,19.4
James Young,6.9,6.3,6.3,9.2
Jared Cunningham,9.3,7.4,4.8,16.6
Jared Dudley,25.9,11.2,6.9,12.7
Jared Sullinger,23.6,14.8,16.7,21.6
Jarell Eddie,5.6,5.8,7.0,19.1
Jarell Martin,14.1,6.5,11.0,17.9
Jarnell Stokes,2.7,8.3,10.8,13.3
Jarrett Jack,32.1,34.0,6.6,20.9
Jason Smith,15.5,8.7,9.4,21.8
Jason Terry,17.5,12.5,3.1,14.6
Jason Thompson,10.0,9.4,13.9,13.7
Jeff Ayres,6.3,7.8,10.1,13.4
Jeff Green,28.2,10.2,7.5,20.4
Jeff Teague,28.5,34.1,4.5,25.9
Jeff Withey,12.9,5.1,13.6,14.9
Jerami Grant,26.8,10.6,8.4,17.9
Jeremy Evans,8.4,1.3,9.9,10.9
Jeremy Lamb,18.6,11.1,9.7,21.4
Jeremy Lin,26.3,19.2,5.9,21.7
Jerian Grant,16.6,23.6,5.4,18.5
Jerryd Bayless,28.9,16.8,4.8,16.4
Jimmer Fredette,2.9,50.0,0.0,22.5
Jimmy Butler,36.9,21.8,6.8,24.2
Joakim Noah,21.9,25.6,17.9,13.7
Jodie Meeks,14.5,14.3,5.6,23.2
Joe Harris,3.0,18.2,12.5,12.8
Joe Ingles,15.3,12.5,6.1,12.8
Joe Johnson,33.4,17.2,5.6,17.8
Joe Young,9.4,26.1,6.1,23.3
Joel Anthony,5.0,2.0,10.5,7.1
Joffrey Lauvergne,17.6,9.3,13.8,19.6
John Henson,16.8,9.6,11.3,18.8
John Jenkins,11.2,11.1,5.4,16.7
John Wall,36.2,44.9,6.8,28.0
Johnny O'Bryant III,13.0,5.7,10.6,13.5
Jon Leuer,18.7,9.0,14.3,19.5
Jonas Jerebko,15.1,7.8,11.5,13.3
Jonas Valanciunas,25.9,4.5,18.5,20.4
Jonathon Simmons,14.8,10.8,6.3,18.3
Jordan Adams,7.3,27.3,7.1,28.6
Jordan Clarkson,32.3,13.9,5.9,22.5
Jordan Farmar,24.3,19.8,4.4,17.8
Jordan Hamilton,27.6,12.8,10.3,20.3
Jordan Hill,20.7,9.6,14.3,20.1
Jordan McRae,8.9,21.6,5.0,24.4
Jordan Mickey,3.6,3.0,10.1,19.3
Jorge Gutierrez,5.3,39.5,5.5,14.8
Jose Calderon,28.1,21.3,5.6,12.4
Josh Huestis,11.0,0.0,9.1,13.5
Josh McRoberts,14.2,20.4,9.1,14.8
Josh Richardson,21.3,9.8,4.8,13.4
Josh Smith,16.0,17.2,10.2,22.1
Jrue Holiday,28.2,36.5,5.3,28.3
Julius Randle,28.2,11.1,17.4,20.9
Justin Anderson,11.8,7.1,9.6,15.2
Justin Harper,7.0,0.0,1.5,16.7
Justin Holiday,14.6,11.1,5.7,16.0
Justise Winslow,28.6,7.7,9.1,12.2
Jusuf Nurkic,17.1,12.3,15.5,26.6
KJ McDaniels,6.4,5.9,8.0,17.9
Karl-Anthony Towns,32.0,10.8,16.9,24.3
Kawhi Leonard,33.0,12.8,10.6,25.2
Keith Appling,5.4,5.9,1.9,20.0
Kelly Olynyk,20.2,11.9,9.2,20.4
Kelly Oubre Jr.,10.7,2.9,9.5,16.6
Kemba Walker,35.6,25.3,6.0,26.1
Kendall Marshall,13.3,26.6,3.4,17.9
Kendrick Perkins,14.6,7.7,12.2,10.3
Kenneth Faried,25.3,7.7,17.0,20.3
Kent Bazemore,27.8,12.7,8.8,19.5
Kentavious Caldwell-Pope,36.7,7.5,4.8,17.7
Kevin Durant,35.8,23.0,11.0,29.8
Kevin Garnett,14.6,16.4,13.5,11.4
Kevin Love,31.5,11.9,16.2,23.3
Kevin Martin,19.9,8.9,5.1,21.7
Kevin Seraphin,11.0,15.7,11.4,21.9
Kevon Looney,4.1,0.0,23.3,14.0
Khris Middleton,36.1,18.3,5.4,22.4
Kirk Hinrich,13.7,17.3,5.2,11.3
Klay Thompson,33.3,9.4,5.5,26.0
Kobe Bryant,28.2,18.3,6.3,31.4
Kosta Koufos,19.0,3.4,13.8,15.2
Kostas Papanikolaou,11.3,7.7,6.7,14.1
Kris Humphries,15.7,6.8,12.6,18.9
Kristaps Porzingis,28.4,7.6,12.4,24.3
Kyle Anderson,16.0,14.0,10.4,14.3
Kyle Korver,30.0,9.5,5.3,13.2
Kyle Lowry,37.0,29.3,6.6,25.6
Kyle O'Quinn,11.8,16.1,15.5,20.6
Kyle Singler,14.4,3.5,6.8,11.3
Kyrie Irving,31.5,25.3,4.8,28.5
LaMarcus Aldridge,30.6,8.1,14.4,25.8
Lamar Patterson,11.3,13.4,6.5,12.3
Lance Stephenson,19.9,15.2,8.1,19.4
Lance Thomas,22.3,6.6,4.9,16.6
Langston Galloway,24.8,16.1,6.8,15.1
Larry Nance Jr.,20.1,5.5,12.0,12.4
Lavoy Allen,20.2,7.0,13.0,12.8
LeBron James,35.6,33.9,10.6,30.5
Leandro Barbosa,15.9,11.2,5.2,17.4
Lorenzo Brown,7.6,30.6,6.3,24.8
Lou Amundson,7.0,10.7,10.8,16.6
Lou Williams,28.5,14.9,4.3,22.1
Luc Mbah a Moute,17.0,3.2,6.5,9.5
Lucas Nogueira,7.7,4.4,9.9,12.0
Luis Montero,3.5,6.7,4.8,25.5
Luis Scola,21.5,6.6,11.4,19.0
Luke Babbitt,18.0,9.2,8.6,16.8
Luol Deng,32.4,8.7,9.4,16.8
Manu Ginobili,19.6,23.4,6.5,22.7
Marc Gasol,34.4,19.5,10.4,23.7
Marcelo Huertas,16.4,32.7,5.1,16.1
Marcin Gortat,30.1,7.2,16.1,18.6
Marco Belinelli,24.6,11.7,3.4,19.3
Marcus Morris Sr.,35.7,10.7,7.0,18.2
Marcus Smart,27.3,16.2,7.0,16.8
Marcus Thornton,18.2,12.5,6.5,23.5
Mario Chalmers,22.5,27.0,5.8,21.4
Mario Hezonja,17.9,11.3,6.2,16.6
Markel Brown,15.8,14.2,6.3,18.3
Markieff Morris,25.5,12.5,10.8,24.0
Marreese Speights,11.6,12.6,13.8,29.3
Marvin Williams,28.9,7.4,10.9,16.6
Mason Plumlee,25.4,16.1,14.9,17.1
Matt Barnes,28.8,11.7,9.5,17.5
Matt Bonner,6.9,6.1,7.3,14.0
Matthew Dellavedova,24.6,26.5,4.3,15.5
Maurice Harkless,18.7,6.8,9.2,15.3
Metta World Peace,16.9,7.8,6.9,16.2
Meyers Leonard,21.8,10.3,11.5,17.4
Michael Beasley,18.1,8.6,12.3,28.4
Michael Carter-Williams,30.5,26.4,8.5,20.6
Michael Kidd-Gilchrist,29.2,6.9,10.4,17.3
Mike Conley,31.4,32.4,4.8,22.5
Mike Dunleavy,22.7,7.6,5.8,14.1
Mike Miller,7.9,15.9,6.7,8.9
Mike Muscala,9.4,9.9,10.4,15.2
Mike Scott,15.3,10.6,8.7,17.1
Miles Plumlee,14.3,3.0,13.1,15.1
Mirza Teletovic,21.3,8.8,8.6,22.9
Mitch McGary,3.6,7.1,12.6,19.2
Mo Williams,18.2,23.1,4.7,22.2
Monta Ellis,33.8,22.2,4.8,20.8
Montrezl Harrell,9.7,6.7,8.2,14.1
Myles Turner,22.8,5.0,11.7,20.7
Nate Robinson,11.6,28.6,0.0,1.8
Nazr Mohammed,3.9,0.0,10.0,20.0
Nemanja Bjelica,17.9,11.5,10.1,12.3
Nene,19.2,14.5,12.3,21.8
Nerlens Noel,29.3,10.7,13.4,18.7
Nick Collison,11.9,10.3,11.8,10.5
Nick Young,19.1,5.8,4.6,18.2
Nicolas Batum,35.0,26.2,8.6,20.9
Nik Stauskas,24.8,11.9,4.9,16.3
Nikola Jokic,21.7,17.6,15.9,19.4
Nikola Mirotic,24.9,9.5,10.6,20.9
Nikola Pekovic,13.0,13.1,7.2,20.4
Nikola Vucevic,31.3,15.4,14.2,26.5
Noah Vonleh,15.0,3.7,12.8,13.0
Norman Powell,14.8,10.2,7.8,17.4
Norris Cole,26.6,21.9,6.3,21.2
O.J. Mayo,26.6,15.6,4.8,16.5
Omer Asik,17.3,3.2,17.2,11.4
Omri Casspi,27.3,7.4,10.4,17.4
Orlando Johnson,14.5,3.1,6.6,16.7
Otto Porter Jr.,30.3,7.6,8.6,15.9
P.J. Tucker,31.0,10.4,9.8,12.5
PJ Hairston,19.9,4.5,6.5,16.1
Pablo Prigioni,13.9,23.5,6.8,10.8
Pat Connaughton,4.2,11.5,9.9,17.8
Patrick Beverley,28.7,17.5,6.1,15.3
Patrick Patterson,25.6,7.0,8.5,12.7
Patty Mills,20.5,19.7,4.8,18.9
Pau Gasol,31.8,21.5,16.1,24.4
Paul George,34.8,20.3,9.7,29.6
Paul Millsap,32.7,16.2,13.4,23.8
Paul Pierce,18.1,8.8,7.4,17.7
Phil Pressey,12.3,39.5,5.0,17.4
Quincy Acy,14.8,4.5,10.4,12.8
RJ Hunter,8.7,6.8,5.6,15.0
Rajon Rondo,35.2,47.3,8.3,18.6
Rakeem Christmas,6.1,0.0,16.7,14.3
Ramon Sessions,20.3,22.8,6.1,21.4
Randy Foye,20.3,14.4,4.5,15.7
Rashad Vaughn,14.3,5.5,4.4,13.0
Rasual Butler,9.4,7.9,6.7,12.3
Raul Neto,18.5,19.0,4.2,17.2
Ray McCallum,11.6,18.5,4.9,16.4
Raymond Felton,27.4,20.5,5.8,17.9
Reggie Bullock,11.6,10.0,7.8,11.3
Reggie Jackson,30.7,34.4,5.1,28.3
Richard Jefferson,17.9,7.0,4.8,13.3
Richaun Holmes,13.8,7.3,9.4,17.1
Ricky Rubio,30.6,40.2,7.2,17.3
Robert Covington,28.4,8.3,10.6,20.9
Robert Sacre,12.8,7.2,10.4,13.9
Robin Lopez,27.1,8.3,13.3,17.4
Rodney Hood,32.2,14.2,5.6,21.5
Rodney Stuckey,22.0,17.9,6.0,20.2
Rondae Hollis-Jefferson,21.2,10.0,12.0,13.1
Ronnie Price,19.5,18.7,3.9,13.5
Roy Hibbert,23.2,8.2,10.0,13.0
Rudy Gay,34.0,7.8,9.4,22.2
Rudy Gobert,31.7,7.3,18.0,14.3
Russ Smith,4.4,31.4,7.1,21.9
Russell Westbrook,34.4,46.8,10.9,31.1
Ryan Anderson,30.4,5.9,9.7,23.8
Ryan Hollins,12.4,3.4,10.7,11.6
Ryan Kelly,13.1,7.0,11.9,17.3
Salah Mejri,11.7,3.8,14.9,13.8
Sam Dekker,2.0,0.0,8.3,0.0
