Player,Minutes,AST %,REB %,USG %
Aaron Gordon,29.4,22.3,10.9,23.6
Aaron Holiday,18.0,13.0,3.3,19.0
Aaron Nesmith,15.3,3.0,7.9,11.4
Abdel Nader,14.8,7.8,8.8,18.3
Adam Mokoka,5.2,16.7,4.4,14.8
Al Horford,27.9,20.6,11.4,22.1
Al-Farouq Aminu,21.6,11.6,12.2,14.5
Alec Burks,25.7,13.3,8.2,20.8
Aleksej Pokusevski,21.8,10.8,9.9,16.8
Alen Smailagic,4.3,0.0,0.0,23.5
Alex Caruso,19.9,16.6,7.1,13.6
Alex Len,14.5,9.3,11.9,15.7
Alfonzo McKinnie,5.3,2.6,9.6,15.5
Alize Johnson,33.0,18.8,19.0,20.3
Amir Coffey,7.4,9.8,4.2,15.9
Andre Drummond,28.9,15.1,24.3,30.3
Andre Iguodala,21.3,14.9,8.4,10.9
Andre Roberson,12.6,9.8,11.8,11.7
Andrew Wiggins,32.2,10.5,6.8,22.8
Anfernee Simons,16.6,13.9,6.5,20.6
Anthony Davis,32.8,14.6,13.0,27.4
Anthony Edwards,30.3,13.2,6.7,26.4
Anthony Gill,5.5,10.0,12.3,10.0
Anthony Lamb,15.4,2.9,10.8,12.6
Anzejs Pasecniks,6.3,33.3,8.3,37.5
Aron Baynes,18.7,7.1,14.1,15.9
Ashton Hagans,2.0,0.0,0.0,8.3
Austin Rivers,21.1,14.5,5.1,16.2
Avery Bradley,21.1,10.4,4.2,16.2
Axel Toupane,3.4,0.0,6.7,14.3
Bam Adebayo,33.7,27.2,14.2,23.6
Ben McLemore,16.2,8.0,5.9,19.6
Ben Simmons,34.1,32.0,11.6,20.9
Bismack Biyombo,21.7,8.7,11.7,11.3
Blake Griffin,30.0,18.1,8.3,19.0
Boban Marjanovic,7.6,4.3,24.5,25.0
Bobby Portis,21.0,7.4,15.2,18.9
Bogdan Bogdanovic,23.4,14.9,6.7,18.7
Bojan Bogdanovic,30.2,9.1,6.0,20.6
Bol Bol,5.3,8.3,7.5,17.7
Brad Wanamaker,16.0,22.8,5.0,15.9
Bradley Beal,35.7,22.3,7.0,33.7
Brandon Clarke,26.1,8.6,10.5,17.1
Brandon Goodwin,11.0,23.9,4.3,18.9
Brandon Ingram,34.3,21.3,7.4,27.8
Brian Bowen II,3.3,0.0,5.6,11.8
Brodric Thomas,7.0,19.1,4.9,19.6
Brook Lopez,27.3,3.3,8.7,16.1
Bruce Brown,21.0,9.6,10.9,15.9
Bruno Caboclo,6.1,4.8,15.9,23.2
Bruno Fernando,7.7,8.7,17.9,12.1
Bryn Forbes,18.8,4.2,3.1,17.9
Buddy Hield,35.1,12.4,6.5,20.0
CJ Elleby,8.3,3.9,5.5,13.9
CJ McCollum,32.0,22.8,5.9,28.5
Caleb Martin,14.2,11.6,8.1,17.5
Cam Reddish,28.9,6.6,6.8,18.3
Cameron Johnson,23.7,7.9,7.0,16.8
Cameron Payne,17.1,29.5,6.4,17.5
Caris LeVert,29.3,28.5,7.1,27.4
Carmelo Anthony,25.7,10.9,6.1,23.3
Carsen Edwards,10.2,8.1,5.7,19.3
Cassius Stanley,2.9,0.0,10.5,20.9
Cassius Winston,6.3,29.4,5.6,12.6
Cedi Osman,25.1,15.9,7.0,19.6
Chandler Hutchison,9.1,8.2,14.6,15.0
Chasson Randle,20.5,19.0,4.5,12.1
Chimezie Metu,6.7,9.6,14.1,22.9
Chris Boucher,23.7,6.6,13.1,20.3
Chris Chiozza,10.3,40.2,4.7,20.6
Chris Paul,31.7,39.2,7.6,21.7
Chris Silva,7.5,11.1,16.0,14.9
Christian Wood,30.8,7.4,15.4,26.5
Chuma Okeke,21.7,11.8,7.3,10.6
Clint Capela,29.3,5.0,22.8,19.4
Coby White,31.7,21.1,7.0,22.0
Cody Martin,13.3,13.3,9.1,12.7
Cody Zeller,22.3,14.1,16.1,17.9
Cole Anthony,26.7,21.8,7.8,21.5
Collin Sexton,35.9,20.8,3.8,27.6
Cory Joseph,21.5,15.2,5.2,14.2
Cristiano Felicio,5.7,23.8,14.6,11.0
D'Angelo Russell,29.2,29.6,4.2,29.4
D.J. Augustin,19.4,20.1,3.5,14.1
D.J. Wilson,9.7,4.4,10.5,18.8
DaQuan Jeffries,13.7,2.5,5.5,12.6
Dakota Mathias,15.4,15.7,2.3,16.6
Damian Jones,9.3,3.5,10.2,11.2
