Player,Minutes,AST %,REB %,USG %
AJ Hammons,7.4,3.8,10.6,16.5
Aaron Brooks,13.7,21.6,3.7,18.6
Aaron Gordon,28.7,9.7,8.6,19.7
Aaron Harrison,3.3,37.5,8.3,13.2
Adreian Payne,7.5,8.9,11.7,21.9
Al Horford,32.3,23.9,10.5,19.6
Al Jefferson,14.1,11.4,14.8,25.4
Al-Farouq Aminu,29.1,8.2,12.6,15.5
Alan Anderson,10.3,5.2,3.9,13.7
Alan Williams,15.1,4.9,18.8,20.3
Alec Burks,15.5,7.4,9.1,21.2
Alex Abrines,15.5,5.5,4.0,15.3
Alex Len,20.3,4.3,15.4,17.4
Alex Poythress,26.1,5.2,9.2,16.2
Alexis Ajinca,15.0,3.1,14.0,16.6
Allen Crabbe,28.5,6.3,5.0,14.6
Alonzo Gee,6.9,9.2,7.7,10.3
Amir Johnson,20.1,12.5,11.3,13.6
Anderson Varejao,6.6,15.2,14.1,12.0
Andre Drummond,29.7,6.0,22.9,22.2
Andre Iguodala,26.3,16.9,7.4,11.1
Andre Roberson,30.1,4.5,8.1,9.9
Andrew Bogut,21.6,13.3,18.9,10.4
Andrew Harrison,20.5,20.9,4.6,16.2
Andrew Nicholson,9.0,4.7,8.9,17.2
Andrew Wiggins,37.2,10.4,5.6,28.6
Anthony Bennett,11.5,7.5,14.0,18.8
Anthony Brown,14.5,8.0,9.5,15.2
Anthony Davis,36.1,11.0,15.5,32.1
Anthony Morrow,14.6,5.2,2.0,15.8
Anthony Tolliver,22.7,7.7,8.4,13.3
Archie Goodwin,14.3,18.6,6.6,20.3
Arinze Onuaku,3.5,14.3,10.9,9.7
Aron Baynes,15.5,3.9,13.8,13.9
Arron Afflalo,25.9,7.7,4.2,14.3
Austin Rivers,27.8,15.5,3.9,19.8
Avery Bradley,33.4,10.7,9.0,21.5
Axel Toupane,11.9,0.0,1.0,8.4
Ben Bentil,3.3,0.0,11.1,16.0
Ben McLemore,19.3,6.8,5.7,19.7
