Player,Minutes,AST %,REB %,USG %
Devontae Cacok,8.9,12.5,23.8,22.2
Devonte' Graham,35.1,34.5,4.7,24.3
Dewan Hernandez,4.7,12.5,22.2,25.7
Dewayne Dedmon,17.6,4.1,15.7,17.9
Dillon Brooks,28.9,10.4,5.4,24.7
Dion Waiters,20.7,15.6,5.6,24.3
Domantas Sabonis,34.8,21.5,17.7,22.9
Donovan Mitchell,34.3,21.4,6.4,30.3
Donta Hall,14.8,4.8,13.9,10.9
Donte DiVincenzo,23.0,13.4,9.3,16.8
Dorian Finney-Smith,29.9,7.3,9.0,12.8
Doug McDermott,19.9,8.1,5.9,18.6
Dragan Bender,17.8,14.2,12.6,18.0
Draymond Green,28.4,31.0,10.4,15.6
Drew Eubanks,12.4,8.9,15.1,15.0
Duncan Robinson,29.7,6.8,5.4,15.7
Dusty Hannahs,6.7,0.0,3.2,28.6
Dwayne Bacon,17.6,12.1,6.9,18.9
Dwight Howard,18.9,4.8,19.1,14.6
Dwight Powell,26.5,7.6,10.2,12.6
Dzanan Musa,12.2,13.1,7.9,19.3
E'Twaun Moore,18.2,11.0,6.0,19.6
Ed Davis,10.8,6.2,16.8,9.2
Edmond Sumner,14.4,16.7,4.9,16.7
Elfrid Payton,27.7,34.7,8.1,19.0
Elie Okobo,13.1,22.7,6.1,14.7
Emmanuel Mudiay,15.7,21.2,7.1,21.8
Enes Kanter,17.0,8.4,20.8,18.6
Eric Bledsoe,27.0,27.5,7.7,23.3
Eric Gordon,28.2,8.0,3.2,21.5
Eric Mika,19.0,0.0,18.9,8.9
Eric Paschall,27.6,12.6,8.1,20.7
Ersan Ilyasova,15.7,6.5,13.8,15.8
Evan Fournier,31.4,16.0,4.0,23.7
Evan Turner,13.2,23.5,6.7,15.4
Frank Jackson,13.5,10.7,4.8,20.3
Frank Kaminsky,19.9,14.4,11.0,20.4
Frank Mason,13.1,37.2,6.6,22.8
Frank Ntilikina,20.8,20.9,4.9,15.2
Fred VanVleet,35.7,28.1,5.0,21.8
Furkan Korkmaz,21.7,7.3,5.2,17.7
Gabe Vincent,9.2,12.0,2.7,19.6
Garrett Temple,27.9,13.2,5.6,16.2
Garrison Mathews,12.6,6.3,5.0,13.7
Gary Clark,13.5,4.3,8.6,10.5
Gary Harris,31.8,9.1,4.6,15.0
Gary Payton II,14.9,15.8,8.8,12.9
Gary Trent Jr.,21.8,6.4,3.5,15.0
George Hill,21.5,19.6,6.3,15.2
Georges Niang,14.0,6.9,6.6,16.3
Giannis Antetokounmpo,30.4,32.8,19.6,36.3
