Player,Minutes,AST %,REB %,USG %
Aaron Gordon,33.8,16.6,10.6,21.3
Aaron Holiday,12.9,18.0,4.9,20.6
Abdel Nader,11.4,4.4,7.5,14.8
Al Horford,29.0,20.3,11.3,18.8
Al-Farouq Aminu,28.3,5.7,12.7,13.4
Alan Williams,5.1,17.6,26.4,22.2
Alec Burks,21.5,14.2,8.4,18.5
Alex Abrines,19.0,4.7,3.6,12.0
Alex Caruso,21.2,20.5,5.8,18.4
Alex Len,20.1,8.6,12.4,21.4
Alex Poythress,14.5,8.5,11.7,14.0
Alfonzo McKinnie,13.9,4.1,11.4,13.1
Alize Johnson,4.6,1.8,12.2,11.6
Allen Crabbe,26.4,5.9,6.0,15.9
Allonzo Trier,22.8,13.1,6.3,20.7
Amile Jefferson,5.7,5.2,15.8,12.5
Amir Johnson,10.4,15.6,13.3,16.9
Andre Drummond,33.5,6.8,22.8,22.6
Andre Iguodala,23.2,17.3,7.6,10.1
Andre Ingram,3.7,0.0,5.6,18.4
Andrew Bogut,12.2,10.4,20.8,14.8
Andrew Harrison,10.9,19.4,5.3,17.1
Andrew Wiggins,34.8,10.8,6.5,24.0
Anfernee Simons,7.0,13.5,4.6,24.0
Angel Delgado,7.4,0.0,10.5,15.0
Ante Zizic,18.3,7.5,14.4,17.8
Anthony Davis,33.0,18.6,17.0,28.8
Anthony Tolliver,16.6,5.9,7.5,12.1
Antonio Blakeney,14.5,7.9,6.1,24.0
Aron Baynes,16.1,9.2,13.9,14.7
Austin Rivers,26.7,12.0,3.8,14.2
Avery Bradley,30.2,11.4,4.4,16.0
BJ Johnson,7.1,0.0,8.6,17.8
Bam Adebayo,23.3,14.6,15.1,15.7
Ben McLemore,8.3,3.5,5.3,18.5
Ben Simmons,34.2,34.1,12.2,21.5
Billy Garrett,15.9,18.9,2.2,21.5
Bismack Biyombo,14.5,6.4,15.1,12.8
Blake Griffin,35.0,26.8,10.5,29.6
Boban Marjanovic,11.7,12.8,18.0,22.2
Bobby Portis,26.0,8.5,15.4,24.1
Bogdan Bogdanovic,27.8,19.9,5.8,22.0
Bojan Bogdanovic,31.8,9.5,6.4,21.9
Bonzie Colson,12.3,4.0,12.2,17.4
Brad Wanamaker,9.5,22.5,5.4,16.2
Bradley Beal,36.9,23.3,6.6,27.8
Brandon Goodwin,3.6,29.8,2.6,22.0
Brandon Ingram,33.9,12.7,6.9,22.7
Brandon Knight,18.9,14.7,3.9,17.8
Brandon Sampson,15.3,6.3,3.8,15.4
Brook Lopez,28.7,5.5,7.9,16.5
Bruce Brown,19.6,8.7,6.2,11.3
Bruno Caboclo,23.5,9.1,9.3,15.0
Bryn Forbes,28.0,10.5,5.3,17.1
Buddy Hield,31.9,11.7,7.2,24.3
C.J. Williams,8.5,15.8,2.9,13.8
CJ McCollum,33.9,13.3,5.6,24.8
CJ Miles,16.2,6.1,5.1,17.3
Caleb Swanigan,8.5,9.8,15.6,17.0
Cameron Payne,17.8,22.5,5.0,16.9
Cameron Reynolds,13.7,7.3,5.7,14.1
Caris LeVert,26.6,23.1,6.5,23.5
Carmelo Anthony,29.4,2.8,8.8,19.9
Cedi Osman,32.2,12.0,7.3,18.2
Chandler Hutchison,20.3,5.5,10.0,12.1
Chandler Parsons,19.8,14.3,6.6,19.2
Channing Frye,9.5,10.0,7.5,17.4
Chasson Randle,15.2,18.2,3.6,16.0
Cheick Diallo,14.0,5.1,17.1,15.5
Chimezie Metu,5.0,14.0,12.1,22.3
Chris Boucher,5.8,2.0,14.8,21.4
Chris Chiozza,4.6,19.0,5.3,10.8
Chris Paul,32.0,38.2,7.0,22.0
Christian Wood,11.9,5.1,14.7,24.7
Clint Capela,33.6,7.0,18.5,18.0
Cody Zeller,25.4,11.4,12.7,15.9
Collin Sexton,31.8,15.4,4.5,24.7
Corey Brewer,15.9,10.7,7.0,13.0
Cory Joseph,25.2,20.8,6.6,13.4
Courtney Lee,12.6,13.0,6.0,15.0
Cristiano Felicio,12.4,7.0,14.3,13.8
D'Angelo Russell,30.2,39.2,6.0,31.1
D.J. Augustin,28.0,25.8,4.4,16.9
D.J. Wilson,18.4,8.0,11.2,14.1
DJ Stephens,6.7,0.0,0.0,13.0
Dairis Bertans,13.9,7.8,2.4,12.0
Damian Jones,17.1,8.4,9.4,11.3
Damian Lillard,35.5,29.9,6.2,28.1
Damion Lee,11.7,5.1,7.8,16.4
Damyean Dotson,27.4,10.4,6.1,16.9
Daniel Hamilton,10.7,15.7,10.2,15.3
Daniel Theis,13.8,10.8,11.6,15.0
Danilo Gallinari,30.3,13.4,10.1,23.7
Danny Green,27.7,7.3,7.0,13.9
Dante Cunningham,14.5,7.2,9.8,8.6
Dante Exum,15.8,25.1,5.1,20.7
Danuel House Jr.,25.1,5.8,6.9,13.7
Dario Saric,25.0,8.9,10.6,17.2
Darius Miller,25.5,10.7,3.3,13.1
Darren Collison,28.2,30.2,5.4,17.6
Daryl Macon,11.2,12.3,5.7,16.7
David Nwaba,19.3,7.7,8.2,14.1
Davis Bertans,21.5,7.9,8.0,13.5
Davon Reed,4.7,6.8,5.2,10.4
De'Aaron Fox,31.4,32.2,5.4,23.8
De'Anthony Melton,19.7,21.4,6.8,14.7
DeAndre Jordan,29.7,11.9,21.0,14.8
DeAndre' Bembry,23.6,15.0,8.6,16.8
DeMar DeRozan,34.9,27.7,8.5,27.7
DeMarcus Cousins,25.7,20.6,15.3,28.1
DeMarre Carroll,25.4,7.5,9.4,18.1
DeVaughn Akoon-Purcell,3.1,37.5,9.3,22.8
Deandre Ayton,30.7,9.4,16.9,21.0
Delon Wright,22.6,21.7,7.4,17.2
Demetrius Jackson,6.6,18.5,3.5,18.2
Deng Adel,10.2,3.8,4.8,9.7
Dennis Schroder,29.3,20.9,5.7,23.8
Dennis Smith Jr.,28.5,27.8,4.8,24.2
Deonte Burton,7.5,5.7,5.1,15.9
Derrick Favors,23.2,7.9,15.2,18.8
Derrick Jones Jr.,19.2,4.9,9.7,15.1
Derrick Rose,27.3,24.4,4.6,26.1
Derrick White,25.8,20.6,7.2,17.8
Devin Booker,35.0,32.7,5.8,32.0
Devin Harris,15.7,17.2,4.9,18.0
Devin Robinson,13.5,9.5,9.9,17.6
Devonte' Graham,14.7,26.6,4.4,16.6
Dewayne Dedmon,25.1,7.9,14.5,16.6
Deyonta Davis,13.2,6.3,12.2,9.9
Dillon Brooks,18.3,7.9,5.1,20.7
Dion Waiters,25.9,16.4,4.9,21.3
Dirk Nowitzki,15.6,6.8,9.2,21.7
Domantas Sabonis,24.8,18.0,18.4,22.6
Donatas Motiejunas,4.3,20.0,11.5,32.3
Donovan Mitchell,33.7,20.9,5.8,30.9
Donte DiVincenzo,15.2,10.2,6.9,14.5
Donte Grantham,0.8,0.0,0.0,33.3
Dorian Finney-Smith,24.5,7.0,9.2,13.5
Doug McDermott,17.4,7.0,3.9,15.2
Dragan Bender,18.0,9.4,10.5,13.0
Draymond Green,31.3,26.1,11.2,12.8
Drew Eubanks,4.9,10.0,14.3,14.8
Duncan Robinson,10.7,4.5,5.2,13.4
Dusty Hannahs,13.0,35.7,1.6,22.2
Dwayne Bacon,17.6,9.2,5.7,16.7
Dwight Howard,25.5,2.6,17.7,19.3
Dwight Powell,21.6,10.1,12.0,16.7
Dwyane Wade,26.2,26.4,6.9,26.9
Dzanan Musa,4.4,8.3,5.4,25.0
E'Twaun Moore,27.6,9.3,4.1,17.0
Ed Davis,17.9,6.4,22.0,12.5
Edmond Sumner,9.1,6.3,5.1,15.7
Ekpe Udoh,6.3,13.1,14.2,12.8
Elfrid Payton,29.8,31.8,8.3,17.7
Elie Okobo,18.1,19.8,5.1,16.8
Emanuel Terry,7.6,12.5,18.4,18.3
Emmanuel Mudiay,27.2,24.2,5.7,24.8
Enes Kanter,24.5,12.0,18.8,21.9
Eric Bledsoe,29.1,26.0,7.4,22.5
Eric Gordon,31.7,9.0,3.3,21.5
Eric Moreland,8.6,15.4,24.1,11.7
Ersan Ilyasova,18.4,5.6,11.2,15.1
Evan Fournier,31.5,17.0,5.0,21.7
Evan Turner,22.0,24.2,9.6,15.8
Frank Jackson,19.2,8.0,5.2,17.8
Frank Kaminsky,16.1,12.9,10.4,21.6
Frank Mason,11.5,28.0,4.7,21.3
Frank Ntilikina,21.0,19.5,4.5,16.3
Fred VanVleet,27.5,24.3,4.6,17.7
Furkan Korkmaz,14.2,10.7,7.7,17.4
Garrett Temple,27.2,7.5,5.3,13.1
Gary Clark,12.6,4.0,8.7,10.6
Gary Harris,28.8,11.0,4.7,19.5
Gary Payton II,5.3,33.3,5.7,21.4
Gary Trent Jr.,7.4,5.7,4.8,21.3
George Hill,21.7,14.6,5.2,14.7
George King,5.9,0.0,9.1,0.0
Georges Niang,8.8,10.7,8.1,17.0
Gerald Green,20.2,4.1,5.9,19.0
Giannis Antetokounmpo,32.8,29.4,17.6,31.4
Glenn Robinson III,13.0,5.3,5.6,14.6
Goran Dragic,27.5,25.9,5.2,22.4
Gordon Hayward,25.9,18.5,8.3,18.3
Gorgui Dieng,13.6,10.6,14.5,19.4
Grayson Allen,11.0,10.2,2.7,23.8
Greg Monroe,11.2,7.9,16.5,21.1
Guerschon Yabusele,6.1,8.8,9.4,16.8
Hamidou Diallo,10.3,4.4,8.6,16.0
Harrison Barnes,32.9,6.9,6.6,20.2
Harry Giles III,14.1,15.5,12.5,22.7
Hassan Whiteside,23.3,5.4,22.2,21.5
Haywood Highsmith,8.0,6.7,6.0,11.5
Henry Ellenson,13.6,9.6,11.7,18.6
Ian Clark,16.2,13.2,4.2,18.5
Ian Mahinmi,14.6,7.3,12.3,12.8
Ike Anigbogu,2.1,20.0,20.0,26.7
Iman Shumpert,23.9,9.8,5.7,14.3
Isaac Bonga,5.5,16.3,8.9,15.1
Isaac Humphries,11.3,0.0,8.5,14.2
Isaiah Briscoe,14.3,22.6,6.0,13.9
Isaiah Canaan,20.9,19.4,4.7,14.7
Isaiah Hartenstein,7.9,10.0,10.3,11.2
Isaiah Hicks,10.8,11.8,10.3,15.3
Isaiah Thomas,15.1,19.8,3.1,27.4
Ish Smith,22.3,24.3,5.5,19.3
Ivan Rabb,14.7,12.3,14.6,16.6
Ivica Zubac,17.6,9.3,16.4,19.9
J.J. Barea,19.8,45.4,6.0,26.3
J.P. Macura,8.4,20.0,7.3,20.9
JJ Redick,31.3,12.9,3.6,20.9
JR Smith,20.2,13.3,3.9,17.6
JaKarr Sampson,31.8,5.2,11.7,23.4
JaMychal Green,21.1,5.8,14.3,18.5
JaVale McGee,22.3,4.5,15.9,19.7
Jabari Parker,26.9,14.0,11.7,23.6
Jacob Evans,6.8,15.0,5.7,13.4
Jae Crowder,27.1,9.0,8.3,18.3
Jahlil Okafor,15.8,6.4,14.0,19.8
Jake Layman,18.7,5.6,7.9,15.6
Jakob Poeltl,16.5,9.9,15.4,12.5
Jalen Brunson,21.8,22.3,5.0,18.6
Jalen Jones,13.4,5.0,8.0,16.2
Jamal Crawford,18.9,28.3,3.4,19.8
Jamal Murray,32.6,22.0,6.3,24.1
James Ennis III,21.2,4.7,7.4,12.5
James Harden,36.8,39.4,8.9,39.6
James Johnson,21.2,16.7,7.1,17.7
James Nunnally,6.8,9.7,2.5,15.3
Jared Dudley,20.7,9.3,6.1,10.4
Jared Terrell,7.9,18.2,2.5,19.7
Jarell Martin,7.8,7.8,10.6,15.3
Jaren Jackson Jr.,26.1,7.4,9.0,23.1
