Player,Minutes,AST %,REB %,USG %
Aaron Brooks,5.9,16.1,4.6,19.2
Aaron Gordon,32.9,11.1,11.6,23.8
Aaron Harrison,25.9,7.2,4.9,14.7
Aaron Jackson,34.5,5.3,4.4,14.9
Abdel Nader,10.9,7.8,6.7,16.2
Adreian Payne,8.5,0.0,11.8,15.5
Al Horford,31.6,22.5,11.5,18.3
Al Jefferson,13.4,9.8,14.4,21.8
Al-Farouq Aminu,30.0,5.6,12.1,14.5
Alan Williams,14.1,19.5,14.8,18.4
Alec Burks,16.5,10.4,9.4,22.1
Alec Peters,11.2,7.3,7.6,15.1
Alex Abrines,15.1,3.6,4.9,12.6
Alex Caruso,15.2,18.5,5.6,12.8
Alex Len,20.2,9.3,17.2,16.4
Alex Poythress,4.2,2.6,8.0,11.2
Alfonzo McKinnie,3.8,2.9,6.8,16.7
Allen Crabbe,29.3,8.2,7.0,18.3
Amir Johnson,15.8,13.7,13.6,12.5
Andre Drummond,33.7,14.0,23.4,20.7
Andre Iguodala,25.4,16.9,7.4,11.2
Andre Ingram,32.1,14.9,4.6,13.6
Andre Roberson,26.6,5.9,8.8,8.5
Andrew Bogut,9.0,9.9,16.2,8.5
Andrew Harrison,23.7,22.2,5.1,19.5
Andrew White III,13.9,5.0,7.2,16.0
Andrew Wiggins,36.3,8.0,6.1,22.8
Ante Zizic,6.7,3.9,14.5,17.1
Anthony Brown,3.7,33.3,0.0,10.0
Anthony Davis,36.4,10.4,14.6,29.1
Anthony Tolliver,22.2,7.6,6.7,14.4
Antonio Blakeney,16.5,9.6,4.9,22.7
Antonius Cleveland,7.2,2.5,5.2,10.7
Aron Baynes,18.3,9.5,14.1,16.6
Arron Afflalo,12.9,6.6,4.6,12.7
Austin Rivers,33.7,17.9,3.5,20.6
Avery Bradley,31.2,10.5,4.0,22.9
Bam Adebayo,19.8,11.5,14.0,15.7
Ben McLemore,19.5,7.8,6.4,18.2
Ben Moore,4.6,11.1,5.9,0.0
Ben Simmons,33.7,36.2,11.5,21.9
Bismack Biyombo,18.2,7.0,14.9,14.6
Blake Griffin,34.0,28.6,10.6,28.5
Boban Marjanovic,8.7,10.0,21.5,27.6
Bobby Brown,5.7,19.0,2.9,25.2
Bobby Portis,22.5,12.6,14.5,25.0
Bogdan Bogdanovic,27.9,18.3,5.3,19.2
Bojan Bogdanovic,30.8,7.1,5.5,18.5
Bradley Beal,36.3,20.6,6.2,26.8
Brandan Wright,13.6,5.6,12.4,14.0
Brandon Ingram,33.5,17.7,7.4,21.8
Brandon Jennings,14.7,33.1,7.3,19.1
Brandon Paul,9.0,9.6,6.0,13.1
Briante Weber,13.1,13.9,7.4,11.1
Brice Johnson,5.4,3.0,14.8,19.3
Brook Lopez,23.4,11.3,8.1,23.0
Bruno Caboclo,8.9,5.6,10.2,15.2
Bryn Forbes,19.0,7.7,3.6,15.9
Buddy Hield,25.3,12.7,7.6,23.6
C.J. Williams,18.6,8.6,3.8,13.4
CJ McCollum,36.1,15.6,5.3,25.9
CJ Miles,19.1,6.1,5.4,21.3
Caleb Swanigan,7.0,12.4,13.9,18.9
Cameron Payne,23.3,29.4,5.6,18.3
