Player,PP100Pos
Aaron Gordon,23.8
Aaron Holiday,17.9
Aaron Nesmith,12.5
Abdel Nader,21.1
Adam Mokoka,12.6
Al Horford,24.3
Al-Farouq Aminu,12.4
Alec Burks,24.0
Aleksej Pokusevski,11.8
Alen Smailagic,18.5
Alex Caruso,14.0
Alex Len,19.0
Alfonzo McKinnie,21.4
Alize Johnson,33.3
Amir Coffey,19.5
Andre Drummond,29.5
Andre Iguodala,10.6
Andre Roberson,4.7
Andrew Wiggins,25.3
Anfernee Simons,23.4
Anthony Davis,33.2
Anthony Edwards,26.0
Anthony Gill,7.8
Anthony Lamb,7.8
Anzejs Pasecniks,0.0
Aron Baynes,15.2
Ashton Hagans,0.0
Austin Rivers,17.3
Avery Bradley,18.9
Axel Toupane,0.0
Bam Adebayo,27.8
Ben McLemore,19.0
Ben Simmons,22.0
Bismack Biyombo,12.3
Blake Griffin,19.2
Boban Marjanovic,28.0
Bobby Portis,24.3
Bogdan Bogdanovic,20.7
Bojan Bogdanovic,23.8
Bol Bol,18.5
Brad Wanamaker,14.0
Bradley Beal,40.6
Brandon Clarke,21.1
Brandon Goodwin,17.1
Brandon Ingram,34.2
Brian Bowen II,20.0
Brodric Thomas,23.5
Brook Lopez,19.5
Bruce Brown,18.9
Bruno Caboclo,21.0
Bruno Fernando,8.7
Bryn Forbes,23.5
Buddy Hield,22.5
CJ Elleby,15.1
CJ McCollum,35.6
Caleb Martin,17.4
Cam Reddish,18.1
Cameron Johnson,20.5
Cameron Payne,19.5
Caris LeVert,28.2
Carmelo Anthony,26.3
Carsen Edwards,24.3
Cassius Stanley,18.8
Cassius Winston,16.2
Cedi Osman,19.4
Chandler Hutchison,9.0
Chasson Randle,12.9
Chimezie Metu,25.3
Chris Boucher,27.8
Chris Chiozza,18.3
Chris Paul,24.2
Chris Silva,16.9
Christian Wood,32.9
Chuma Okeke,10.7
Clint Capela,24.0
Coby White,22.2
Cody Martin,14.2
Cody Zeller,19.4
Cole Anthony,19.7
Collin Sexton,32.1
Cory Joseph,14.6
Cristiano Felicio,12.8
D'Angelo Russell,31.0
D.J. Augustin,14.8
D.J. Wilson,20.0
DaQuan Jeffries,13.1
Dakota Mathias,18.3
Damian Jones,15.0
Damian Lillard,40.3
Damion Lee,16.3
Damyean Dotson,16.7
Daniel Gafford,18.1
Daniel Oturu,17.6
Daniel Theis,18.5
Danilo Gallinari,26.4
Danny Green,14.9
Dante Exum,9.3
Danuel House Jr.,16.4
Dario Saric,25.3
Darius Bazley,18.4
Darius Garland,24.2
Darius Miller,15.0
David Nwaba,19.0
Davis Bertans,19.5
De'Aaron Fox,32.7
De'Andre Hunter,24.0
De'Anthony Melton,23.1
DeAndre Jordan,15.6
DeAndre' Bembry,13.2
DeMar DeRozan,28.8
DeMarcus Cousins,22.3
Dean Wade,15.6
