Player,PP100Pos
Deandre Ayton,23.6
Deividas Sirvydis,3.7
Dejounte Murray,23.7
Delon Wright,17.5
Deni Avdija,12.8
Dennis Schroder,22.8
Dennis Smith Jr.,18.4
Denzel Valentine,18.5
Derrick Favors,17.8
Derrick Jones Jr.,14.7
Derrick Rose,27.2
Derrick White,23.3
Desmond Bane,19.8
Devin Booker,36.4
Devin Vassell,14.6
Devon Dotson,17.4
Devontae Cacok,18.8
Devonte' Graham,21.2
Dillon Brooks,25.8
Domantas Sabonis,26.5
Donovan Mitchell,36.1
Donte DiVincenzo,18.0
Dorian Finney-Smith,13.2
Doug McDermott,24.8
Draymond Green,9.3
Drew Eubanks,16.2
Duncan Robinson,18.5
Dwayne Bacon,19.1
Dwight Howard,18.1
Dwight Powell,15.6
Dylan Windler,14.8
E'Twaun Moore,13.9
Ed Davis,7.8
Edmond Sumner,20.6
Elfrid Payton,22.1
Elijah Hughes,26.8
Enes Kanter,22.1
Eric Bledsoe,18.5
Eric Gordon,28.6
Eric Paschall,25.5
Ersan Ilyasova,0.0
Evan Fournier,30.9
Facundo Campazzo,13.6
Frank Jackson,19.0
Frank Kaminsky,21.2
Frank Mason,15.5
Frank Ntilikina,14.6
Fred VanVleet,26.2
Furkan Korkmaz,22.3
Gabe Vincent,19.7
Garrett Temple,14.0
Garrison Mathews,17.2
Gary Clark,8.9
Gary Harris,15.5
Gary Trent Jr.,23.4
George Hill,21.9
Georges Niang,17.9
Giannis Antetokounmpo,38.8
Glenn Robinson III,15.3
Goga Bitadze,19.0
Goran Dragic,24.7
Gordon Hayward,28.0
Gorgui Dieng,21.9
Grant Williams,13.1
Grayson Allen,18.9
Greg Whittington,0.0
Hamidou Diallo,23.3
Harrison Barnes,21.1
Harry Giles III,11.8
Hassan Whiteside,25.2
Henry Ellenson,18.1
Ignas Brazdeikis,12.5
Iman Shumpert,8.7
Immanuel Quickley,31.6
Isaac Bonga,8.3
Isaac Okoro,12.2
Isaiah Hartenstein,18.2
Isaiah Joe,17.0
Isaiah Roby,18.7
Isaiah Stewart,15.9
Ish Smith,11.5
Ivica Zubac,19.8
JJ Redick,21.7
Ja Morant,28.3
JaKarr Sampson,18.6
JaMychal Green,21.6
JaVale McGee,25.4
Jabari Parker,13.6
Jaden McDaniels,12.8
Jae Crowder,17.9
Jae'Sean Tate,17.3
Jahlil Okafor,20.2
Jahmi'us Ramsey,18.4
Jake Layman,16.9
Jakob Poeltl,13.9
Jalen Brunson,24.2
Jalen Harris,10.0
Jalen Lecque,18.5
Jalen McDaniels,17.4
Jalen Smith,13.4
Jamal Murray,29.1
James Ennis III,16.5
James Harden,31.9
James Johnson,15.7
James Wiseman,25.4
Jared Dudley,3.7
Jared Harper,11.1
Jarred Vanderbilt,14.3
Jarrell Brantley,20.5
Jarrett Allen,22.0
Jarrett Culver,16.6
Javonte Green,14.5
Jaxson Hayes,19.1
Jaylen Adams,4.8
Jaylen Brown,34.6
Jaylen Nowell,25.6
Jayson Tatum,33.5
Jeff Green,17.0
Jeff Teague,18.2
Jerami Grant,32.0
Jeremy Lamb,23.7
Jerome Robinson,14.3
Jevon Carter,14.1
Jimmy Butler,31.2
Joe Harris,21.9
Joe Ingles,21.5
Joel Embiid,43.2
John Collins,28.4
John Konchar,12.5
John Wall,31.6
Jonas Valanciunas,27.1
Jontay Porter,0.0
Jordan Bell,9.7
Jordan Bone,13.5
Jordan Clarkson,31.8
Jordan McLaughlin,13.0
Jordan Nwora,28.1
Jordan Poole,31.6
Josh Green,9.5
Josh Hall,9.9
Josh Hart,15.3
Josh Jackson,25.4
Josh Okogie,11.4
Josh Richardson,20.2
Jrue Holiday,23.5
Juan Toscano-Anderson,12.0
Juancho Hernangomez,18.2
Julius Randle,31.0
Justin Holiday,17.1
Justin Jackson,19.8
Justin James,14.0
Justin Patton,13.2
Justise Winslow,16.8
Jusuf Nurkic,19.7
Juwan Morgan,10.5
KZ Okpala,10.1
Karim Mane,5.6
Karl-Anthony Towns,33.0
Kawhi Leonard,36.8
Keita Bates-Diop,13.5
Kelan Martin,15.1
Keldon Johnson,22.4
Keljin Blevins,3.7
Kelly Olynyk,18.1
Kelly Oubre Jr.,22.7
Kemba Walker,28.1
Kendrick Nunn,22.7
Kenrich Williams,16.8
Kent Bazemore,16.6
Kentavious Caldwell-Pope,15.3
Kenyon Martin Jr.,18.0
Kevin Durant,37.4
Kevin Huerter,18.1
Kevin Knox II,16.5
Kevin Love,17.7
Kevin Porter Jr.,24.0
Kevon Looney,12.2
Khem Birch,13.1
Khris Middleton,28.6
Killian Hayes,10.1
Killian Tillie,9.9
Kira Lewis Jr.,19.0
Kostas Antetokounmpo,10.5
Kristaps Porzingis,32.4
Kyle Anderson,21.7
Kyle Guy,15.5
Kyle Kuzma,21.5
Kyle Lowry,23.5
Kyrie Irving,37.3
LaMarcus Aldridge,25.2
LaMelo Ball,25.7
Lamar Stevens,15.7
Landry Shamet,18.3
Langston Galloway,20.9
Larry Nance Jr.,14.2
Lauri Markkanen,27.4
LeBron James,36.0
Lonnie Walker IV,21.2
Lonzo Ball,21.6
Lou Williams,26.0
Luguentz Dort,20.4
Luka Doncic,39.4
Luka Samanic,21.3
Luke Kennard,19.9
Luke Kornet,12.3
Malachi Flynn,10.5
Malcolm Brogdon,29.0
Malik Beasley,29.1
Malik Monk,26.9
Mamadi Diakite,10.5
Marc Gasol,11.5
Marcus Morris Sr.,23.8
Marcus Smart,19.3
Markelle Fultz,22.2
Markieff Morris,15.8
Markus Howard,13.8
Marques Bolden,12.1
Marquese Chriss,21.0
Marvin Bagley III,25.5
Mason Jones,22.6
Mason Plumlee,18.2
Matisse Thybulle,9.2
Matt Thomas,17.1
Maurice Harkless,5.6
Max Strus,23.9
Maxi Kleber,13.4
Meyers Leonard,16.7
Mfiondu Kabengele,13.7
Michael Carter-Williams,15.9
Michael Porter Jr.,26.6
Mikal Bridges,20.3
Mike Conley,26.1
Mike Muscala,24.4
Mike Scott,10.7
Miles Bridges,17.0
Mitchell Robinson,15.1
Miye Oni,11.9
Mo Bamba,21.8
Monte Morris,18.6
Montrezl Harrell,28.5
Moritz Wagner,21.5
Moses Brown,20.9
Mychal Mulder,17.0
Myles Turner,19.9
Naji Marshall,6.8
Nassir Little,18.9
Nate Darling,17.6
Nate Hinton,19.4
Nathan Knight,25.1
Naz Reid,26.6
Nemanja Bjelica,20.0
Nerlens Noel,10.7
Nick Richards,15.5
Nickeil Alexander-Walker,23.0
Nico Mannion,15.7
Nicolas Batum,14.9
Nicolas Claxton,24.2
Nicolo Melli,8.7
Nikola Jokic,37.1
Nikola Vucevic,34.7
Noah Vonleh,0.0
Norman Powell,30.4
Norvel Pelle,13.4
OG Anunoby,20.6
Obi Toppin,16.8
Onyeka Okongwu,14.8
Otto Porter Jr.,21.4
P.J. Tucker,6.8
P.J. Washington,19.7
PJ Dozier,18.3
Pascal Siakam,27.2
Pat Connaughton,14.1
Patrick Beverley,17.2
Patrick McCaw,7.5
Patrick Patterson,16.5
Patrick Williams,16.1
Patty Mills,24.0
Paul George,32.8
Paul Millsap,20.0
Paul Reed,16.7
Paul Watson,14.4
Payton Pritchard,17.3
Precious Achiuwa,20.2
Quinn Cook,22.0
Quinndary Weatherspoon,6.4
R.J. Hampton,12.7
RJ Barrett,25.3
Rajon Rondo,12.7
Raul Neto,17.0
Ray Spalding,9.1
Rayjon Tucker,50.0
Reggie Bullock,16.3
Reggie Jackson,20.4
Reggie Perry,16.8
Richaun Holmes,22.2
Ricky Rubio,15.2
Robert Covington,12.9
Robert Williams III,21.4
Robert Woodard II,32.0
Robin Lopez,18.9
Rodions Kurucs,7.8
Rodney Hood,12.0
Rodney McGruder,23.2
Royce O'Neale,11.2
Rudy Gay,23.6
Rudy Gobert,22.0
Rui Hachimura,19.6
Russell Westbrook,27.9
Ryan Arcidiacono,14.0
Saben Lee,18.7
Saddiq Bey,21.2
Sam Merrill,15.2
Sean McDermott,11.6
Sekou Doumbouya,14.0
Semi Ojeleye,13.5
Serge Ibaka,22.8
Seth Curry,20.5
Shai Gilgeous-Alexander,33.7
Shake Milton,26.0
Shaquille Harrison,13.6
Sindarius Thornwell,11.3
Skylar Mays,22.7
Solomon Hill,10.5
Spencer Dinwiddie,14.2
Stanley Johnson,9.6
Stephen Curry,38.9
Sterling Brown,14.7
Steven Adams,14.3
Svi Mykhailiuk,19.2
T.J. McConnell,13.2
T.J. Warren,25.0
Tacko Fall,19.5
Taj Gibson,11.3
Talen Horton-Tucker,20.9
Taurean Prince,18.3
Terance Mann,15.5
Terence Davis,22.3
Terrance Ferguson,1.9
Terrence Ross,25.8
Terry Rozier,29.3
Thaddeus Young,22.9
Thanasis Antetokounmpo,12.3
Theo Maledon,14.4
Theo Pinson,3.1
Thomas Bryant,23.6
Thon Maker,19.4
Tim Frazier,5.8
Tim Hardaway Jr.,27.1
Timothe Luwawu-Cabarrot,17.1
Tobias Harris,28.7
Tomas Satoransky,16.1
Tony Bradley,17.9
Tony Snell,13.4
Torrey Craig,12.8
Trae Young,35.7
Tre Jones,20.1
Tremont Waters,15.4
Trent Forrest,5.3
Trevor Ariza,12.0
Trey Burke,21.5
Trey Lyles,15.5
Tristan Thompson,17.0
Troy Brown Jr.,14.7
Ty Jerome,18.0
Ty-Shon Alexander,0.0
Tyler Bey,14.5
Tyler Cook,10.3
Tyler Herro,22.9
Tyler Johnson,16.0
Tyrell Terry,9.1
Tyrese Haliburton,20.1
Tyrese Maxey,23.4
Tyus Jones,17.5
Udoka Azubuike,11.1
Vernon Carey Jr.,8.9
Victor Oladipo,29.7
Vincent Poirier,9.1
Vlatko Cancar,11.2
Wayne Ellington,22.4
Wendell Carter Jr.,20.6
Wenyen Gabriel,2.3
Wes Iwundu,8.2
Wesley Matthews,10.7
Will Barton,20.1
Will Magnay,0.0
Willie Cauley-Stein,15.7
Willy Hernangomez,19.0
Xavier Tillman,16.3
Yogi Ferrell,22.6
Yuta Watanabe,9.7
Zach LaVine,37.4
Zeke Nnaji,16.2
Zion Williamson,37.0
