Player,PP100Pos
Isaac Humphries,11.6
Isaiah Briscoe,11.7
Isaiah Canaan,13.9
Isaiah Hartenstein,11.3
Isaiah Hicks,17.9
Isaiah Thomas,24.1
Ish Smith,19.4
Ivan Rabb,19.2
Ivica Zubac,23.2
J.J. Barea,25.7
J.P. Macura,15.8
JJ Redick,26.3
JR Smith,15.6
JaKarr Sampson,30.8
JaMychal Green,21.2
JaVale McGee,24.6
Jabari Parker,25.1
Jacob Evans,9.3
Jae Crowder,20.4
Jahlil Okafor,24.0
Jake Layman,19.3
Jakob Poeltl,15.9
Jalen Brunson,20.3
Jalen Jones,17.8
Jamal Crawford,19.3
Jamal Murray,26.9
James Ennis III,15.1
James Harden,48.2
James Johnson,17.8
James Nunnally,16.5
Jared Dudley,11.2
Jared Terrell,13.1
Jarell Martin,16.3
Jaren Jackson Jr.,26.3
Jaron Blossomgame,12.6
Jarred Vanderbilt,14.8
Jarrett Allen,19.5
Jason Smith,15.4
Jawun Evans,4.6
Jaylen Adams,11.3
Jaylen Brown,23.8
Jaylen Morris,15.4
Jayson Tatum,24.1
Jeff Green,21.2
Jeff Teague,19.0
Jemerrio Jones,9.1
Jerami Grant,19.2
Jeremy Lamb,25.8
Jeremy Lin,22.4
Jerian Grant,12.7
Jerome Robinson,15.9
Jerryd Bayless,15.3
Jevon Carter,14.6
Jimmer Fredette,15.7
Jimmy Butler,26.1
Joakim Noah,20.7
Jodie Meeks,22.9
Joe Chealey,12.5
Joe Harris,21.2
Joe Ingles,18.2
Joel Embiid,37.7
John Collins,29.8
John Henson,18.4
John Holland,0.0
John Jenkins,17.5
John Wall,27.7
Johnathan Motley,29.5
Johnathan Williams,19.9
Jon Leuer,18.6
Jonah Bolden,14.7
Jonas Jerebko,17.6
Jonas Valanciunas,32.9
Jonathan Isaac,17.4
Jonathon Simmons,16.2
Jordan Bell,13.3
Jordan Clarkson,29.8
Jordan Loyd,22.8
Jordan McRae,21.5
Jordan Sibert,33.3
Jose Calderon,8.4
Josh Hart,13.9
Josh Jackson,21.5
Josh Okogie,15.0
Josh Richardson,22.9
Jrue Holiday,27.2
Juancho Hernangomez,14.5
Julian Washburn,7.8
Julius Randle,32.2
Justin Anderson,17.0
Justin Holiday,15.9
Justin Jackson,16.8
Justin Patton,10.6
Justise Winslow,20.5
Jusuf Nurkic,27.0
Kadeem Allen,21.7
Kalin Lucas,16.7
Karl-Anthony Towns,35.1
Kawhi Leonard,37.4
Keita Bates-Diop,14.3
Kelly Olynyk,20.9
Kelly Oubre Jr.,25.0
Kemba Walker,35.4
Kenneth Faried,24.8
Kenrich Williams,11.7
Kent Bazemore,21.5
Kentavious Caldwell-Pope,21.2
Kevin Durant,34.9
Kevin Huerter,16.2
Kevin Knox II,21.1
Kevin Love,30.0
Kevon Looney,15.7
Khem Birch,17.7
Khris Middleton,27.0
Khyri Thomas,14.9
Klay Thompson,29.7
Kobi Simmons,0.0
Kosta Koufos,14.2
Kostas Antetokounmpo,9.1
Kris Dunn,18.0
Kyle Anderson,13.4
Kyle Korver,20.8
Kyle Kuzma,25.9
Kyle Lowry,19.7
Kyle O'Quinn,19.4
Kyrie Irving,33.8
LaMarcus Aldridge,31.3
Lance Stephenson,19.7
Lance Thomas,12.3
Landry Shamet,18.6
Langston Galloway,18.4
Larry Nance Jr.,17.1
Lauri Markkanen,28.0
LeBron James,35.7
Lonnie Walker IV,17.7
Lonzo Ball,15.0
Lorenzo Brown,12.0
Lou Williams,34.1
Luc Mbah a Moute,14.2
Luka Doncic,31.2
Luke Kennard,20.9
Luke Kornet,19.3
Luol Deng,19.0
Malachi Richardson,12.6
Malcolm Brogdon,25.0
Malcolm Miller,24.0
Malik Beasley,23.3
Malik Monk,24.3
MarShon Brooks,24.3
Marc Gasol,21.8
Marcin Gortat,14.9
Marco Belinelli,21.4
Marcus Derrickson,32.9
Marcus Morris Sr.,23.5
Marcus Smart,15.3
Mario Hezonja,20.2
Markelle Fultz,16.7
Markieff Morris,20.1
Marquese Chriss,17.4
Marvin Bagley III,27.1
Marvin Williams,17.0
Mason Plumlee,17.8
Matthew Dellavedova,16.5
Maurice Harkless,15.3
Maxi Kleber,15.5
Melvin Frazier Jr.,15.2
Meyers Leonard,19.5
Michael Beasley,30.3
Michael Carter-Williams,16.3
Michael Kidd-Gilchrist,17.3
Mikal Bridges,13.3
Mike Conley,30.9
Mike Muscala,15.7
Mike Scott,15.0
Miles Bridges,16.7
Miles Plumlee,20.7
Milos Teodosic,14.2
Mitchell Creek,21.0
Mitchell Robinson,17.0
Mo Bamba,18.4
Monte Morris,20.9
Montrezl Harrell,29.2
Moritz Wagner,21.1
Myles Turner,22.6
Naz Mitrou-Long,8.7
Nemanja Bjelica,18.9
Nene,13.1
Nerlens Noel,16.6
Nick Young,11.5
Nicolas Batum,14.3
Nik Stauskas,18.6
Nikola Jokic,31.2
Nikola Mirotic,25.1
Nikola Vucevic,32.1
Noah Vonleh,15.7
Norman Powell,21.2
OG Anunoby,16.2
Okaro White,0.0
Omari Spellman,15.3
Omri Casspi,20.6
Otto Porter Jr.,21.6
P.J. Tucker,10.5
PJ Dozier,17.1
Pascal Siakam,25.2
Pat Connaughton,15.3
Patrick Beverley,13.1
Patrick McCaw,8.8
Patrick Patterson,12.1
Patty Mills,19.8
Pau Gasol,15.1
Paul George,35.0
Paul Millsap,22.5
Quincy Acy,6.2
Quincy Pondexter,15.7
Quinn Cook,22.9
RJ Hunter,32.1
Rajon Rondo,14.2
Raul Neto,19.0
Rawle Alkins,14.5
Ray Spalding,16.6
Raymond Felton,17.5
Reggie Bullock,18.0
Reggie Jackson,26.7
Richaun Holmes,22.8
Ricky Rubio,21.4
Robert Covington,18.3
Robert Williams III,13.5
Robin Lopez,21.0
Rodions Kurucs,18.7
Rodney Hood,20.8
Rodney McGruder,15.5
Ron Baker,4.2
Rondae Hollis-Jefferson,19.8
Royce O'Neale,12.0
Rudy Gay,24.7
Rudy Gobert,23.6
Russell Westbrook,29.1
Ryan Anderson,9.5
Ryan Arcidiacono,13.4
Ryan Broekhoff,17.6
Salah Mejri,16.8
Sam Dekker,17.0
Scott Machado,25.6
Semi Ojeleye,14.8
Serge Ibaka,26.5
Seth Curry,19.9
Shabazz Napier,25.2
Shai Gilgeous-Alexander,19.0
Shake Milton,15.1
Shaquille Harrison,15.8
Shaun Livingston,12.7
Shelvin Mack,16.9
Sindarius Thornwell,8.7
Skal Labissiere,16.5
Solomon Hill,10.0
Spencer Dinwiddie,27.9
Stanley Johnson,17.5
Stephen Curry,37.2
Sterling Brown,16.4
Steven Adams,19.0
Svi Mykhailiuk,13.9
T.J. Leaf,19.6
T.J. McConnell,15.3
T.J. Warren,26.8
Tahjere McCall,19.0
Taj Gibson,21.1
Taurean Prince,21.6
Terrance Ferguson,12.3
Terrence Jones,14.3
Terrence Ross,27.2
Terry Rozier,18.8
Thabo Sefolosha,14.7
Thaddeus Young,20.1
Theo Pinson,17.8
Thomas Bryant,23.5
Thomas Welsh,20.7
Thon Maker,15.9
Tim Frazier,12.7
Tim Hardaway Jr.,27.2
Timothe Luwawu-Cabarrot,16.0
Tobias Harris,27.2
Tomas Satoransky,15.4
Tony Bradley,20.7
Tony Parker,24.9
Tony Snell,15.7
Torrey Craig,13.9
Trae Young,28.1
Treveon Graham,11.8
Trevon Duval,38.5
Trevor Ariza,17.3
Trey Burke,26.6
Trey Lyles,23.2
Tristan Thompson,19.4
Troy Brown Jr.,15.8
Troy Caupain,31.3
Troy Daniels,19.6
Troy Williams,15.7
Tyler Cavanaugh,9.9
Tyler Davis,0.0
Tyler Dorsey,19.5
Tyler Johnson,19.2
Tyler Lydon,11.1
Tyler Ulis,0.0
Tyler Zeller,23.7
Tyreke Evans,24.0
Tyrone Wallace,15.4
Tyson Chandler,9.0
Tyus Jones,14.0
Udonis Haslem,14.7
Victor Oladipo,28.8
Vince Carter,18.9
Vincent Edwards,9.1
Wade Baldwin IV,14.9
Walt Lemon Jr.,24.5
Wayne Ellington,20.5
Wayne Selden,17.0
Wendell Carter Jr.,19.9
Wes Iwundu,13.0
Wesley Johnson,11.0
Wesley Matthews,19.2
Will Barton,19.9
Willie Cauley-Stein,20.0
Willy Hernangomez,24.1
Wilson Chandler,12.0
Yante Maten,7.4
Yogi Ferrell,18.2
Yuta Watanabe,10.7
Zach Collins,18.1
Zach LaVine,33.0
Zach Lofton,0.0
Zaza Pachulia,14.7
Zhaire Smith,16.9
Zhou Qi,66.7
