Player,PP100Pos
Aaron Gordon,22.8
Aaron Holiday,21.1
Abdel Nader,15.9
Al Horford,22.3
Al-Farouq Aminu,15.7
Alan Williams,30.5
Alec Burks,19.6
Alex Abrines,12.9
Alex Caruso,20.1
Alex Len,24.8
Alex Poythress,15.9
Alfonzo McKinnie,15.5
Alize Johnson,8.7
Allen Crabbe,17.1
Allonzo Trier,22.5
Amile Jefferson,18.2
Amir Johnson,17.3
Andre Drummond,25.3
Andre Iguodala,11.4
Andre Ingram,0.0
Andrew Bogut,13.6
Andrew Harrison,14.3
Andrew Wiggins,24.6
Anfernee Simons,24.3
Angel Delgado,9.1
Ante Zizic,20.5
Anthony Davis,36.3
Anthony Tolliver,14.1
Antonio Blakeney,24.0
Aron Baynes,16.2
Austin Rivers,14.5
Avery Bradley,15.6
BJ Johnson,21.1
Bam Adebayo,18.4
Ben McLemore,20.8
Ben Simmons,22.9
Billy Garrett,19.1
Bismack Biyombo,14.7
Blake Griffin,34.1
Boban Marjanovic,28.6
Bobby Portis,25.7
Bogdan Bogdanovic,23.7
Bojan Bogdanovic,27.3
Bonzie Colson,17.2
Brad Wanamaker,19.0
Bradley Beal,32.4
Brandon Goodwin,18.4
Brandon Ingram,24.8
Brandon Knight,17.5
Brandon Sampson,16.0
Brook Lopez,19.9
Bruce Brown,10.7
Bruno Caboclo,17.0
Bryn Forbes,20.4
Buddy Hield,29.6
C.J. Williams,14.6
CJ McCollum,29.2
CJ Miles,18.2
Caleb Swanigan,11.2
Cameron Payne,16.5
Cameron Reynolds,17.3
Caris LeVert,24.2
Carmelo Anthony,21.9
Cedi Osman,19.9
Chandler Hutchison,12.2
Chandler Parsons,18.1
Channing Frye,18.4
Chasson Randle,16.9
Cheick Diallo,19.3
Chimezie Metu,16.0
Chris Boucher,25.5
Chris Chiozza,8.1
Chris Paul,23.4
Christian Wood,30.4
Clint Capela,24.2
Cody Zeller,19.0
Collin Sexton,25.6
Corey Brewer,14.2
Cory Joseph,12.5
Courtney Lee,14.8
Cristiano Felicio,15.2
D'Angelo Russell,32.8
D.J. Augustin,20.2
D.J. Wilson,14.5
DJ Stephens,11.8
Dairis Bertans,9.2
Damian Jones,15.2
Damian Lillard,34.5
Damion Lee,19.6
Damyean Dotson,18.4
Daniel Hamilton,12.9
Daniel Theis,19.3
Danilo Gallinari,30.9
Danny Green,17.6
Dante Cunningham,10.0
Dante Exum,20.2
Danuel House Jr.,17.9
Dario Saric,19.7
Darius Miller,14.7
Darren Collison,19.3
Daryl Macon,15.4
David Nwaba,16.5
Davis Bertans,17.5
Davon Reed,11.2
De'Aaron Fox,25.0
De'Anthony Melton,11.9
DeAndre Jordan,17.7
DeAndre' Bembry,16.1
DeMar DeRozan,29.7
DeMarcus Cousins,29.7
DeMarre Carroll,20.4
DeVaughn Akoon-Purcell,14.6
Deandre Ayton,25.2
Delon Wright,18.2
Demetrius Jackson,24.4
Deng Adel,8.1
Dennis Schroder,24.4
Dennis Smith Jr.,22.6
Deonte Burton,15.7
Derrick Favors,23.8
Derrick Jones Jr.,17.8
Derrick Rose,30.4
Derrick White,18.7
Devin Booker,35.6
Devin Harris,19.1
Devin Robinson,23.7
Devonte' Graham,15.2
Dewayne Dedmon,20.0
Deyonta Davis,13.4
Dillon Brooks,20.2
Dion Waiters,22.7
Dirk Nowitzki,22.2
Domantas Sabonis,27.4
Donatas Motiejunas,21.4
Donovan Mitchell,33.3
Donte DiVincenzo,14.4
Donte Grantham,0.0
Dorian Finney-Smith,14.6
Doug McDermott,19.9
Dragan Bender,13.0
Draymond Green,10.9
Drew Eubanks,17.0
Duncan Robinson,14.6
Dusty Hannahs,14.0
Dwayne Bacon,20.0
Dwight Howard,23.6
Dwight Powell,23.4
Dwyane Wade,27.2
Dzanan Musa,22.1
E'Twaun Moore,19.9
Ed Davis,15.6
Edmond Sumner,14.2
Ekpe Udoh,16.9
Elfrid Payton,16.2
Elie Okobo,15.1
Emanuel Terry,19.6
Emmanuel Mudiay,25.7
Enes Kanter,26.7
Eric Bledsoe,25.1
Eric Gordon,24.6
Eric Moreland,7.6
Ersan Ilyasova,16.9
Evan Fournier,23.3
Evan Turner,14.7
Frank Jackson,18.9
Frank Kaminsky,25.5
Frank Mason,20.0
Frank Ntilikina,12.9
Fred VanVleet,19.1
Furkan Korkmaz,18.8
Garrett Temple,13.9
Gary Clark,11.1
Gary Harris,21.7
Gary Payton II,28.2
Gary Trent Jr.,16.5
George Hill,16.6
George King,0.0
Georges Niang,21.0
Gerald Green,21.9
Giannis Antetokounmpo,38.5
Glenn Robinson III,15.7
Goran Dragic,23.3
Gordon Hayward,20.7
Gorgui Dieng,21.9
Grayson Allen,23.4
Greg Monroe,22.2
Guerschon Yabusele,17.5
Hamidou Diallo,16.6
Harrison Barnes,23.4
Harry Giles III,22.5
Hassan Whiteside,25.6
Haywood Highsmith,10.2
Henry Ellenson,20.9
Ian Clark,18.6
Ian Mahinmi,13.3
Ike Anigbogu,0.0
Iman Shumpert,14.5
Isaac Bonga,7.2
