Player,PP100Pos
Marquese Chriss,21.4
Marvin Bagley III,26.2
Marvin Williams,14.4
Mason Plumlee,19.7
Matisse Thybulle,11.2
Matt Mooney,5.0
Matt Thomas,20.9
Matthew Dellavedova,10.2
Maurice Harkless,11.6
Max Strus,33.3
Maxi Kleber,16.9
Melvin Frazier Jr.,14.5
Meyers Leonard,14.7
Mfiondu Kabengele,31.1
Michael Carter-Williams,18.5
Michael Frazier II,8.2
Michael Kidd-Gilchrist,10.6
Michael Porter Jr.,26.8
Mikal Bridges,15.2
Mike Conley,23.6
Mike Muscala,18.1
Mike Scott,15.9
Miles Bridges,20.9
Mitchell Robinson,20.0
Miye Oni,15.3
Mo Bamba,18.1
Monte Morris,19.3
Montrezl Harrell,30.7
Moritz Wagner,21.1
Moses Brown,14.5
Mychal Mulder,18.3
Myles Turner,20.0
Nassir Little,13.9
Naz Mitrou-Long,14.1
Naz Reid,24.7
Nemanja Bjelica,19.8
Nerlens Noel,19.2
Nickeil Alexander-Walker,20.8
Nicolas Batum,7.7
Nicolas Claxton,16.2
Nicolo Melli,17.5
Nigel Williams-Goss,13.0
Nikola Jokic,30.8
Nikola Vucevic,29.2
Noah Vonleh,15.9
Norman Powell,26.0
Norvel Pelle,11.7
OG Anunoby,16.7
Omari Spellman,19.5
Oshae Brissett,13.0
Otto Porter Jr.,23.7
P.J. Tucker,9.4
P.J. Washington,19.9
PJ Dozier,19.3
Pascal Siakam,30.6
Pat Connaughton,13.0
Patrick Beverley,14.3
Patrick McCaw,8.8
Patrick Patterson,17.2
Patty Mills,23.8
Paul George,34.2
Paul Millsap,23.4
Paul Watson,15.8
Quinn Cook,20.4
Quinndary Weatherspoon,6.5
RJ Barrett,22.4
Rajon Rondo,16.3
Raul Neto,19.5
Rayjon Tucker,17.8
Reggie Bullock,16.4
Reggie Jackson,24.0
Richaun Holmes,21.2
Ricky Rubio,19.5
Robert Covington,18.9
Robert Williams III,18.3
Robin Lopez,16.8
Rodions Kurucs,14.3
Rodney Hood,17.3
Rodney McGruder,9.7
Romeo Langford,10.1
Rondae Hollis-Jefferson,17.6
Royce O'Neale,10.5
Rudy Gay,22.9
Rudy Gobert,21.3
Rui Hachimura,20.8
Russell Westbrook,34.0
Ryan Anderson,15.2
Ryan Arcidiacono,13.1
Ryan Broekhoff,18.3
Sekou Doumbouya,15.7
Semi Ojeleye,11.2
Serge Ibaka,26.8
Seth Curry,23.7
Shabazz Napier,19.8
Shai Gilgeous-Alexander,26.5
Shake Milton,22.5
Shamorie Ponds,39.1
Shaquille Harrison,20.4
Sindarius Thornwell,21.3
Skal Labissiere,15.6
Solomon Hill,13.8
Spencer Dinwiddie,31.2
Stanley Johnson,18.3
Stanton Kidd,0.0
Stephen Curry,32.6
Sterling Brown,15.5
Steven Adams,19.4
Svi Mykhailiuk,19.1
T.J. Leaf,17.0
T.J. McConnell,16.2
T.J. Warren,29.2
Tacko Fall,33.3
Taj Gibson,17.9
Talen Horton-Tucker,19.1
Tariq Owens,12.9
Taurean Prince,19.5
Terance Mann,12.4
Terence Davis,21.1
Terrance Ferguson,8.6
Terrence Ross,25.6
Terry Rozier,26.0
Thabo Sefolosha,9.5
Thaddeus Young,19.4
Thanasis Antetokounmpo,18.6
Theo Pinson,15.4
Thomas Bryant,24.4
Thon Maker,17.7
Tim Frazier,13.1
Tim Hardaway Jr.,25.2
Timothe Luwawu-Cabarrot,19.8
Tobias Harris,27.6
Tomas Satoransky,16.3
Tony Bradley,20.1
Tony Snell,14.1
Torrey Craig,14.5
Trae Young,38.3
Tremont Waters,16.1
Treveon Graham,12.2
Trevor Ariza,13.5
Trey Burke,22.6
Trey Lyles,15.1
Tristan Thompson,19.3
Troy Brown Jr.,18.5
Troy Daniels,17.6
Ty Jerome,14.6
Tyler Cook,20.2
Tyler Herro,23.5
Tyler Johnson,17.7
Tyler Zeller,22.2
Tyrone Wallace,11.5
Tyson Chandler,6.9
Tyus Jones,17.7
Udonis Haslem,13.5
Vic Law,11.1
Victor Oladipo,24.6
Vince Carter,15.5
Vincent Poirier,14.0
Vlatko Cancar,17.5
Wayne Ellington,15.7
Wendell Carter Jr.,18.4
Wenyen Gabriel,12.2
Wes Iwundu,14.9
Wesley Matthews,13.5
Will Barton,22.3
William Howard,0.0
Willie Cauley-Stein,16.9
Willy Hernangomez,24.6
Wilson Chandler,13.1
Yogi Ferrell,19.4
Yuta Watanabe,15.9
Zach Collins,12.7
Zach LaVine,34.9
Zach Norvell Jr.,10.9
Zhaire Smith,11.1
Zion Williamson,36.4
Zylan Cheatham,10.7
