Player,PP100Pos
Keith Appling,10.7
Kelly Olynyk,23.2
Kelly Oubre Jr.,16.5
Kemba Walker,29.1
Kendall Marshall,13.0
Kendrick Perkins,8.1
Kenneth Faried,24.4
Kent Bazemore,20.2
Kentavious Caldwell-Pope,19.7
Kevin Durant,37.9
Kevin Garnett,10.9
Kevin Love,26.0
Kevin Martin,22.8
Kevin Seraphin,17.4
Kevon Looney,19.1
Khris Middleton,25.0
Kirk Hinrich,10.8
Klay Thompson,31.4
Kobe Bryant,30.4
Kosta Koufos,17.0
Kostas Papanikolaou,11.5
Kris Humphries,19.7
Kristaps Porzingis,25.4
Kyle Anderson,14.2
Kyle Korver,14.8
Kyle Lowry,29.3
Kyle O'Quinn,20.1
Kyle Singler,11.4
Kyrie Irving,31.6
LaMarcus Aldridge,30.0
Lamar Patterson,10.2
Lance Stephenson,20.6
Lance Thomas,18.4
Langston Galloway,15.3
Larry Nance Jr.,13.7
Lavoy Allen,13.4
LeBron James,35.9
Leandro Barbosa,19.0
Lorenzo Brown,15.7
Lou Amundson,12.8
Lou Williams,26.3
Luc Mbah a Moute,9.1
Lucas Nogueira,14.1
Luis Montero,16.7
Luis Scola,20.4
Luke Babbitt,18.5
Luol Deng,19.0
Manu Ginobili,23.8
Marc Gasol,24.7
Marcelo Huertas,13.7
Marcin Gortat,21.7
Marco Belinelli,19.7
Marcus Morris Sr.,19.7
Marcus Smart,15.7
Marcus Thornton,25.0
Mario Chalmers,22.7
Mario Hezonja,16.5
Markel Brown,18.2
Markieff Morris,22.7
Marreese Speights,29.6
Marvin Williams,20.2
Mason Plumlee,17.7
Matt Barnes,17.4
Matt Bonner,18.6
Matthew Dellavedova,15.4
Maurice Harkless,16.7
Metta World Peace,15.0
Meyers Leonard,18.9
Michael Beasley,33.4
Michael Carter-Williams,18.7
Michael Kidd-Gilchrist,21.7
Mike Conley,24.8
Mike Dunleavy,15.6
Mike Miller,8.1
Mike Muscala,16.7
Mike Scott,19.5
Miles Plumlee,17.9
Mirza Teletovic,27.0
Mitch McGary,15.6
Mo Williams,22.7
Monta Ellis,19.9
Montrezl Harrell,17.4
Myles Turner,21.8
Nate Robinson,0.0
Nazr Mohammed,19.0
Nemanja Bjelica,14.0
Nene,22.7
Nerlens Noel,18.5
