Player,PP100Pos
Aaron Brooks,19.0
Aaron Gordon,25.6
Aaron Harrison,12.5
Aaron Jackson,11.9
Abdel Nader,13.4
Adreian Payne,24.4
Al Horford,20.1
Al Jefferson,25.4
Al-Farouq Aminu,15.2
Alan Williams,14.0
Alec Burks,22.8
Alec Peters,17.0
Alex Abrines,15.2
Alex Caruso,11.1
Alex Len,19.6
Alex Poythress,12.1
Alfonzo McKinnie,19.4
Allen Crabbe,21.4
Amir Johnson,13.6
Andre Drummond,21.9
Andre Iguodala,11.2
Andre Ingram,16.9
Andre Roberson,9.3
Andrew Bogut,7.9
Andrew Harrison,20.4
Andrew White III,15.2
Andrew Wiggins,24.0
Ante Zizic,26.3
Anthony Brown,30.0
Anthony Davis,36.1
Anthony Tolliver,19.6
Antonio Blakeney,23.2
Antonius Cleveland,8.9
Aron Baynes,16.1
Arron Afflalo,12.9
Austin Rivers,21.9
Avery Bradley,22.5
Bam Adebayo,17.4
Ben McLemore,19.0
Ben Moore,0.0
Ben Simmons,22.1
Bismack Biyombo,15.4
Blake Griffin,30.8
Boban Marjanovic,32.4
Bobby Brown,20.3
Bobby Portis,28.1
Bogdan Bogdanovic,20.9
Bojan Bogdanovic,22.6
Bradley Beal,30.5
Brandan Wright,17.9
Brandon Ingram,22.8
Brandon Jennings,16.9
Brandon Paul,12.3
Briante Weber,10.0
Brice Johnson,19.9
Brook Lopez,26.0
Bruno Caboclo,12.1
Bryn Forbes,17.9
Buddy Hield,26.5
C.J. Williams,14.2
CJ McCollum,28.9
CJ Miles,24.6
Caleb Swanigan,15.6
Cameron Payne,18.2
Caris LeVert,21.6
Carmelo Anthony,24.4
Cedi Osman,17.1
Chandler Parsons,20.2
Channing Frye,18.2
Charles Cooke,7.6
Cheick Diallo,20.3
Chinanu Onuaku,10.0
Chris Boucher,0.0
Chris McCullough,22.5
Chris Paul,28.5
Clint Capela,24.7
Cody Zeller,17.9
Cole Aldrich,10.9
Corey Brewer,14.5
Cory Joseph,14.4
Courtney Lee,19.4
Cristiano Felicio,15.3
D'Angelo Russell,28.0
D.J. Augustin,21.0
D.J. Wilson,13.8
Dakari Johnson,16.8
Damian Jones,13.7
Damian Lillard,35.7
Damien Wilkins,10.5
Damion Lee,18.6
Damyean Dotson,18.6
Daniel Hamilton,21.1
Daniel Theis,17.4
Danilo Gallinari,23.4
Danny Green,16.8
Dante Cunningham,12.6
Dante Exum,23.1
Danuel House Jr.,18.1
Dario Saric,23.4
Darius Miller,15.2
Darrell Arthur,17.7
Darren Collison,20.7
Darrun Hilliard,8.1
David Nwaba,16.3
David Stockton,47.6
David West,24.6
Davis Bertans,20.4
Davon Reed,12.1
De'Aaron Fox,20.4
DeAndre Jordan,18.6
DeAndre Liggins,6.8
DeAndre' Bembry,14.2
