Player,PP100Pos
AJ Hammons,14.7
Aaron Brooks,17.9
Aaron Gordon,21.8
Aaron Harrison,2.9
Adreian Payne,22.7
Al Horford,21.3
Al Jefferson,28.4
Al-Farouq Aminu,14.8
Alan Anderson,13.9
Alan Williams,22.9
Alec Burks,21.6
Alex Abrines,18.3
Alex Len,18.6
Alex Poythress,19.7
Alexis Ajinca,16.9
Allen Crabbe,18.1
Alonzo Gee,5.8
Amir Johnson,16.1
Anderson Varejao,9.3
Andre Drummond,23.1
Andre Iguodala,13.6
Andre Roberson,10.6
Andrew Bogut,7.0
Andrew Harrison,14.7
Andrew Nicholson,14.4
Andrew Wiggins,31.5
Anthony Bennett,20.1
Anthony Brown,13.4
Anthony Davis,37.6
Anthony Morrow,18.2
Anthony Tolliver,15.3
Archie Goodwin,24.5
Arinze Onuaku,7.1
Aron Baynes,15.3
Arron Afflalo,16.3
Austin Rivers,21.2
Avery Bradley,23.9
Axel Toupane,11.3
Ben Bentil,0.0
Ben McLemore,20.8
Beno Udrih,20.2
Bismack Biyombo,13.6
Blake Griffin,31.3
Boban Marjanovic,31.8
Bobby Brown,22.5
Bobby Portis,21.6
Bojan Bogdanovic,25.1
Boris Diaw,13.5
Bradley Beal,32.1
Brandan Wright,21.7
Brandon Bass,24.7
Brandon Ingram,15.7
Brandon Jennings,15.5
Brandon Knight,24.6
Brandon Rush,9.6
Brian Roberts,17.0
Briante Weber,15.7
Brice Johnson,20.0
Brook Lopez,32.2
Bruno Caboclo,16.3
Bryn Forbes,16.2
Buddy Hield,22.3
C.J. Watson,13.6
C.J. Wilcox,9.4
CJ McCollum,31.9
CJ Miles,22.6
Cameron Payne,16.9
Caris LeVert,17.4
Carmelo Anthony,32.3
Chandler Parsons,15.8
Channing Frye,23.6
Chasson Randle,22.3
Cheick Diallo,20.8
Chinanu Onuaku,12.4
Chris Andersen,12.1
Chris McCullough,20.9
Chris Paul,28.4
Christian Wood,16.4
Clint Capela,25.4
Cody Zeller,18.5
Cole Aldrich,9.7
Corey Brewer,13.9
Cory Joseph,18.3
Courtney Lee,16.9
Cristiano Felicio,15.2
D'Angelo Russell,26.1
D.J. Augustin,19.9
Dahntay Jones,45.0
Damian Jones,10.9
Damian Lillard,36.7
Damjan Rudez,12.8
Daniel Ochefu,15.6
Danilo Gallinari,25.9
Danny Green,14.1
Dante Cunningham,12.8
Dante Exum,17.1
Danuel House Jr.,0.0
Dario Saric,23.3
Darrell Arthur,19.8
Darren Collison,21.9
Darrun Hilliard,16.5
David Lee,19.0
David Nwaba,14.5
David West,18.4
Davis Bertans,18.1
DeAndre Jordan,19.8
DeAndre Liggins,9.6
DeAndre' Bembry,13.6
DeMar DeRozan,38.3
DeMarcus Cousins,39.3
DeMarre Carroll,17.0
Dejounte Murray,19.9
Delon Wright,16.9
Demetrius Jackson,27.8
Dennis Schroder,27.7
Denzel Valentine,14.6
Deron Williams,21.6
Derrick Favors,20.6
Derrick Jones Jr.,14.5
Derrick Rose,27.2
Derrick Williams,18.7
Devin Booker,29.8
Devin Harris,20.2
Dewayne Dedmon,14.7
Deyonta Davis,12.1
Diamond Stone,19.6
Dion Waiters,26.1
Dirk Nowitzki,26.5
Domantas Sabonis,14.4
Donatas Motiejunas,14.7
Dorian Finney-Smith,11.0
Doug McDermott,19.4
Dragan Bender,12.3
Draymond Green,14.7
Dwight Howard,22.4
Dwight Powell,19.7
Dwyane Wade,30.2
E'Twaun Moore,18.5
Ed Davis,12.4
Edy Tavares,15.4
Elfrid Payton,21.2
Elijah Millsap,6.7
Emmanuel Mudiay,20.4
Enes Kanter,32.8
Eric Bledsoe,30.2
Eric Gordon,24.8
Ersan Ilyasova,23.9
Evan Fournier,25.6
Evan Turner,17.2
Frank Kaminsky,21.9
Fred VanVleet,17.6
Garrett Temple,14.5
Gary Harris,22.9
Gary Neal,10.8
Gary Payton II,10.0
George Hill,27.8
Georges Niang,10.8
Georgios Papagiannis,17.1
Gerald Green,23.8
Gerald Henderson,19.1
Giannis Antetokounmpo,32.5
Glenn Robinson III,14.2
Goran Dragic,29.9
Gordon Hayward,33.0
Gorgui Dieng,15.5
Greg Monroe,26.0
Greivis Vasquez,8.2
Harrison Barnes,27.8
Hassan Whiteside,26.2
Henry Ellenson,20.2
Hollis Thompson,13.3
Ian Clark,22.1
Ian Mahinmi,15.1
Iman Shumpert,14.5
Isaiah Canaan,15.3
Isaiah Taylor,2.6
Isaiah Thomas,41.7
Isaiah Whitehead,15.6
Ish Smith,19.1
Ivica Zubac,21.8
J.J. Barea,24.6
JJ Redick,26.1
JR Smith,14.5
JaMychal Green,16.9
JaVale McGee,29.4
Jabari Parker,29.3
Jae Crowder,20.9
Jahlil Okafor,25.5
Jake Layman,14.9
Jakob Poeltl,13.1
Jamal Crawford,22.6
Jamal Murray,21.9
Jameer Nelson,16.2
James Ennis III,14.5
James Harden,37.9
James Johnson,22.9
James Jones,17.0
James Michael McAdoo,15.5
James Young,14.6
Jared Dudley,15.0
Jared Sullinger,15.5
Jarell Eddie,17.0
Jarell Martin,14.6
Jarnell Stokes,21.4
Jarrett Jack,8.7
Jarrod Uthoff,17.8
Jason Smith,19.2
Jason Terry,11.4
Jaylen Brown,18.6
Jeff Green,20.4
Jeff Teague,23.1
Jeff Withey,16.5
Jerami Grant,13.8
Jeremy Lamb,26.4
Jeremy Lin,26.8
Jerian Grant,18.0
Jerryd Bayless,22.9
Jimmy Butler,32.1
Joakim Noah,11.3
Jodie Meeks,21.5
Joe Harris,17.3
Joe Ingles,15.0
Joe Johnson,19.9
Joe Young,23.7
Joel Anthony,10.0
Joel Bolomboy,20.0
